season,week,outcome,date,time,rotation,team,score,wagers,BETONLINE_spread,BETONLINE_odds,BOVODA_spread,BOVODA_odds,BookMaker_spread,BookMaker_odds,BAS_spread,BAS_odds,Heritage_spread,Heritage_odds,everygame_spread,everygame_odds,JustBET_spread,JustBET_odds,bet105_spread,bet105_odds,WAGERWEB_spread,WAGERWEB_odds,opener_spread,opener_odds
2018,1,FINAL,Sun 9/9,4:25 PM,475,Washington,24,46%,2.0,-115,2.0,+100,2.0,-110,,,2.5,-105,2.0,-105,2.0,-110,,,2.0,-107,,-110
2018,1,FINAL,Sun 9/9,4:25 PM,476,Arizona,6,54%,-2.0,-105,-2.0,-120,-2.0,-110,,,-2.5,-105,-2.0,-115,-2.0,-110,,,-2.0,-113,,-110
2018,1,FINAL,Sun 9/9,8:20 PM,477,Chicago,23,44%,7.0,-125,7.0,+100,6.5,-114,,,7.0,-115,6.5,-110,6.5,-114,,,7.0,-123,8.0,-110
2018,1,FINAL,Sun 9/9,8:20 PM,478,Green Bay,24,56%,-7.0,+105,-7.0,-120,-6.5,-106,,,-7.0,+105,-6.5,-110,-6.5,-106,,,-7.0,+103,-8.0,-110
2018,1,FINAL,Thu 9/6,8:20 PM,451,Atlanta,12,54%,,-110,-1.0,-110,,-105,,,-1.0,-105,1.0,-115,,-105,,,-1.0,-104,5.5,-110
2018,1,FINAL,Thu 9/6,8:20 PM,452,Philadelphia,18,46%,,-110,1.0,-110,,-115,,,1.0,-105,-1.0,-105,,-115,,,1.0,-116,-5.5,-110
2018,2,FINAL,Mon 9/17,8:15 PM,289,Seattle,17,51%,4.5,-113,4.5,-110,5.5,-110,,,4.5,-105,4.5,-105,5.0,-110,,,4.5,-109,2.5,-105
2018,2,FINAL,Mon 9/17,8:15 PM,290,Chicago,24,49%,-4.5,-107,-4.5,-110,-5.5,-110,,,-4.5,-105,-4.5,-115,-5.0,-110,,,-4.5,-111,-2.5,-115
2018,2,FINAL,Sun 9/16,1:00 PM,275,Philadelphia,21,67%,-3.0,-107,-3.5,+100,-2.5,-112,,,-3.0,-105,-3.0,-110,-3.0,+105,,,-3.0,-108,-3.0,-105
2018,2,FINAL,Sun 9/16,1:00 PM,276,Tampa Bay,27,33%,3.0,-113,3.5,-120,2.5,-108,,,3.0,-105,3.0,-110,3.0,-125,,,3.0,-112,3.0,-115
2018,2,FINAL,Sun 9/16,1:00 PM,269,Houston,17,66%,-3.0,-121,-4.0,-105,-3.0,-125,,,-3.0,-120,-4.0,-110,-3.0,-125,,,-3.0,-126,-2.0,-110
2018,2,FINAL,Sun 9/16,1:00 PM,270,Tennessee,20,34%,3.0,+101,4.0,-115,3.0,+105,,,3.0,+110,4.0,-110,3.0,+105,,,3.0,+106,2.0,-110
2018,2,FINAL,Sun 9/16,1:00 PM,261,Indianapolis,21,56%,6.0,-109,6.0,-115,6.0,-115,,,6.0,-105,6.0,-115,6.0,-110,,,5.5,-107,4.5,-110
2018,2,FINAL,Sun 9/16,1:00 PM,262,Washington,9,44%,-6.0,-111,-6.0,-105,-6.0,-105,,,-6.0,-105,-6.0,-105,-6.0,-110,,,-5.5,-113,-4.5,-110
2018,2,FINAL OT,Sun 9/16,1:00 PM,265,Minnesota,29,62%,-1.5,-110,-2.0,-110,-1.0,-115,,,-1.5,-105,-2.0,-110,-1.5,-110,,,-1.5,-113,2.5,-110
2018,2,FINAL OT,Sun 9/16,1:00 PM,266,Green Bay,29,38%,1.5,-110,2.0,-110,1.0,-105,,,1.5,-105,2.0,-110,1.5,-110,,,1.5,-107,-2.5,-110
2018,2,FINAL,Sun 9/16,1:00 PM,277,Cleveland,18,47%,9.5,-110,10.0,-110,9.5,-110,,,9.5,-105,9.5,-110,9.5,-106,,,9.5,-107,7.0,+100
2018,2,FINAL,Sun 9/16,1:00 PM,278,New Orleans,21,53%,-9.5,-110,-10.0,-110,-9.5,-110,,,-9.5,-105,-9.5,-110,-9.5,-114,,,-9.5,-113,-7.0,-120
2018,2,FINAL,Sun 9/16,1:00 PM,271,Kansas City,42,52%,4.0,-102,4.0,-110,4.0,-110,,,4.5,-105,4.0,-110,4.0,-110,,,4.5,-112,4.5,-110
