eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds
4407397,1525,475,2021,13,Mon 12/6,8:15 PM,New England,14,FINAL,41.18,70.0,57.69,150.0,46.67,0.0,140.0,3.5,-110.0,46.0,-110.0,124.0,3.0,-115.0,40.0,-115.0,125.0,3.0,-115.0,40.0,-105.0,129.0,3.0,-120.0,40.5,-110.0,126.0,3.0,-123.0,40.5,-110.0,125.0,2.5,100.0,42.5,-110.0,125.0,3.0,-120.0,40.0,-110.0,130.0,3.0,-113.0,40.0,-108.0,129.0,2.5,-102.0,40.0,-111.0,125.0,3.0,-125.0,40.0,-110.0,126.0,3.0,-123.0,40.5,-110.0,125.0,3.0,-120.0,40.5,-110.0
4407397,1526,476,2021,13,,,Buffalo,10,,58.82,100.0,42.31,110.0,53.33,0.0,-160.0,-3.5,-110.0,46.0,-110.0,-144.0,-3.0,-105.0,40.0,-105.0,-145.0,-3.0,-105.0,40.0,-115.0,-143.0,-3.0,107.0,40.5,-101.0,-146.0,-3.0,103.0,40.5,-110.0,-145.0,-2.5,-120.0,42.5,-110.0,-145.0,-3.0,100.0,40.0,-110.0,-150.0,-3.0,-103.0,40.0,-108.0,-149.0,-2.5,-118.0,40.0,-109.0,-145.0,-3.0,105.0,40.0,-110.0,-146.0,-3.0,103.0,40.5,-110.0,-145.0,-3.0,100.0,40.5,-110.0
4407389,1541,451,2021,13,Sun 12/5,1:00 PM,Minnesota,27,FINAL,33.33,10.0,50.0,20.0,100.0,0.0,-300.0,-7.5,-110.0,48.0,-110.0,-305.0,-7.0,-110.0,47.0,-112.0,-320.0,-7.0,-110.0,47.5,-110.0,-296.0,-7.0,-104.0,47.5,-104.0,-300.0,-7.0,-109.0,47.5,-109.0,-330.0,-7.0,-115.0,46.5,-110.0,-320.0,-7.0,-110.0,47.5,-110.0,-315.0,-7.0,-108.0,47.0,-108.0,-314.0,-7.0,-107.0,47.5,-107.0,-320.0,-7.0,-110.0,47.5,-110.0,-300.0,-7.0,-109.0,47.5,-109.0,-315.0,-7.0,-110.0,46.5,-110.0
4407389,1539,452,2021,13,,,Detroit,29,,66.67,20.0,50.0,20.0,0.0,0.0,250.0,7.5,-110.0,48.0,-110.0,255.0,7.0,-110.0,47.0,-108.0,260.0,7.0,-110.0,47.5,-110.0,255.0,7.0,-107.0,47.5,-107.0,250.0,7.0,-111.0,47.5,-111.0,270.0,7.0,-105.0,46.5,-110.0,260.0,7.0,-110.0,47.5,-110.0,255.0,7.0,-108.0,47.0,-108.0,254.0,7.0,-113.0,47.5,-113.0,260.0,7.0,-110.0,47.5,-110.0,250.0,7.0,-111.0,47.5,-111.0,270.0,7.0,-110.0,46.5,-110.0
4407394,1535,465,2021,13,Sun 12/5,1:00 PM,N.Y. Giants,9,FINAL,57.14,40.0,50.0,30.0,0.0,0.0,125.0,2.5,100.0,43.5,-110.0,250.0,6.5,100.0,40.0,-115.0,255.0,7.0,-110.0,40.0,-110.0,246.0,6.5,104.0,40.0,-101.0,248.0,6.5,107.0,40.0,-104.0,180.0,4.5,-110.0,40.5,-115.0,250.0,7.0,-115.0,40.0,-110.0,245.0,7.0,-113.0,40.0,-108.0,247.0,7.0,-115.0,40.0,-108.0,225.0,6.5,-110.0,40.0,-110.0,248.0,6.5,107.0,40.0,-104.0,230.0,6.0,-110.0,39.5,-110.0
4407394,1524,466,2021,13,,,Miami,20,,42.86,30.0,50.0,30.0,100.0,0.0,-145.0,-2.5,-120.0,43.5,-110.0,-300.0,-6.5,-120.0,40.0,-105.0,-310.0,-7.0,-110.0,40.0,-110.0,-285.0,-6.5,-116.0,40.0,-110.0,-308.0,-6.5,-127.0,40.0,-116.0,-220.0,-4.5,-110.0,40.5,-105.0,-300.0,-7.0,-105.0,40.0,-110.0,-305.0,-7.0,-103.0,40.0,-108.0,-307.0,-7.0,-105.0,40.0,-112.0,-275.0,-6.5,-110.0,40.0,-110.0,-308.0,-6.5,-127.0,40.0,-116.0,-265.0,-6.0,-110.0,39.5,-110.0
4407396,1544,455,2021,13,Sun 12/5,1:00 PM,Tampa Bay,30,FINAL,0.0,0.0,28.57,20.0,100.0,0.0,-450.0,-9.5,-110.0,50.5,-110.0,-500.0,-11.0,-105.0,51.0,-115.0,-545.0,-11.0,-110.0,51.0,-110.0,-481.0,-11.0,-105.0,51.0,-105.0,-497.0,-11.0,-110.0,51.0,-110.0,-530.0,-11.0,-105.0,50.5,-110.0,-500.0,-10.5,-110.0,50.5,-110.0,-520.0,-11.0,-108.0,51.0,-108.0,-533.0,-11.0,-111.0,51.0,-106.0,-530.0,-11.0,-110.0,50.5,-110.0,-497.0,-11.0,-110.0,51.0,-110.0,-510.0,-11.0,-110.0,50.5,-110.0
4407396,1546,456,2021,13,,,Atlanta,17,,100.0,20.0,71.43,50.0,0.0,0.0,360.0,9.5,-110.0,50.5,-110.0,395.0,11.0,-115.0,51.0,-105.0,390.0,11.0,-110.0,51.0,-110.0,391.0,11.0,-106.0,51.0,-106.0,397.0,11.0,-110.0,51.0,-110.0,400.0,11.0,-115.0,50.5,-110.0,400.0,10.5,-110.0,50.5,-110.0,395.0,11.0,-108.0,51.0,-108.0,408.0,11.0,-109.0,51.0,-114.0,390.0,11.0,-110.0,50.5,-110.0,397.0,11.0,-110.0,51.0,-110.0,410.0,11.0,-110.0,50.5,-110.0
4407398,75380,463,2021,13,Sun 12/5,1:00 PM,L.A. Chargers,41,FINAL,38.46,50.0,46.67,70.0,25.0,0.0,125.0,1.5,-110.0,48.0,-110.0,123.0,2.5,100.0,50.0,-110.0,120.0,3.0,-130.0,50.0,-110.0,124.0,2.5,101.0,49.5,-108.0,121.0,2.5,-103.0,49.5,-111.0,145.0,3.0,-105.0,50.5,-110.0,125.0,3.0,-120.0,49.5,-110.0,125.0,2.5,-108.0,50.0,-108.0,123.0,2.5,-106.0,49.5,-114.0,130.0,3.0,-115.0,49.5,-110.0,121.0,2.5,-103.0,49.5,-111.0,135.0,3.0,-110.0,49.5,-110.0
4407398,1522,464,2021,13,,,Cincinnati,22,,61.54,80.0,53.33,80.0,75.0,0.0,-145.0,-1.5,-110.0,48.0,-110.0,-143.0,-2.5,-120.0,50.0,-110.0,-140.0,-3.0,110.0,50.0,-110.0,-138.0,-2.5,-113.0,49.5,-103.0,-141.0,-2.5,-117.0,49.5,-109.0,-165.0,-3.0,-115.0,50.5,-110.0,-145.0,-3.0,100.0,49.5,-110.0,-145.0,-2.5,-108.0,50.0,-108.0,-143.0,-2.5,-114.0,49.5,-106.0,-150.0,-3.0,-105.0,49.5,-110.0,-141.0,-2.5,-117.0,49.5,-109.0,-155.0,-3.0,-110.0,49.5,-110.0
4407399,1527,459,2021,13,Sun 12/5,1:00 PM,Indianapolis,31,FINAL,0.0,0.0,100.0,20.0,50.0,0.0,-355.0,-7.0,-110.0,47.0,-110.0,-430.0,-10.0,-110.0,45.5,-110.0,-500.0,-10.5,-110.0,45.5,-110.0,-438.0,-10.0,-115.0,45.5,-102.0,-429.0,-10.0,-116.0,45.5,-107.0,-450.0,-10.0,-105.0,45.5,-110.0,-440.0,-10.0,-110.0,45.5,-110.0,-515.0,-10.0,-108.0,45.5,-108.0,-464.0,-10.5,-105.0,45.5,-109.0,-450.0,-10.0,-115.0,45.5,-110.0,-429.0,-10.0,-116.0,45.5,-107.0,-450.0,-10.0,-110.0,44.5,-110.0
4407399,1530,460,2021,13,,,Houston,0,,100.0,10.0,0.0,0.0,50.0,0.0,285.0,7.0,-110.0,47.0,-110.0,350.0,10.0,-110.0,45.5,-110.0,360.0,10.5,-110.0,45.5,-110.0,360.0,10.0,103.0,45.5,-109.0,354.0,10.0,-104.0,45.5,-113.0,350.0,10.0,-115.0,45.5,-110.0,360.0,10.0,-110.0,45.5,-110.0,390.0,10.0,-108.0,45.5,-108.0,364.0,10.5,-115.0,45.5,-111.0,350.0,10.0,-105.0,45.5,-110.0,354.0,10.0,-104.0,45.5,-113.0,370.0,10.0,-110.0,44.5,-110.0
4407401,1536,461,2021,13,Sun 12/5,1:00 PM,Philadelphia,33,FINAL,50.0,30.0,60.0,30.0,100.0,0.0,-300.0,-6.5,-110.0,45.0,-110.0,-215.0,-5.0,-105.0,44.0,-110.0,-210.0,-5.0,-110.0,44.0,-110.0,-198.0,-5.0,104.0,44.0,-112.0,-204.0,-5.0,100.0,44.0,-116.0,-280.0,-7.0,100.0,45.0,-110.0,-215.0,-5.0,-110.0,44.0,-110.0,-210.0,-4.5,-108.0,44.0,-108.0,-212.0,-4.5,-111.0,44.0,-111.0,-235.0,-5.5,-110.0,44.0,-110.0,-204.0,-5.0,100.0,44.0,-116.0,-220.0,-5.0,-110.0,43.5,-110.0
4407401,1523,462,2021,13,,,N.Y. Jets,18,,50.0,30.0,40.0,20.0,0.0,0.0,250.0,6.5,-110.0,45.0,-110.0,185.0,5.0,-115.0,44.0,-110.0,175.0,5.0,-110.0,44.0,-110.0,176.0,5.0,-116.0,44.0,101.0,169.0,5.0,-120.0,44.0,-104.0,240.0,7.0,-120.0,45.0,-110.0,185.0,5.0,-110.0,44.0,-110.0,180.0,4.5,-108.0,44.0,-108.0,182.0,4.5,-109.0,44.0,-109.0,190.0,5.5,-110.0,44.0,-110.0,169.0,5.0,-120.0,44.0,-104.0,185.0,5.0,-110.0,43.5,-110.0
4407402,1549,453,2021,13,Sun 12/5,1:00 PM,Arizona,33,FINAL,20.0,10.0,66.67,20.0,39.22,0.0,-325.0,-7.0,-110.0,46.5,-110.0,-360.0,-7.5,-118.0,43.0,-115.0,-415.0,-8.0,-110.0,43.0,-110.0,-358.0,-7.5,-109.0,43.5,-106.0,-362.0,-7.5,-114.0,43.5,-110.0,-340.0,-7.5,-110.0,43.5,-110.0,-360.0,-7.5,-110.0,43.0,-110.0,-390.0,-8.0,-108.0,43.5,-108.0,-386.0,-8.0,-108.0,43.0,-113.0,-360.0,-7.5,-115.0,42.5,-110.0,-362.0,-7.5,-114.0,43.5,-110.0,-330.0,-7.0,-115.0,42.0,-110.0
4407402,1540,454,2021,13,,,Chicago,22,,80.0,40.0,33.33,10.0,60.78,0.0,270.0,7.0,-110.0,46.5,-110.0,290.0,7.5,-102.0,43.0,-105.0,310.0,8.0,-110.0,43.0,-110.0,302.0,7.5,-102.0,43.5,-105.0,302.0,7.5,-106.0,43.5,-110.0,275.0,7.5,-110.0,43.5,-110.0,300.0,7.5,-110.0,43.0,-110.0,310.0,8.0,-108.0,43.5,-108.0,306.0,8.0,-112.0,43.0,-107.0,290.0,7.5,-105.0,42.5,-110.0,302.0,7.5,-106.0,43.5,-110.0,285.0,7.0,-105.0,42.0,-110.0
4407391,1537,467,2021,13,Sun 12/5,4:05 PM,Washington,17,FINAL,28.57,20.0,57.14,40.0,25.0,0.0,120.0,1.5,-110.0,48.0,-110.0,108.0,1.0,102.0,47.5,-110.0,105.0,1.5,-105.0,47.5,-110.0,113.0,1.0,106.0,47.5,-106.0,109.0,1.0,100.0,47.5,-110.0,105.0,1.0,-105.0,49.5,-110.0,110.0,1.5,-110.0,47.5,-110.0,110.0,2.0,-108.0,47.5,-108.0,107.0,2.0,-110.0,47.5,-110.0,110.0,1.5,-105.0,48.0,-110.0,109.0,1.0,102.0,47.5,-110.0,110.0,1.0,-105.0,48.0,-110.0
4407391,1533,468,2021,13,,,Las Vegas,15,,71.43,50.0,42.86,30.0,75.0,0.0,-140.0,-1.5,-110.0,48.0,-110.0,-128.0,-1.0,-122.0,47.5,-110.0,-125.0,-1.5,-115.0,47.5,-110.0,-125.0,-1.0,-118.0,47.5,-105.0,-129.0,-1.0,-120.0,47.5,-110.0,-125.0,-1.0,-115.0,49.5,-110.0,-130.0,-1.5,-110.0,47.5,-110.0,-130.0,-2.0,-108.0,47.5,-108.0,-127.0,-2.0,-110.0,47.5,-110.0,-130.0,-1.5,-115.0,48.0,-110.0,-129.0,-1.0,-122.0,47.5,-110.0,-130.0,-1.0,-115.0,48.0,-110.0
