eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds
4407460,1520,131,2021,17,Mon 1/3,8:15 PM,Cleveland,14,FINAL,78.57,220.0,56.76,210.0,61.11,0.0,-155.0,1.5,-110.0,41.0,-110.0,-118.0,-1.0,-115.0,43.5,-105.0,-120.0,-1.0,-110.0,43.5,-110.0,-126.0,-1.0,-120.0,43.5,101.0,-129.0,-1.0,-124.0,43.5,-108.0,-105.0,1.0,-115.0,43.5,-110.0,-105.0,1.0,-110.0,43.0,-110.0,-120.0,-1.0,-108.0,43.5,-108.0,-120.0,-1.5,-110.0,43.5,-107.0,100.0,1.5,-110.0,43.0,-115.0,-129.0,-1.0,-124.0,43.5,-107.0,-118.0,-1.0,-110.0,43.5,-110.0
4407460,1519,132,2021,17,,,Pittsburgh,26,,21.43,60.0,43.24,160.0,38.89,0.0,135.0,-1.5,-110.0,41.0,-110.0,-102.0,1.0,-105.0,43.5,-115.0,100.0,1.0,-110.0,43.5,-110.0,113.0,1.0,108.0,43.5,-113.0,109.0,1.0,104.0,43.5,-112.0,-115.0,-1.0,-105.0,43.5,-110.0,-115.0,-1.0,-110.0,43.0,-110.0,100.0,1.0,-108.0,43.5,-108.0,100.0,1.5,-110.0,43.5,-113.0,-120.0,-1.5,-110.0,43.0,-105.0,109.0,1.0,104.0,43.5,-113.0,-102.0,1.0,-110.0,43.5,-110.0
4407449,1531,115,2021,17,Sun 1/2,1:00 PM,Kansas City,31,FINAL,40.0,60.0,55.56,100.0,63.64,0.0,-205.0,-4.0,-110.0,47.0,-110.0,-191.0,-3.5,-116.0,51.0,-115.0,-200.0,-4.0,-105.0,51.5,-110.0,-185.0,-3.5,-108.0,51.0,-106.0,-192.0,-3.5,-114.0,51.0,-110.0,-190.0,-3.5,-115.0,51.0,-110.0,-190.0,-3.5,-110.0,51.0,-110.0,-190.0,-3.5,-108.0,51.0,-108.0,-189.0,-3.5,-112.0,51.0,-107.0,-190.0,-3.5,-110.0,51.0,-110.0,-177.0,-3.5,-107.0,51.0,-110.0,-190.0,-3.5,-110.0,51.0,-110.0
4407449,1522,116,2021,17,,,Cincinnati,34,,60.0,90.0,44.44,80.0,36.36,0.0,175.0,4.0,-110.0,47.0,-110.0,166.0,3.5,-104.0,51.0,-105.0,170.0,4.0,-115.0,51.5,-110.0,164.0,3.5,-103.0,51.0,-105.0,162.0,3.5,-106.0,51.0,-110.0,165.0,3.5,-105.0,51.0,-110.0,170.0,3.5,-110.0,51.0,-110.0,165.0,3.5,-108.0,51.0,-108.0,164.0,3.5,-108.0,51.0,-113.0,160.0,3.5,-110.0,51.0,-110.0,157.0,3.5,-113.0,51.0,-110.0,166.0,3.5,-110.0,51.0,-110.0
4407450,1535,103,2021,17,Sun 1/2,1:00 PM,N.Y. Giants,3,FINAL,66.8,3460.0,100.0,40.0,33.33,0.0,225.0,4.0,-110.0,38.0,-110.0,250.0,6.5,-105.0,36.5,-115.0,240.0,6.5,-110.0,36.5,-105.0,243.0,7.0,-117.0,36.5,-108.0,239.0,7.0,-121.0,36.5,-112.0,240.0,6.5,-110.0,36.5,-115.0,240.0,6.5,-110.0,36.5,-110.0,240.0,6.5,-108.0,36.5,-108.0,238.0,6.5,-107.0,36.5,-114.0,235.0,6.5,-110.0,36.5,-110.0,239.0,7.0,-121.0,36.5,-112.0,240.0,6.5,-110.0,36.5,-110.0
4407450,1540,104,2021,17,,,Chicago,29,,33.2,1720.0,0.0,0.0,66.67,0.0,-265.0,-4.0,-110.0,38.0,-110.0,-300.0,-6.5,-115.0,36.5,-105.0,-290.0,-6.5,-110.0,36.5,-115.0,-285.0,-7.0,105.0,36.5,-103.0,-289.0,-7.0,101.0,36.5,-108.0,-280.0,-6.5,-110.0,36.5,-105.0,-280.0,-6.5,-110.0,36.5,-110.0,-290.0,-6.5,-108.0,36.5,-108.0,-288.0,-6.5,-113.0,36.5,-106.0,-290.0,-6.5,-110.0,36.5,-110.0,-289.0,-7.0,101.0,36.5,-108.0,-280.0,-6.5,-110.0,36.5,-110.0
4407451,1536,113,2021,17,Sun 1/2,1:00 PM,Philadelphia,20,FINAL,11.11,10.0,25.0,10.0,50.0,0.0,-170.0,-3.0,-105.0,43.5,-110.0,-250.0,-6.0,-110.0,44.5,-115.0,-260.0,-6.0,-110.0,44.5,-110.0,-244.0,-6.5,-100.0,44.5,-103.0,-247.0,-6.5,-105.0,44.5,-107.0,-250.0,-6.0,-115.0,44.5,-110.0,-250.0,-6.0,-110.0,44.5,-110.0,-260.0,-6.0,-108.0,44.5,-108.0,-252.0,-6.0,-111.0,44.5,-111.0,-255.0,-6.0,-110.0,44.5,-110.0,-247.0,-6.5,-105.0,44.5,-107.0,-260.0,-7.0,110.0,45.0,-110.0
4407451,1537,114,2021,17,,,Washington,16,,88.89,80.0,75.0,30.0,50.0,0.0,150.0,3.0,-115.0,43.5,-110.0,210.0,6.0,-110.0,44.5,-105.0,215.0,6.0,-110.0,44.5,-110.0,211.0,6.5,-111.0,44.5,-109.0,207.0,6.5,-115.0,44.5,-113.0,210.0,6.0,-105.0,44.5,-110.0,210.0,6.0,-110.0,44.5,-110.0,210.0,6.0,-108.0,44.5,-108.0,212.0,6.0,-109.0,44.5,-109.0,205.0,6.0,-110.0,44.5,-110.0,207.0,6.5,-115.0,44.5,-113.0,225.0,7.0,-130.0,45.0,-110.0
4407452,1550,127,2021,17,Sun 1/2,1:00 PM,L.A. Rams,20,FINAL,50.0,20.0,66.67,40.0,0.0,0.0,-155.0,-2.5,-110.0,45.5,-110.0,-315.0,-7.0,-113.0,47.0,-105.0,-310.0,-7.0,-115.0,47.0,-105.0,-307.0,-7.0,-107.0,47.0,-104.0,-313.0,-7.0,-111.0,47.0,-109.0,-320.0,-7.0,-110.0,47.0,-110.0,-300.0,-7.0,-110.0,46.5,-110.0,-330.0,-7.0,-108.0,47.0,-108.0,-324.0,-7.0,-112.0,47.0,-107.0,-320.0,-7.0,-110.0,47.0,-110.0,-314.0,-7.0,-111.0,47.0,-109.0,-320.0,-7.0,-115.0,46.5,-110.0
4407452,1521,128,2021,17,,,Baltimore,19,,50.0,20.0,33.33,20.0,100.0,0.0,135.0,2.5,-110.0,45.5,-110.0,265.0,7.0,-107.0,47.0,-115.0,255.0,7.0,-105.0,47.0,-115.0,260.0,7.0,-104.0,47.0,-107.0,253.0,7.0,-109.0,47.0,-111.0,260.0,7.0,-110.0,47.0,-110.0,250.0,7.0,-110.0,46.5,-110.0,270.0,7.0,-108.0,47.0,-108.0,264.0,7.0,-108.0,47.0,-113.0,260.0,7.0,-110.0,47.0,-110.0,254.0,7.0,-109.0,47.0,-111.0,275.0,7.0,-105.0,46.5,-110.0
