game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4407299,1526,2021,6,Buffalo,Mon 10/18,8:15 PM,31,FINAL,0,,,,,,23.81,50.0,63.33,190.0,50.0,0.0,-275.0,-6.5,-110.0,54.0,-115.0,-233.0,-6.0,101.0,53.0,-108.0,-260.0,-6.0,-110.0,53.5,-110.0,-260.0,-6.0,-115.0,53.5,-110.0,-265.0,-6.0,-110.0,53.5,-110.0,-270.0,-6.0,-108.0,53.5,-108.0,-265.0,-6.0,-111.0,53.0,-110.0,-280.0,-7.0,115.0,54.0,-115.0,-260.0,-6.0,-110.0,53.5,-110.0,-265.0,-7.0,115.0,53.5,-110.0
4407299,1528,2021,6,Tennessee,Mon 10/18,8:15 PM,34,FINAL,0,,,,,,76.19,160.0,36.67,110.0,50.0,0.0,225.0,6.5,-110.0,54.0,-115.0,205.0,6.0,-112.0,53.0,-108.0,220.0,6.0,-110.0,53.5,-110.0,220.0,6.0,-105.0,53.5,-110.0,225.0,6.0,-110.0,53.5,-110.0,220.0,6.0,-108.0,53.5,-108.0,215.0,6.0,-109.0,53.0,-110.0,225.0,7.0,-135.0,54.0,-115.0,220.0,6.0,-110.0,53.5,-110.0,230.0,7.0,-135.0,53.5,-110.0
4407042,1524,2021,6,Miami,Sun 10/17,9:30 AM,20,FINAL,251,,,,,,20.0,20.0,60.0,30.0,50.0,0.0,-125.0,-1.5,-115.0,47.5,-110.0,,,,,,-128.0,-2.0,-110.0,47.5,-110.0,-125.0,-1.5,-115.0,47.0,-110.0,-160.0,-3.0,-105.0,47.0,-110.0,,,,,,-124.0,-1.5,-111.0,47.5,-106.0,-125.0,-1.5,-110.0,47.0,-110.0,-120.0,-1.0,-110.0,47.5,-110.0,-123.0,0.0,-123.0,47.0,-110.0
4407042,1529,2021,6,Jacksonville,Sun 10/17,9:30 AM,23,FINAL,252,,,,,,80.0,80.0,40.0,20.0,50.0,0.0,105.0,1.5,-105.0,47.5,-110.0,,,,,,108.0,2.0,-110.0,47.5,-110.0,105.0,1.5,-105.0,47.0,-110.0,140.0,3.0,-115.0,47.0,-110.0,,,,,,104.0,1.5,-109.0,47.5,-114.0,105.0,1.5,-110.0,47.0,-110.0,100.0,1.0,-110.0,47.5,-110.0,103.0,0.0,103.0,47.0,-110.0
4407290,1522,2021,6,Cincinnati,Sun 10/17,1:00 PM,34,FINAL,263,,,,,,0.0,0.0,66.67,20.0,76.08,0.0,-195.0,-3.5,-110.0,46.5,-105.0,,,,,,-196.0,-3.5,-110.0,46.5,-105.0,-190.0,-3.5,-110.0,46.5,-110.0,-190.0,-3.5,-110.0,46.5,-110.0,,,,,,-192.0,-3.5,-115.0,46.5,-109.0,-195.0,-3.5,-110.0,46.5,-105.0,-196.0,-3.5,-110.0,46.5,-105.0,-200.0,-3.5,-105.0,46.5,-110.0
4407290,1539,2021,6,Detroit,Sun 10/17,1:00 PM,11,FINAL,264,,,,,,100.0,10.0,33.33,10.0,23.92,0.0,165.0,3.5,-110.0,46.5,-115.0,,,,,,166.0,3.5,-110.0,46.5,-115.0,165.0,3.5,-110.0,46.5,-110.0,170.0,3.5,-110.0,46.5,-110.0,,,,,,167.0,3.5,-105.0,46.5,-111.0,165.0,3.5,-110.0,46.5,-115.0,166.0,3.5,-110.0,46.5,-115.0,170.0,3.5,-115.0,46.5,-110.0
4407291,1531,2021,6,Kansas City,Sun 10/17,1:00 PM,31,FINAL,257,,,,,,0.0,0.0,7.69,10.0,0.0,0.0,-310.0,-7.0,-105.0,54.0,-115.0,,,,,,-289.0,-6.5,-110.0,54.0,-110.0,-275.0,-6.5,-110.0,54.0,-110.0,-280.0,-6.5,-110.0,54.0,-110.0,,,,,,-278.0,-6.5,-106.0,54.0,-110.0,-290.0,-7.0,-105.0,54.0,-110.0,-289.0,-6.5,-110.0,54.0,-110.0,-290.0,-6.5,-110.0,54.0,-110.0
4407291,1537,2021,6,Washington,Sun 10/17,1:00 PM,13,FINAL,258,,,,,,100.0,70.0,92.31,120.0,100.0,0.0,255.0,7.0,-115.0,54.0,-105.0,,,,,,239.0,6.5,-110.0,54.0,-110.0,235.0,6.5,-110.0,54.0,-110.0,240.0,6.5,-110.0,54.0,-110.0,,,,,,228.0,6.5,-114.0,54.0,-110.0,235.0,7.0,-115.0,54.0,-110.0,239.0,6.5,-110.0,54.0,-110.0,250.0,6.5,-110.0,54.0,-110.0
4407293,1541,2021,6,Minnesota,Sun 10/17,1:00 PM,34,FINAL OT,259,,,,,,50.0,20.0,42.86,30.0,0.0,0.0,-140.0,-2.5,-110.0,45.0,-110.0,,,,,,-135.0,-2.5,-110.0,45.5,-110.0,-135.0,-2.5,-110.0,45.0,-110.0,-135.0,-2.0,-110.0,45.5,-110.0,,,,,,-132.0,-2.5,-109.0,45.0,-112.0,-130.0,-2.5,-110.0,45.5,-110.0,-135.0,-2.5,-110.0,45.5,-110.0,-133.0,-1.0,-125.0,45.0,-110.0
4407293,1545,2021,6,Carolina,Sun 10/17,1:00 PM,28,FINAL OT,260,,,,,,50.0,20.0,57.14,40.0,100.0,0.0,120.0,2.5,-110.0,45.0,-110.0,,,,,,115.0,2.5,-110.0,45.5,-110.0,115.0,2.5,-110.0,45.0,-110.0,115.0,2.0,-110.0,45.5,-110.0,,,,,,112.0,2.5,-111.0,45.0,-108.0,110.0,2.5,-110.0,45.5,-110.0,115.0,2.5,-110.0,45.5,-110.0,113.0,1.0,105.0,45.0,-110.0
4407294,1530,2021,6,Houston,Sun 10/17,1:00 PM,3,FINAL,253,,,,,,51.84,1270.0,60.26,1820.0,75.0,0.0,420.0,11.5,-110.0,45.0,-110.0,,,,,,420.0,12.0,-110.0,45.0,-110.0,400.0,11.5,-110.0,45.0,-110.0,425.0,11.5,-110.0,45.0,-110.0,,,,,,427.0,11.0,-109.0,45.0,-108.0,420.0,11.5,-110.0,45.0,-110.0,420.0,12.0,-110.0,45.0,-110.0,360.0,10.0,-110.0,43.5,-110.0
4407294,1527,2021,6,Indianapolis,Sun 10/17,1:00 PM,31,FINAL,254,,,,,,48.16,1180.0,39.74,1200.0,25.0,0.0,-605.0,-11.5,-110.0,45.0,-110.0,,,,,,-570.0,-12.0,-110.0,45.0,-110.0,-530.0,-11.5,-110.0,45.0,-110.0,-550.0,-11.5,-110.0,45.0,-110.0,,,,,,-552.0,-11.0,-111.0,45.0,-112.0,-570.0,-11.5,-110.0,45.0,-110.0,-570.0,-12.0,-110.0,45.0,-110.0,-440.0,-10.0,-110.0,43.5,-110.0
