game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4407278,1527,2021,5,Indianapolis,Mon 10/11,8:15 PM,25,FINAL,479,,,,,,80.75,4280.0,86.27,8360.0,55.08,0.0,,,,,,,,,46.0,-110.0,,,,,,,,,,,,,,46.5,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407278,1521,2021,5,Baltimore,Mon 10/11,8:15 PM,31,FINAL,480,,,,,,19.25,1020.0,13.73,1330.0,44.92,0.0,,,,,,,,,46.0,-110.0,,,,,,,,,,,,,,,,,-7.5,-110.0,,,,,,,,,,,,,-380.0,,,,,,,,,,,,,,
4407041,1523,2021,5,N.Y. Jets,Sun 10/10,9:30 AM,20,FINAL,451,161.0,4.0,-110.0,44.0,-110.0,77.78,70.0,63.64,70.0,100.0,0.0,,,,,,125.0,3.0,-120.0,46.0,-110.0,138.0,3.0,-107.0,45.5,-113.0,130.0,3.0,-120.0,45.5,-110.0,125.0,2.5,100.0,45.5,-115.0,125.0,2.5,100.0,45.0,-110.0,125.0,3.0,-113.0,46.0,-108.0,127.0,3.0,-116.0,45.5,-112.0,130.0,3.0,-115.0,45.5,-110.0,130.0,3.0,-115.0,45.5,-110.0,130.0,3.0,-125.0,46.0,-110.0
4407041,1546,2021,5,Atlanta,Sun 10/10,9:30 AM,27,FINAL,452,-181.0,-4.0,-110.0,44.0,-110.0,22.22,20.0,36.36,40.0,0.0,0.0,,,,,,-145.0,-3.0,100.0,46.0,-110.0,-153.0,-3.0,-103.0,45.5,102.0,-150.0,-3.0,100.0,45.5,-110.0,-145.0,-2.5,-120.0,45.5,-105.0,-145.0,-2.5,-120.0,45.0,-110.0,-145.0,-3.0,-103.0,46.0,-108.0,-147.0,-3.0,-104.0,45.5,-108.0,-150.0,-3.0,-105.0,45.5,-110.0,-150.0,-3.0,-105.0,45.5,-110.0,-150.0,-3.0,105.0,46.0,-110.0
4407279,1525,2021,5,New England,Sun 10/10,1:00 PM,25,FINAL,467,-410.0,-7.5,-110.0,41.5,-110.0,55.56,50.0,100.0,20.0,0.0,0.0,,,,,,-395.0,-8.0,-110.0,39.0,-110.0,-339.0,-8.0,102.0,39.5,101.0,-364.0,-8.0,-110.0,39.5,-110.0,-360.0,-8.0,-105.0,39.5,-110.0,-360.0,-8.0,-105.0,39.0,-110.0,-370.0,-7.5,-108.0,39.0,-108.0,-366.0,-8.0,-108.0,39.0,-110.0,-370.0,-8.0,-110.0,39.0,-110.0,-364.0,-8.0,-110.0,39.5,-110.0,-400.0,-9.0,105.0,39.0,-110.0
4407279,1530,2021,5,Houston,Sun 10/10,1:00 PM,22,FINAL,468,330.0,7.5,-110.0,41.5,-110.0,44.44,40.0,0.0,0.0,100.0,0.0,,,,,,300.0,8.0,-110.0,39.0,-110.0,288.0,8.0,-112.0,39.5,-112.0,304.0,8.0,-110.0,39.5,-110.0,290.0,8.0,-115.0,39.5,-110.0,300.0,8.0,-115.0,39.0,-110.0,300.0,7.5,-108.0,39.0,-108.0,296.0,8.0,-112.0,39.0,-110.0,295.0,8.0,-110.0,39.0,-110.0,304.0,8.0,-110.0,39.5,-110.0,345.0,9.0,-125.0,39.0,-110.0
4407282,1524,2021,5,Miami,Sun 10/10,1:00 PM,17,FINAL,453,395.0,6.5,-110.0,49.5,-110.0,88.89,80.0,79.97,18690.0,100.0,0.0,,,,,,430.0,11.0,-105.0,48.0,-105.0,448.0,11.0,-100.0,48.0,-107.0,450.0,11.5,-110.0,48.0,-110.0,425.0,11.0,-110.0,48.0,-110.0,450.0,11.0,-110.0,48.0,-110.0,450.0,11.0,-108.0,48.0,-108.0,439.0,11.0,-111.0,48.0,-110.0,450.0,11.0,-105.0,48.0,-110.0,450.0,11.5,-110.0,47.5,-110.0,460.0,11.5,-110.0,48.0,-110.0
4407282,1544,2021,5,Tampa Bay,Sun 10/10,1:00 PM,45,FINAL,454,-500.0,-6.5,-110.0,49.5,-110.0,11.11,10.0,20.03,4680.0,0.0,0.0,,,,,,-625.0,-11.0,-115.0,48.0,-115.0,-564.0,-11.0,-110.0,48.0,-104.0,-600.0,-11.5,-110.0,48.0,-110.0,-580.0,-11.0,-110.0,48.0,-110.0,-600.0,-11.0,-110.0,48.0,-110.0,-600.0,-11.0,-108.0,48.0,-108.0,-564.0,-11.0,-109.0,48.0,-110.0,-600.0,-11.0,-115.0,48.0,-110.0,-600.0,-11.5,-110.0,47.5,-110.0,-590.0,-11.5,-110.0,48.0,-110.0
4407283,1536,2021,5,Philadelphia,Sun 10/10,1:00 PM,21,FINAL,455,170.0,4.0,-110.0,46.5,-110.0,77.78,70.0,33.33,30.0,33.33,0.0,,,,,,120.0,3.0,-125.0,46.5,-110.0,126.0,2.5,104.0,46.0,-105.0,120.0,3.0,-115.0,46.5,-110.0,125.0,2.5,-105.0,46.0,-110.0,120.0,2.5,-105.0,46.0,-110.0,120.0,2.5,-103.0,46.0,-108.0,119.0,2.5,-103.0,46.0,-112.0,120.0,3.0,-120.0,46.0,-110.0,120.0,2.5,-105.0,46.5,-110.0,125.0,3.0,-125.0,46.5,-110.0
4407283,1545,2021,5,Carolina,Sun 10/10,1:00 PM,18,FINAL,456,-195.0,-4.0,-110.0,46.5,-110.0,22.22,20.0,66.67,60.0,66.67,0.0,,,,,,-140.0,-3.0,105.0,46.5,-110.0,-139.0,-2.5,-114.0,46.0,-106.0,-140.0,-3.0,-105.0,46.5,-110.0,-145.0,-2.5,-115.0,46.0,-110.0,-140.0,-2.5,-115.0,46.0,-110.0,-140.0,-2.5,-113.0,46.0,-108.0,-139.0,-2.5,-117.0,46.0,-108.0,-140.0,-3.0,100.0,46.0,-110.0,-140.0,-2.5,-115.0,46.5,-110.0,-145.0,-3.0,105.0,46.5,-110.0
