eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds,127_ml,127_spr,127_spr_odds,127_ou,127_ou_odds
4642866,1543,477,2022,13,Mon 12/5,8:15 PM,New Orleans,16,FINAL,83.08,3340.0,69.77,6670.0,57.24,0.0,210.0,6.5,-107.0,42.0,-110.0,170.0,3.0,101.0,40.5,-110.0,175.0,3.5,-115.0,41.0,-105.0,170.0,3.5,-115.0,40.5,-115.0,170.0,3.5,-115.0,40.5,-115.0,169.0,3.5,-106.0,41.0,-104.0,167.0,3.0,101.0,41.0,-110.0,160.0,3.0,105.0,40.5,-110.0,165.0,3.0,107.0,41.0,-108.0,167.0,3.0,103.0,41.0,-110.0,150.0,-3.0,100.0,40.5,-110.0,167.0,3.0,101.0,41.0,-110.0,155.0,3.0,100.0,40.5,-110.0,150.0,3.5,-120.0,41.0,-103.0
4642866,1544,478,2022,13,,,Tampa Bay,17,,16.92,680.0,30.23,2890.0,42.76,0.0,-250.0,-6.5,-113.0,42.0,-110.0,-195.0,-3.0,-121.0,40.5,-110.0,-210.0,-3.5,-105.0,41.0,-115.0,-200.0,-3.5,-105.0,40.5,-105.0,-200.0,-3.5,-105.0,40.5,-105.0,-189.0,-3.5,-104.0,41.0,-108.0,-197.0,-3.0,-121.0,41.0,-110.0,-180.0,-3.0,-125.0,40.5,-110.0,-190.0,-3.0,-123.0,41.0,-108.0,-192.0,-3.0,-123.0,41.0,-110.0,-180.0,-3.0,-120.0,40.5,-110.0,-197.0,-3.0,-121.0,41.0,-110.0,-185.0,-3.0,-120.0,40.5,-110.0,-182.0,-3.5,-116.0,41.0,-123.0
4642853,1537,461,2022,13,Sun 12/4,1:00 PM,Washington,20,FINAL OT,52.03,1410.0,62.57,5500.0,59.88,0.0,-128.0,-1.5,-110.0,42.0,-110.0,-130.0,-2.5,-107.0,40.0,-113.0,-135.0,-2.5,-110.0,40.0,-105.0,-140.0,-2.5,-110.0,40.5,-111.0,-140.0,-2.5,-110.0,40.5,-111.0,-122.0,-2.5,108.0,40.0,-103.0,-133.0,-2.0,-115.0,40.0,-110.0,-135.0,-2.5,-110.0,40.0,-110.0,-135.0,-2.5,-108.0,40.0,-108.0,-134.0,-2.5,-111.0,40.5,-106.0,-136.0,-2.5,-110.0,40.0,-110.0,-133.0,-2.0,-115.0,40.0,-110.0,-140.0,-2.5,-110.0,40.5,-110.0,-128.0,-2.5,-104.0,40.5,-106.0
4642853,1535,462,2022,13,,,N.Y. Giants,20,,47.97,1300.0,37.43,3290.0,40.12,0.0,108.0,1.5,-110.0,42.0,-110.0,110.0,2.5,-113.0,40.0,-107.0,115.0,2.5,-110.0,40.0,-115.0,120.0,2.5,-110.0,40.5,-109.0,120.0,2.5,-110.0,40.5,-109.0,111.0,2.5,-119.0,40.0,-109.0,113.0,2.0,-105.0,40.0,-110.0,115.0,2.5,-110.0,40.0,-110.0,115.0,2.5,-108.0,40.0,-108.0,114.0,2.5,-109.0,40.5,-114.0,112.0,2.5,-110.0,40.0,-110.0,113.0,2.0,-105.0,40.0,-110.0,120.0,2.5,-110.0,40.5,-110.0,107.0,2.5,-109.0,40.5,-114.0
4642854,1534,453,2022,13,Sun 12/4,1:00 PM,Denver,9,FINAL,84.79,5350.0,79.17,8020.0,48.18,0.0,300.0,6.5,-110.0,41.0,-110.0,310.0,8.5,-110.0,40.5,-110.0,310.0,8.5,-110.0,40.5,-110.0,344.0,9.0,-110.0,40.0,-110.0,344.0,9.0,-110.0,40.0,-110.0,7335.0,9.5,-123.0,40.5,-113.0,315.0,9.0,-110.0,40.5,-110.0,340.0,9.0,-110.0,40.5,-110.0,330.0,8.0,-108.0,40.5,-108.0,326.0,8.5,-111.0,40.5,-109.0,325.0,8.5,-110.0,40.5,-110.0,315.0,9.0,-110.0,40.5,-110.0,330.0,9.0,-110.0,40.5,-110.0,319.0,8.5,-105.0,41.0,-106.0
4642854,1521,454,2022,13,,,Baltimore,10,,15.21,960.0,20.83,2110.0,51.82,0.0,-370.0,-6.5,-110.0,41.0,-110.0,-380.0,-8.5,-110.0,40.5,-110.0,-415.0,-8.5,-110.0,40.5,-110.0,-440.0,-9.0,-110.0,40.0,-110.0,-440.0,-9.0,-110.0,40.0,-110.0,-34345.0,-9.5,111.0,40.5,100.0,-375.0,-9.0,-110.0,40.5,-110.0,-420.0,-9.0,-110.0,40.5,-110.0,-420.0,-8.0,-108.0,40.5,-108.0,-406.0,-8.5,-109.0,40.5,-111.0,-435.0,-8.5,-110.0,40.5,-110.0,-375.0,-9.0,-110.0,40.5,-110.0,-450.0,-9.0,-110.0,40.5,-110.0,-417.0,-8.5,-116.0,41.0,-114.0
4642855,1519,455,2022,13,Sun 12/4,1:00 PM,Pittsburgh,19,FINAL,53.7,580.0,51.88,4270.0,70.15,0.0,-115.0,0.0,-110.0,42.0,-110.0,-120.0,-1.0,-111.0,43.0,-110.0,-130.0,-1.0,-115.0,43.5,-110.0,-125.0,-1.0,-115.0,43.0,-110.0,-125.0,-1.0,-115.0,43.0,-110.0,-113.0,-1.0,-105.0,43.0,-103.0,-120.0,-1.0,-114.0,42.5,-115.0,-120.0,-1.5,-110.0,42.5,-110.0,-120.0,-1.5,-108.0,43.0,-108.0,-122.0,-1.5,-109.0,42.5,-114.0,-121.0,-1.5,-110.0,43.0,-110.0,-120.0,-1.0,-114.0,42.5,-115.0,-123.0,-1.5,-110.0,42.5,-110.0,-120.0,-1.5,-110.0,42.5,-115.0
4642855,1546,456,2022,13,,,Atlanta,16,,46.3,500.0,48.12,3960.0,29.85,0.0,-105.0,0.0,-110.0,42.0,-110.0,100.0,1.0,-109.0,43.0,-110.0,110.0,1.0,-105.0,43.5,-110.0,105.0,1.0,-105.0,43.0,-110.0,105.0,1.0,-105.0,43.0,-110.0,103.0,1.0,-105.0,43.0,-109.0,100.0,1.0,-106.0,42.5,-105.0,100.0,1.5,-110.0,42.5,-110.0,100.0,1.5,-108.0,43.0,-108.0,102.0,1.5,-111.0,42.5,-106.0,-101.0,1.5,-110.0,43.0,-110.0,100.0,1.0,-106.0,42.5,-105.0,103.0,1.5,-110.0,42.5,-110.0,100.0,1.5,-120.0,42.5,-104.0
4642856,1523,451,2022,13,Sun 12/4,1:00 PM,N.Y. Jets,22,FINAL,73.15,2670.0,52.1,6090.0,73.08,0.0,135.0,3.0,-106.0,41.0,-110.0,130.0,2.5,-103.0,44.0,-107.0,135.0,3.0,-125.0,44.0,-110.0,130.0,3.0,-120.0,44.0,-108.0,130.0,3.0,-120.0,44.0,-108.0,134.0,3.0,-116.0,44.0,101.0,130.0,3.0,-117.0,44.0,-107.0,130.0,3.0,-120.0,43.5,-110.0,125.0,3.0,-118.0,43.5,-108.0,127.0,2.5,-103.0,44.0,-107.0,129.0,-3.0,-115.0,44.0,-110.0,130.0,3.0,-117.0,44.0,-107.0,130.0,3.0,-120.0,44.0,-110.0,128.0,3.0,-116.0,44.0,-106.0
4642856,1541,452,2022,13,,,Minnesota,27,,26.85,980.0,47.9,5600.0,26.92,0.0,-155.0,-3.0,-114.0,41.0,-110.0,-150.0,-2.5,-117.0,44.0,-113.0,-160.0,-3.0,105.0,44.0,-110.0,-150.0,-3.0,100.0,44.0,-112.0,-150.0,-3.0,100.0,44.0,-112.0,-148.0,-3.0,105.0,44.0,-114.0,-150.0,-3.0,-103.0,44.0,-113.0,-150.0,-3.0,100.0,43.5,-110.0,-145.0,-3.0,102.0,43.5,-108.0,-147.0,-2.5,-117.0,44.0,-113.0,-157.0,-3.0,-105.0,44.0,-110.0,-150.0,-3.0,-103.0,44.0,-113.0,-150.0,-3.0,100.0,44.0,-110.0,-154.0,-3.0,-105.0,44.0,-114.0
