eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3778621,1522,277,2019,4,Mon 9/30,8:15 PM,Cincinnati,3,FINAL,56.0,14030.0,51.0,58700.0,54.0,27810.0,190.0,3.5,-110.0,43.5,-110.0,160.0,3.5,-119.0,45.0,-110.0,155.0,3.5,-115.0,45.0,-115.0,155.0,3.5,-119.0,45.0,-114.0,153.0,3.5,-119.0,45.0,-114.0,160.0,3.5,-112.0,45.5,106.0,155.0,3.5,-115.0,45.0,-115.0,160.0,3.5,-120.0,45.0,-110.0,165.0,3.5,-115.0,45.0,-110.0,170.0,3.0,120.0,45.0,-105.0,168.0,3.0,113.0,45.0,-107.0,140.0,3.5,-115.0,45.0,-115.0,155.0,3.5,-115.0,45.0,-115.0
3778621,1519,278,2019,4,,,Pittsburgh,27,,44.0,11220.0,49.0,56330.0,46.0,23930.0,-220.0,-3.5,-110.0,43.5,-110.0,-180.0,-3.5,-101.0,45.0,-110.0,-175.0,-3.5,-105.0,45.0,-105.0,-180.0,-3.5,-101.0,45.0,-106.0,-178.0,-3.5,-101.0,45.0,-106.0,-179.0,-3.5,101.0,45.5,-118.0,-175.0,-3.5,-105.0,45.0,-105.0,-180.0,-3.5,100.0,45.0,-110.0,-185.0,-3.5,-105.0,45.0,-110.0,-195.0,-3.0,-130.0,45.0,-105.0,-193.0,-3.0,-133.0,45.0,-113.0,-170.0,-3.5,-105.0,45.0,-105.0,-175.0,-3.5,-105.0,45.0,-105.0
3778609,1545,251,2019,4,Sun 9/29,1:00 PM,Carolina,16,FINAL,52.0,650.0,44.0,5720.0,66.0,1730.0,200.0,4.0,-110.0,46.0,-110.0,250.0,5.0,100.0,48.0,-105.0,220.0,5.5,-105.0,48.0,-110.0,215.0,5.5,-105.0,47.5,-110.0,215.0,5.5,-105.0,47.5,-110.0,224.0,5.5,-100.0,47.5,-106.0,210.0,5.0,100.0,47.5,-110.0,200.0,5.5,-105.0,47.5,-110.0,215.0,5.5,-110.0,47.5,-110.0,225.0,5.5,-105.0,48.0,-105.0,226.0,5.5,-106.0,47.5,-113.0,210.0,5.5,-105.0,48.0,-110.0,210.0,5.0,100.0,47.5,-110.0
3778609,1530,252,2019,4,,,Houston,10,,48.0,600.0,56.0,7150.0,34.0,890.0,-240.0,-4.0,-110.0,46.0,-110.0,-300.0,-5.0,-120.0,48.0,-115.0,-270.0,-5.5,-115.0,48.0,-110.0,-260.0,-5.5,-115.0,47.5,-110.0,-260.0,-5.5,-115.0,47.5,-110.0,-257.0,-5.5,-110.0,47.5,-105.0,-250.0,-5.0,-120.0,47.5,-110.0,-240.0,-5.5,-115.0,47.5,-110.0,-255.0,-5.5,-110.0,47.5,-110.0,-275.0,-5.5,-105.0,48.0,-105.0,-276.0,-5.5,-114.0,47.5,-107.0,-270.0,-5.5,-115.0,48.0,-110.0,-250.0,-5.0,-120.0,47.5,-110.0
3778610,1520,253,2019,4,Sun 9/29,1:00 PM,Cleveland,40,FINAL,61.0,1260.0,50.0,7320.0,49.0,650.0,220.0,3.0,-110.0,46.5,-110.0,271.0,7.0,-110.0,47.0,-110.0,290.0,7.0,-105.0,47.5,-115.0,290.0,7.0,-106.0,47.0,-115.0,290.0,7.0,-106.0,47.0,-115.0,279.0,7.5,-117.0,47.0,-104.0,280.0,7.5,-130.0,47.0,-110.0,275.0,7.5,-120.0,47.5,-110.0,285.0,7.0,-110.0,47.0,-115.0,285.0,7.0,-105.0,47.5,-105.0,285.0,7.0,-110.0,47.5,-108.0,275.0,7.0,-110.0,47.5,-110.0,280.0,7.5,-130.0,47.0,-110.0
3778610,1521,254,2019,4,,,Baltimore,25,,39.0,810.0,50.0,7420.0,51.0,680.0,-260.0,-3.0,-110.0,46.5,-110.0,-321.0,-7.0,-110.0,47.0,-110.0,-380.0,-7.0,-115.0,47.5,-105.0,-361.0,-7.0,-114.0,47.0,-105.0,-361.0,-7.0,-114.0,47.0,-105.0,-327.0,-7.5,106.0,47.0,-107.0,-340.0,-7.5,110.0,47.0,-110.0,-340.0,-7.5,100.0,47.5,-110.0,-345.0,-7.0,-110.0,47.0,-105.0,-355.0,-7.0,-105.0,47.5,-105.0,-355.0,-7.0,-110.0,47.5,-112.0,-350.0,-7.0,-110.0,47.5,-110.0,-340.0,-7.5,110.0,47.0,-110.0
3778611,1531,261,2019,4,Sun 9/29,1:00 PM,Kansas City,34,FINAL,55.0,1090.0,67.0,16070.0,61.0,1390.0,-285.0,-5.5,-110.0,53.0,-105.0,-360.0,-7.5,110.0,55.0,-105.0,-430.0,-7.5,-115.0,55.0,-115.0,-375.0,-7.0,-110.0,55.0,-106.0,-375.0,-7.0,-110.0,55.0,-106.0,-364.0,-7.5,105.0,54.5,101.0,-370.0,-7.5,105.0,54.5,-110.0,-380.0,-7.5,100.0,54.5,-110.0,-380.0,-7.0,-115.0,54.5,-110.0,-395.0,-7.0,-105.0,54.5,-105.0,-393.0,-7.0,-109.0,54.5,-112.0,-400.0,-7.5,-120.0,55.0,-110.0,-370.0,-7.5,105.0,54.5,-110.0
3778611,1539,262,2019,4,,,Detroit,30,,45.0,890.0,33.0,7900.0,39.0,880.0,240.0,5.5,-110.0,53.0,-115.0,300.0,7.5,-130.0,55.0,-115.0,315.0,7.5,-105.0,55.0,-105.0,299.0,7.0,-110.0,55.0,-114.0,299.0,7.0,-110.0,55.0,-114.0,307.0,7.5,-116.0,54.5,-113.0,310.0,7.5,-125.0,54.5,-110.0,300.0,7.5,-120.0,54.5,-110.0,310.0,7.0,-105.0,54.5,-110.0,315.0,7.0,-105.0,54.5,-105.0,313.0,7.0,-111.0,54.5,-108.0,310.0,7.5,100.0,55.0,-110.0,310.0,7.5,-125.0,54.5,-110.0
3778612,1525,263,2019,4,Sun 9/29,1:00 PM,New England,16,FINAL,43.0,900.0,64.0,14170.0,34.0,2410.0,-320.0,-6.5,-110.0,44.0,-110.0,-350.0,-7.0,-114.0,41.5,-106.0,-380.0,-7.5,-115.0,41.5,-115.0,-327.0,-7.0,-110.0,41.5,-110.0,-327.0,-7.0,-110.0,41.5,-110.0,-321.0,-7.0,-102.0,41.5,-103.0,-335.0,-7.0,-110.0,41.5,-110.0,-330.0,-7.0,-115.0,41.5,-110.0,-340.0,-7.0,-110.0,41.5,-110.0,-345.0,-7.0,-105.0,41.5,-105.0,-345.0,-7.0,-111.0,41.5,-106.0,-350.0,-7.5,-120.0,41.0,-110.0,-335.0,-7.0,-110.0,41.5,-110.0
3778612,1526,264,2019,4,,,Buffalo,10,,57.0,1190.0,36.0,7940.0,66.0,4770.0,270.0,6.5,-110.0,44.0,-110.0,290.0,7.0,-106.0,41.5,-114.0,290.0,7.5,-105.0,41.5,-105.0,265.0,7.0,-110.0,41.5,-110.0,265.0,7.0,-110.0,41.5,-110.0,274.0,7.0,-108.0,41.5,-108.0,275.0,7.0,-110.0,41.5,-110.0,270.0,7.0,-105.0,41.5,-110.0,280.0,7.0,-110.0,41.5,-110.0,275.0,7.0,-105.0,41.5,-105.0,275.0,7.0,-109.0,41.5,-114.0,280.0,7.5,100.0,41.0,-110.0,275.0,7.0,-110.0,41.5,-110.0
