eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3778623,1520,477,2019,5,Mon 10/7,8:15 PM,Cleveland,3,FINAL,65.0,24270.0,52.0,67880.0,57.0,22160.0,155.0,4.5,-110.0,46.5,-110.0,185.0,5.0,-110.0,47.5,-115.0,165.0,4.5,-105.0,48.5,-105.0,192.0,5.0,-110.0,48.0,-115.0,192.0,5.0,-110.0,48.0,-115.0,199.0,5.0,101.0,47.5,-111.0,193.0,5.0,-110.0,48.0,-110.0,185.0,5.0,-115.0,48.0,-110.0,190.0,5.0,-110.0,48.0,-110.0,185.0,5.0,-105.0,48.0,-105.0,191.0,5.0,-112.0,48.0,-107.0,160.0,5.0,-115.0,48.0,-115.0,193.0,5.0,-110.0,48.0,-110.0
3778623,1547,478,2019,5,,,San Francisco,31,,35.0,12820.0,48.0,62030.0,43.0,16740.0,-175.0,-4.5,-110.0,46.5,-110.0,-215.0,-5.0,-110.0,47.5,-105.0,-200.0,-4.5,-115.0,48.5,-115.0,-230.0,-5.0,-110.0,48.0,-105.0,-230.0,-5.0,-110.0,48.0,-105.0,-226.0,-5.0,-111.0,47.5,-100.0,-233.0,-5.0,-110.0,48.0,-110.0,-225.0,-5.0,-105.0,48.0,-110.0,-220.0,-5.0,-110.0,48.0,-110.0,-215.0,-5.0,-105.0,48.0,-105.0,-226.0,-5.0,-108.0,48.0,-113.0,-195.0,-5.0,-105.0,48.0,-105.0,-233.0,-5.0,-110.0,48.0,-110.0
3778624,1526,469,2019,5,Sun 10/6,1:00 PM,Buffalo,14,FINAL,88.0,210.0,47.0,1300.0,55.0,320.0,135.0,1.5,-110.0,38.5,-110.0,153.0,3.0,106.0,39.5,-105.0,145.0,3.0,100.0,39.0,-105.0,155.0,3.5,-118.0,39.0,-107.0,155.0,3.5,-118.0,39.0,-107.0,162.0,3.5,-110.0,39.5,-101.0,155.0,3.0,105.0,39.5,-110.0,155.0,3.0,100.0,39.0,-110.0,165.0,3.0,105.0,39.5,-110.0,155.0,3.0,110.0,38.5,-105.0,154.0,3.0,106.0,39.0,-108.0,135.0,3.0,100.0,39.0,-110.0,155.0,3.0,105.0,39.5,-110.0
3778624,1528,470,2019,5,,,Tennessee,7,,13.0,30.0,53.0,1490.0,45.0,260.0,-155.0,-1.5,-110.0,38.5,-110.0,-173.0,-3.0,-126.0,39.5,-115.0,-165.0,-3.0,-120.0,39.0,-115.0,-180.0,-3.5,-102.0,39.0,-113.0,-180.0,-3.5,-102.0,39.0,-113.0,-182.0,-3.5,-101.0,39.5,-111.0,-175.0,-3.0,-125.0,39.5,-110.0,-175.0,-3.0,-120.0,39.0,-110.0,-185.0,-3.0,-125.0,39.5,-110.0,-180.0,-3.0,-120.0,38.5,-105.0,-174.0,-3.0,-126.0,39.0,-112.0,-165.0,-3.0,-120.0,39.0,-110.0,-175.0,-3.0,-125.0,39.5,-110.0
3778625,1546,467,2019,5,Sun 10/6,1:00 PM,Atlanta,32,FINAL,41.0,200.0,60.0,590.0,48.0,200.0,190.0,4.0,-110.0,49.5,-110.0,175.0,4.0,-110.0,49.0,-118.0,175.0,4.0,-105.0,50.0,-110.0,176.0,4.0,-105.0,49.5,-111.0,176.0,4.0,-110.0,49.5,-111.0,184.0,4.0,-101.0,49.0,-110.0,175.0,4.0,-110.0,49.0,-115.0,175.0,4.0,-110.0,49.5,-110.0,180.0,4.0,-110.0,49.0,-110.0,180.0,4.0,-105.0,50.0,-105.0,176.0,4.0,-112.0,49.5,-109.0,170.0,4.5,-115.0,49.5,-110.0,175.0,4.0,-110.0,49.0,-115.0
3778625,1530,468,2019,5,,,Houston,53,,59.0,290.0,40.0,400.0,52.0,220.0,-220.0,-4.0,-110.0,49.5,-110.0,-205.0,-4.0,-110.0,49.0,-102.0,-210.0,-4.0,-115.0,50.0,-110.0,-210.0,-4.0,-115.0,49.5,-109.0,-210.0,-4.0,-110.0,49.5,-109.0,-207.0,-4.0,-109.0,49.0,-101.0,-210.0,-4.0,-110.0,49.0,-105.0,-205.0,-4.0,-110.0,49.5,-110.0,-210.0,-4.0,-110.0,49.0,-110.0,-210.0,-4.0,-105.0,50.0,-105.0,-206.0,-4.0,-108.0,49.5,-111.0,-220.0,-4.5,-105.0,49.5,-110.0,-210.0,-4.0,-110.0,49.0,-105.0
3778628,1521,451,2019,5,Sun 10/6,1:00 PM,Baltimore,26,FINAL OT,39.0,560.0,46.0,6720.0,64.0,520.0,-170.0,3.0,-110.0,42.5,-110.0,-170.0,-3.5,-101.0,44.5,-112.0,-175.0,-3.5,-110.0,45.0,-105.0,-180.0,-3.0,-125.0,44.0,-115.0,-177.0,-3.0,-124.0,44.0,-115.0,-179.0,-3.5,102.0,44.0,-108.0,-175.0,-3.0,-130.0,44.5,-110.0,-170.0,-3.0,-120.0,44.5,-110.0,-180.0,-3.0,-120.0,44.0,-110.0,-170.0,-3.0,-115.0,44.5,-105.0,-169.0,-3.0,-122.0,44.0,-113.0,-165.0,-3.5,105.0,44.5,-110.0,-175.0,-3.0,-130.0,44.5,-110.0
3778628,1519,452,2019,5,,,Pittsburgh,23,,61.0,870.0,54.0,8020.0,36.0,290.0,150.0,-3.0,-110.0,42.5,-110.0,150.0,3.5,-119.0,44.5,-108.0,155.0,3.5,-110.0,45.0,-115.0,155.0,3.0,105.0,44.0,-105.0,153.0,3.0,104.0,44.0,-105.0,160.0,3.5,-113.0,44.0,-103.0,155.0,3.0,110.0,44.5,-110.0,150.0,3.0,100.0,44.5,-110.0,160.0,3.0,100.0,44.0,-110.0,150.0,3.0,105.0,44.5,-105.0,149.0,3.0,102.0,44.0,-107.0,135.0,3.5,-125.0,44.5,-110.0,155.0,3.0,110.0,44.5,-110.0
3778630,1525,461,2019,5,Sun 10/6,1:00 PM,New England,33,FINAL,58.0,520.0,67.0,9060.0,32.0,1170.0,-850.0,-13.0,-115.0,47.0,-110.0,-1300.0,-16.5,-115.0,41.5,-120.0,-1500.0,-17.0,-110.0,42.0,-110.0,-1109.0,-16.0,-115.0,42.0,-111.0,-1139.0,-16.0,-115.0,42.0,-111.0,-963.0,-15.5,-112.0,42.0,-109.0,-905.0,-16.5,-110.0,41.5,-120.0,-1200.0,-16.5,-110.0,42.0,-110.0,-1100.0,-16.5,-110.0,41.5,-110.0,-1210.0,-16.0,-105.0,41.5,-105.0,-1086.0,-16.5,-110.0,42.0,-111.0,-1500.0,-17.0,-115.0,41.5,-105.0,-905.0,-16.5,-110.0,41.5,-120.0
3778630,1537,462,2019,5,,,Washington,7,,42.0,380.0,33.0,4550.0,68.0,2540.0,635.0,13.0,-105.0,47.0,-110.0,800.0,16.5,-105.0,41.5,100.0,775.0,17.0,-110.0,42.0,-110.0,715.0,16.0,-105.0,42.0,-109.0,728.0,16.0,-105.0,42.0,-109.0,695.0,15.5,101.0,42.0,-102.0,605.0,16.5,-110.0,41.5,100.0,700.0,16.5,-110.0,42.0,-110.0,700.0,16.5,-110.0,41.5,-110.0,860.0,16.0,-105.0,41.5,-105.0,786.0,16.5,-110.0,42.0,-109.0,800.0,17.0,-105.0,41.5,-115.0,605.0,16.5,-110.0,41.5,100.0
