eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3778741,1541,475,2019,13,Mon 12/2,8:15 PM,Minnesota,30,FINAL,40.0,2880.0,46.0,4640.0,42.0,2900.0,130.0,1.5,-105.0,49.5,-110.0,138.0,3.0,-114.0,48.5,-110.0,150.0,3.0,-105.0,49.0,-105.0,142.0,3.5,-117.0,47.5,-112.0,142.0,3.5,-117.0,47.5,-112.0,138.0,2.5,112.0,48.0,-102.0,138.0,2.0,105.0,48.0,-105.0,140.0,3.0,-110.0,48.0,-110.0,140.0,3.0,-115.0,48.0,-110.0,130.0,2.5,105.0,48.5,-105.0,126.0,2.5,101.0,48.5,-108.0,135.0,3.0,-105.0,49.0,-110.0,138.0,2.0,105.0,48.0,-105.0
3778741,1548,476,2019,13,,,Seattle,37,,60.0,4390.0,54.0,5460.0,58.0,4070.0,-150.0,-1.5,-115.0,49.5,-110.0,-158.0,-3.0,-106.0,48.5,-110.0,-170.0,-3.0,-115.0,49.0,-115.0,-192.0,-3.5,-112.0,47.5,-117.0,-192.0,-3.5,-112.0,47.5,-117.0,-154.0,-2.5,-124.0,48.0,-109.0,-158.0,-2.0,-125.0,48.0,-115.0,-160.0,-3.0,-110.0,48.0,-110.0,-160.0,-3.0,-105.0,48.0,-110.0,-150.0,-2.5,-115.0,48.5,-105.0,-146.0,-2.5,-121.0,48.5,-112.0,-155.0,-3.0,-115.0,49.0,-110.0,-158.0,-2.0,-125.0,48.0,-115.0
3778738,1536,459,2019,13,Sun 12/1,1:00 PM,Philadelphia,31,FINAL,51.0,420.0,57.0,3430.0,41.0,370.0,-380.0,-7.5,-110.0,46.5,-105.0,-515.0,-10.5,-104.0,45.0,-110.0,-600.0,-10.5,-110.0,45.0,-105.0,-550.0,-10.0,-118.0,44.5,-110.0,-550.0,-10.0,-118.0,44.5,-110.0,-469.0,-10.5,-100.0,45.0,-109.0,-537.0,-10.5,100.0,45.0,-110.0,-500.0,-10.5,-110.0,45.0,-110.0,-550.0,-10.0,-115.0,44.5,-110.0,-540.0,-10.0,-105.0,45.0,-105.0,-519.0,-10.0,-113.0,45.0,-109.0,-450.0,-9.5,-110.0,44.5,-110.0,-537.0,-10.5,100.0,45.0,-110.0
3778738,1524,460,2019,13,,,Miami,37,,49.0,400.0,43.0,2620.0,59.0,540.0,320.0,7.5,-110.0,46.5,-115.0,420.0,10.5,-116.0,45.0,-110.0,400.0,10.5,-110.0,45.0,-115.0,416.0,10.0,-102.0,44.5,-110.0,416.0,10.0,-102.0,44.5,-110.0,382.0,10.5,-110.0,45.0,-102.0,417.0,10.5,-120.0,45.0,-110.0,375.0,10.5,-110.0,45.0,-110.0,425.0,10.0,-105.0,44.5,-110.0,415.0,10.0,-105.0,45.0,-105.0,394.0,10.0,-107.0,45.0,-111.0,360.0,9.5,-110.0,44.5,-110.0,417.0,10.5,-120.0,45.0,-110.0
3778739,1523,465,2019,13,Sun 12/1,1:00 PM,N.Y. Jets,6,FINAL,48.0,660.0,65.0,7760.0,68.0,1760.0,-170.0,-3.5,-110.0,41.0,-110.0,-130.0,-2.5,-115.0,43.0,-110.0,-145.0,-3.0,-105.0,43.0,-115.0,-141.0,-2.5,-103.0,43.5,-110.0,-141.0,-2.5,-103.0,43.5,-110.0,-123.0,-2.5,102.0,43.0,-104.0,-140.0,-2.0,-110.0,43.0,-110.0,-135.0,-2.5,-115.0,43.0,-110.0,-140.0,-2.5,-110.0,43.0,-110.0,-140.0,-2.5,-105.0,43.0,-105.0,-137.0,-2.5,-116.0,43.0,-110.0,-195.0,-3.5,100.0,41.0,-110.0,-140.0,-2.0,-110.0,43.0,-110.0
3778739,1522,466,2019,13,,,Cincinnati,22,,52.0,710.0,35.0,4150.0,32.0,820.0,150.0,3.5,-110.0,41.0,-110.0,110.0,2.5,-105.0,43.0,-110.0,125.0,3.0,-115.0,43.0,-105.0,121.0,2.5,-118.0,43.5,-110.0,121.0,2.5,-118.0,43.5,-110.0,111.0,2.5,-112.0,43.0,-107.0,120.0,2.0,-110.0,43.0,-110.0,115.0,2.5,-105.0,43.0,-110.0,120.0,2.5,-110.0,43.0,-110.0,120.0,2.5,-105.0,43.0,-105.0,117.0,2.5,-104.0,43.0,-110.0,165.0,3.5,-120.0,41.0,-110.0,120.0,2.0,-110.0,43.0,-110.0
3778742,1528,457,2019,13,Sun 12/1,1:00 PM,Tennessee,31,FINAL,54.0,970.0,57.0,670.0,44.0,460.0,145.0,3.5,-105.0,41.5,-110.0,-113.0,0.0,-110.0,41.5,-115.0,-125.0,-1.0,-115.0,42.0,-110.0,-118.0,-1.0,-110.0,42.0,-103.0,-118.0,-1.0,-110.0,42.0,-103.0,-109.0,-1.0,-102.0,41.5,-106.0,100.0,-1.0,-115.0,41.5,-110.0,-120.0,-1.0,-110.0,42.0,-110.0,-120.0,-1.0,-115.0,41.5,-110.0,-115.0,0.0,-105.0,41.5,-105.0,-114.0,0.0,-112.0,41.5,-110.0,120.0,2.5,-110.0,43.5,-110.0,100.0,-1.0,-115.0,41.5,-110.0
3778742,1527,458,2019,13,,,Indianapolis,17,,46.0,820.0,43.0,510.0,56.0,590.0,-165.0,-3.5,-115.0,41.5,-110.0,-107.0,0.0,-110.0,41.5,-105.0,105.0,1.0,-105.0,42.0,-110.0,-102.0,1.0,-110.0,42.0,-118.0,-102.0,1.0,-110.0,42.0,-118.0,-101.0,1.0,-108.0,41.5,-105.0,-120.0,1.0,-105.0,41.5,-110.0,100.0,1.0,-110.0,42.0,-110.0,100.0,1.0,-105.0,41.5,-110.0,-105.0,0.0,-105.0,41.5,-105.0,-106.0,0.0,-108.0,41.5,-110.0,-140.0,-2.5,-110.0,43.5,-110.0,-120.0,1.0,-105.0,41.5,-110.0
3778746,1520,471,2019,13,Sun 12/1,1:00 PM,Cleveland,13,FINAL,53.0,1270.0,62.0,6480.0,32.0,370.0,-120.0,2.5,105.0,40.5,-110.0,-113.0,-1.0,-105.0,40.0,-115.0,-125.0,-1.5,-110.0,40.0,-110.0,-114.0,1.0,-105.0,40.5,-110.0,-114.0,1.0,-105.0,40.5,-110.0,-113.0,-1.0,-107.0,40.0,-109.0,-125.0,-1.0,-110.0,40.0,-110.0,-110.0,-1.0,-105.0,40.5,-110.0,-120.0,-1.0,-110.0,40.0,-110.0,-125.0,0.0,-105.0,40.0,-105.0,-121.0,0.0,-112.0,40.5,-106.0,-135.0,-2.5,-110.0,40.0,-110.0,-125.0,-1.0,-110.0,40.0,-110.0
3778746,1519,472,2019,13,,,Pittsburgh,20,,47.0,1110.0,38.0,4010.0,68.0,780.0,100.0,-2.5,-125.0,40.5,-110.0,-107.0,1.0,-115.0,40.0,-105.0,105.0,1.5,-110.0,40.0,-110.0,-106.0,-1.0,-115.0,40.5,-110.0,-106.0,-1.0,-115.0,40.5,-110.0,103.0,1.0,-103.0,40.0,-102.0,105.0,1.0,-110.0,40.0,-110.0,-110.0,1.0,-115.0,40.5,-110.0,100.0,1.0,-110.0,40.0,-110.0,-107.0,0.0,-105.0,40.0,-105.0,-111.0,0.0,-108.0,40.5,-114.0,115.0,2.5,-110.0,40.0,-110.0,105.0,1.0,-110.0,40.0,-110.0
