eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3778706,1548,273,2019,10,Mon 11/11,8:15 PM,Seattle,27,FINAL OT,69.0,26760.0,53.0,69440.0,61.0,29500.0,225.0,0.0,-110.0,44.5,-110.0,229.0,6.5,-110.0,47.0,-108.0,200.0,6.0,-105.0,48.0,-105.0,215.0,6.5,-111.0,47.0,-106.0,215.0,6.5,-111.0,47.0,-106.0,233.0,6.5,-104.0,47.0,-104.0,230.0,6.5,-115.0,47.0,-110.0,195.0,6.0,-110.0,47.0,-110.0,215.0,6.5,-110.0,47.0,-110.0,210.0,6.5,-105.0,47.0,-105.0,226.0,6.5,-112.0,47.0,-107.0,190.0,6.5,-120.0,47.5,-115.0,230.0,6.5,-115.0,47.0,-110.0
3778706,1547,274,2019,10,,,San Francisco,24,,31.0,11810.0,47.0,61430.0,39.0,19160.0,-265.0,0.0,-110.0,44.5,-110.0,-269.0,-6.5,-110.0,47.0,-112.0,-240.0,-6.0,-115.0,48.0,-115.0,-260.0,-6.5,-109.0,47.0,-114.0,-260.0,-6.5,-109.0,47.0,-114.0,-268.0,-6.5,-106.0,47.0,-107.0,-270.0,-6.5,-105.0,47.0,-110.0,-235.0,-6.0,-110.0,47.0,-110.0,-255.0,-6.5,-110.0,47.0,-110.0,-260.0,-6.5,-105.0,47.0,-105.0,-276.0,-6.5,-108.0,47.0,-113.0,-250.0,-6.5,100.0,47.5,-105.0,-270.0,-6.5,-105.0,47.0,-110.0
3778695,1521,261,2019,10,Sun 11/10,1:00 PM,Baltimore,49,FINAL,100.0,200.0,43.0,1220.0,36.0,530.0,-440.0,-9.5,-110.0,46.5,-110.0,-510.0,-10.5,-108.0,43.5,-110.0,-620.0,-10.5,-115.0,44.5,-105.0,-575.0,-10.5,-112.0,44.5,-105.0,-575.0,-10.5,-112.0,44.0,-109.0,-435.0,-10.5,104.0,44.0,-104.0,-542.0,-10.5,-110.0,44.0,-110.0,-500.0,-10.5,-105.0,44.0,-110.0,-550.0,-10.5,-110.0,44.0,-110.0,-555.0,-10.5,-105.0,44.0,-105.0,-515.0,-10.5,-107.0,44.0,-107.0,-575.0,-10.5,-115.0,44.0,-115.0,-547.0,-10.5,-110.0,44.0,-110.0
3778695,1522,262,2019,10,,,Cincinnati,13,,0.0,0.0,57.0,1590.0,64.0,940.0,370.0,9.5,-110.0,46.5,-110.0,415.0,10.5,-112.0,43.5,-110.0,410.0,10.5,-105.0,44.5,-115.0,431.0,10.5,-108.0,44.5,-115.0,431.0,10.5,-108.0,44.0,-111.0,358.0,10.5,-114.0,44.0,-107.0,422.0,10.5,-110.0,44.0,-110.0,375.0,10.5,-115.0,44.0,-110.0,425.0,10.5,-110.0,44.0,-110.0,430.0,10.5,-105.0,44.0,-105.0,390.0,10.5,-113.0,44.0,-113.0,425.0,10.5,-105.0,44.0,-105.0,427.0,10.5,-110.0,44.0,-110.0
3778696,1526,253,2019,10,Sun 11/10,1:00 PM,Buffalo,16,FINAL,69.0,3360.0,60.0,8900.0,49.0,560.0,120.0,2.5,-105.0,42.5,-110.0,140.0,3.0,-110.0,42.0,-113.0,135.0,3.0,-105.0,42.5,-110.0,148.0,3.0,-108.0,42.0,-115.0,149.0,3.0,-110.0,42.0,-115.0,136.0,3.0,-108.0,42.0,-113.0,143.0,3.0,-110.0,42.0,-110.0,140.0,3.0,-110.0,42.0,-115.0,140.0,3.0,-115.0,42.0,-110.0,145.0,3.0,-105.0,42.5,-105.0,139.0,3.0,-108.0,42.0,-112.0,120.0,3.0,-105.0,42.0,-110.0,143.0,3.0,-110.0,42.0,-110.0
3778696,1520,254,2019,10,,,Cleveland,19,,31.0,1530.0,40.0,5970.0,51.0,580.0,-140.0,-2.5,-115.0,42.5,-110.0,-160.0,-3.0,-110.0,42.0,-107.0,-155.0,-3.0,-115.0,42.5,-110.0,-171.0,-3.0,-112.0,42.0,-105.0,-172.0,-3.0,-110.0,42.0,-105.0,-151.0,-3.0,-102.0,42.0,102.0,-163.0,-3.0,-110.0,42.0,-110.0,-160.0,-3.0,-110.0,42.0,-105.0,-160.0,-3.0,-105.0,42.0,-110.0,-165.0,-3.0,-105.0,42.5,-105.0,-159.0,-3.0,-112.0,42.0,-108.0,-140.0,-3.0,-115.0,42.0,-110.0,-163.0,-3.0,-110.0,42.0,-110.0
3778697,1546,259,2019,10,Sun 11/10,1:00 PM,Atlanta,26,FINAL,45.0,490.0,54.0,3460.0,57.0,1000.0,455.0,13.0,-105.0,51.0,-110.0,600.0,14.0,-115.0,51.5,-110.0,600.0,14.0,-115.0,52.0,-110.0,573.0,14.0,-119.0,51.5,-105.0,573.0,14.0,-120.0,51.5,-105.0,503.0,14.0,-114.0,51.5,-110.0,,14.0,-120.0,51.5,-110.0,525.0,14.0,-115.0,51.5,-110.0,575.0,13.5,-110.0,51.5,-110.0,595.0,13.5,-105.0,51.5,-105.0,557.0,13.5,-110.0,51.5,-110.0,550.0,14.0,-120.0,51.5,-110.0,,14.0,-120.0,51.5,-110.0
3778697,1543,260,2019,10,,,New Orleans,9,,55.0,610.0,46.0,2950.0,43.0,750.0,-560.0,-13.0,-115.0,51.0,-110.0,-775.0,-14.0,-105.0,51.5,-110.0,-1000.0,-14.0,-105.0,52.0,-110.0,-820.0,-14.0,-101.0,51.5,-115.0,-820.0,-14.0,100.0,51.5,-115.0,-649.0,-14.0,103.0,51.5,-101.0,,-14.0,100.0,51.5,-110.0,-750.0,-14.0,-105.0,51.5,-110.0,-850.0,-13.5,-110.0,51.5,-110.0,-795.0,-13.5,-105.0,51.5,-105.0,-732.0,-13.5,-110.0,51.5,-110.0,-800.0,-14.0,100.0,51.5,-110.0,,-14.0,100.0,51.5,-110.0
3778700,1535,257,2019,10,Sun 11/10,1:00 PM,N.Y. Giants,27,FINAL,48.0,570.0,53.0,4150.0,49.0,330.0,-150.0,3.5,-110.0,42.5,-110.0,-150.0,-3.0,100.0,43.0,-105.0,-150.0,-3.0,-105.0,43.5,-105.0,-150.0,-3.0,100.0,43.0,-109.0,-150.0,-3.0,100.0,43.0,-109.0,-147.0,-3.0,104.0,43.0,-109.0,-150.0,-3.0,100.0,43.5,-110.0,-150.0,-3.0,-105.0,43.0,-110.0,-150.0,-3.0,100.0,43.0,-110.0,-150.0,-3.0,-105.0,43.0,-105.0,-152.0,-3.0,-102.0,43.0,-108.0,-155.0,-3.0,-105.0,43.5,-110.0,-150.0,-3.0,100.0,43.5,-110.0
3778700,1523,258,2019,10,,,N.Y. Jets,34,,52.0,610.0,47.0,3740.0,51.0,340.0,130.0,-3.5,-110.0,42.5,-110.0,130.0,3.0,-120.0,43.0,-115.0,130.0,3.0,-115.0,43.5,-115.0,130.0,3.0,-120.0,43.0,-111.0,130.0,3.0,-120.0,43.0,-111.0,133.0,3.0,-115.0,43.0,-102.0,130.0,3.0,-120.0,43.5,-110.0,130.0,3.0,-115.0,43.0,-110.0,130.0,3.0,-120.0,43.0,-110.0,130.0,3.0,-105.0,43.0,-105.0,132.0,3.0,-118.0,43.0,-112.0,135.0,3.0,-115.0,43.5,-110.0,130.0,3.0,-120.0,43.5,-110.0
