eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82
3452849,379,2018,13,Mon 12/3,8:15 PM,Washington,13,FINAL,48.17,7.0,-115,5.5,-105.0,6.5,-115.0,5.5,-106.0,5.5,-106.0,5.5,-105.0,6.0,-110.0,5.5,-105.0,5.5,-105.0,5.5,-106.0,6.0,-110.0
3452849,380,2018,13,,,Philadelphia,28,,51.83,-7.0,-105,-5.5,-115.0,-6.5,-105.0,-5.5,-114.0,-5.5,-114.0,-5.5,-105.0,-6.0,-110.0,-5.5,-116.0,-5.5,-105.0,-5.5,-114.0,-6.0,-110.0
3452835,367,2018,13,Sun 12/2,1:00 PM,L.A. Rams,30,FINAL,54.47,-7.0,-110,-10.0,-113.0,-10.5,-110.0,-10.0,-110.0,-10.0,-110.0,-10.5,102.0,-10.0,-110.0,-10.0,-110.0,-10.0,-105.0,-10.0,-111.0,-10.5,100.0
3452835,368,2018,13,,,Detroit,16,,45.53,7.0,-110,10.0,-107.0,10.5,-110.0,10.0,-110.0,10.0,-110.0,10.5,-114.0,10.0,-110.0,10.0,-110.0,10.0,-105.0,10.0,-109.0,10.5,-120.0
3452837,355,2018,13,Sun 12/2,1:00 PM,Carolina,17,FINAL,60.34,-4.5,-110,-3.0,-122.0,-3.5,-115.0,-3.5,-105.0,-3.5,-105.0,-3.5,-101.0,-3.5,-105.0,-3.5,-105.0,-3.5,100.0,-3.5,-106.0,-4.0,-115.0
3452837,356,2018,13,,,Tampa Bay,24,,39.66,4.5,-110,3.0,102.0,3.5,-105.0,3.5,-115.0,3.5,-115.0,3.5,-110.0,3.5,-115.0,3.5,-116.0,3.5,-110.0,3.5,-114.0,4.0,-105.0
3452838,369,2018,13,Sun 12/2,1:00 PM,Arizona,20,FINAL,54.15,14.0,-110,13.5,-113.0,14.0,-120.0,13.5,-115.0,13.5,-115.0,13.5,-107.0,13.5,-115.0,13.5,-116.0,13.5,-110.0,13.5,-116.0,13.5,-105.0
3452838,370,2018,13,,,Green Bay,17,,45.85,-14.0,-110,-13.5,-107.0,-14.0,100.0,-13.5,-105.0,-13.5,-105.0,-13.5,-103.0,-13.5,-105.0,-13.5,-105.0,-13.5,100.0,-13.5,-104.0,-13.5,-115.0
3452839,365,2018,13,Sun 12/2,1:00 PM,Denver,24,FINAL,62.41,-3.5,-110,-3.5,-110.0,-4.5,-105.0,-3.5,-107.0,-3.5,-107.0,-3.5,102.0,-3.5,-110.0,-4.0,-110.0,-3.5,-105.0,-3.5,-109.0,-5.0,-115.0
3452839,366,2018,13,,,Cincinnati,10,,37.59,3.5,-110,3.5,-110.0,4.5,-115.0,3.5,-113.0,3.5,-113.0,3.5,-113.0,3.5,-110.0,4.0,-110.0,3.5,-105.0,3.5,-111.0,5.0,-105.0
