eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
3452805,275,2018,10,Mon 11/12,8:15 PM,N.Y. Giants,27,FINAL,53.08,2.5,-110.0,3.0,100.0,3.0,-105.0,3.0,100.0,3.0,100.0,3.0,110.0,3.5,-115.0,3.0,-105.0,3.0,100.0,3.0,105.0,3.0,-103.0,3.0,-110.0,3.5,-115.0
3452805,276,2018,10,,,San Francisco,23,,46.92,-2.5,-110.0,-3.0,-120.0,-3.0,-115.0,-3.0,-120.0,-3.0,-120.0,-3.0,-123.0,-3.5,-105.0,-3.0,-115.0,-3.0,-120.0,-3.0,-115.0,-3.0,-117.0,-3.0,-110.0,-3.5,-105.0
3452794,267,2018,10,Sun 11/11,1:00 PM,Arizona,14,FINAL,45.99,16.5,-110.0,16.5,-112.0,17.0,-110.0,15.5,-109.0,15.5,-109.0,16.5,-106.0,16.5,-115.0,16.5,-110.0,16.0,-110.0,16.5,-105.0,16.5,-108.0,17.0,-125.0,16.5,-115.0
3452794,268,2018,10,,,Kansas City,26,,54.01,-16.5,-110.0,-16.5,-108.0,-17.0,-110.0,-15.5,-111.0,-15.5,-111.0,-16.5,-104.0,-16.5,-105.0,-16.5,-110.0,-16.0,-110.0,-16.5,-105.0,-16.5,-112.0,-17.0,105.0,-16.5,-105.0
3452795,251,2018,10,Sun 11/11,1:00 PM,Buffalo,41,FINAL,51.93,7.5,-115.0,7.0,-118.0,7.0,-110.0,7.0,-140.0,7.0,-140.0,6.5,-108.0,7.0,-115.0,7.0,-115.0,7.0,-120.0,7.0,-115.0,7.0,-117.0,7.0,-120.0,7.0,-115.0
3452795,252,2018,10,,,N.Y. Jets,10,,48.07,-7.5,-105.0,-7.0,-102.0,-7.0,-110.0,-7.0,116.0,-7.0,116.0,-6.5,-103.0,-7.0,-105.0,-7.0,-105.0,-7.0,100.0,-7.0,105.0,-7.0,-103.0,-7.0,100.0,-7.0,-105.0
3452796,265,2018,10,Sun 11/11,1:00 PM,Detroit,22,FINAL,48.69,5.0,-110.0,7.5,-117.0,7.5,-115.0,7.0,100.0,7.0,100.0,7.5,-114.0,6.5,100.0,7.5,-120.0,7.0,100.0,7.0,105.0,7.0,-101.0,7.5,-120.0,6.5,100.0
3452796,266,2018,10,,,Chicago,34,,51.31,-5.0,-110.0,-7.5,-103.0,-7.5,-105.0,-7.0,-120.0,-7.0,-120.0,-7.5,102.0,-6.5,-120.0,-7.5,100.0,-7.0,-120.0,-7.0,-115.0,-7.0,-119.0,-7.5,100.0,-6.5,-120.0
3452797,263,2018,10,Sun 11/11,1:00 PM,Jacksonville,26,FINAL,50.23,3.0,-103.0,3.0,-110.0,3.0,-115.0,3.0,-103.0,3.0,-103.0,3.0,-105.0,2.5,100.0,3.0,100.0,3.0,-110.0,3.0,-105.0,3.0,-110.0,3.0,-105.0,2.5,100.0
3452797,264,2018,10,,,Indianapolis,29,,49.77,-3.0,-117.0,-3.0,-110.0,-3.0,-105.0,-3.0,-117.0,-3.0,-117.0,-3.0,-105.0,-2.5,-120.0,-3.0,-120.0,-3.0,-110.0,-3.0,-105.0,-3.0,-110.0,-3.0,-115.0,-2.5,-120.0
3452798,257,2018,10,Sun 11/11,1:00 PM,Washington,16,FINAL,41.69,-1.5,-110.0,3.5,-114.0,3.0,115.0,3.5,-110.0,3.5,-110.0,3.5,-108.0,3.0,-120.0,3.5,-110.0,3.5,-110.0,3.5,-105.0,3.5,-110.0,3.5,-105.0,3.0,-120.0
3452798,258,2018,10,,,Tampa Bay,3,,58.31,1.5,-110.0,-3.5,-106.0,-3.0,-135.0,-3.5,-110.0,-3.5,-110.0,-3.5,-103.0,-3.0,100.0,-3.5,-110.0,-3.5,-110.0,-3.5,-105.0,-3.5,-110.0,-3.5,-115.0,-3.0,100.0
3452799,255,2018,10,Sun 11/11,1:00 PM,New Orleans,51,FINAL,55.95,-4.5,-115.0,-6.0,-104.0,-6.5,-110.0,-6.0,-110.0,-6.0,-110.0,-5.5,-108.0,-5.5,-110.0,-6.0,-110.0,-6.0,-110.0,-5.5,-105.0,-5.5,-112.0,-6.5,-115.0,-5.5,-110.0
3452799,256,2018,10,,,Cincinnati,14,,44.05,4.5,-105.0,6.0,-116.0,6.5,-110.0,6.0,-110.0,6.0,-110.0,5.5,-103.0,5.5,-110.0,6.0,-110.0,6.0,-110.0,5.5,-105.0,5.5,-108.0,6.5,-105.0,5.5,-110.0
3452800,259,2018,10,Sun 11/11,1:00 PM,New England,10,FINAL,65.27,-6.5,-110.0,-6.0,-110.0,-7.0,-120.0,-6.5,101.0,-6.5,101.0,-6.0,101.0,-6.5,-110.0,-6.5,-110.0,-6.5,-110.0,-6.0,-105.0,-6.0,-112.0,-7.5,-110.0,-6.5,-110.0
3452800,260,2018,10,,,Tennessee,34,,34.73,6.5,-110.0,6.0,-110.0,7.0,100.0,6.5,-122.0,6.5,-122.0,6.0,-112.0,6.5,-110.0,6.5,-110.0,6.5,-110.0,6.0,-105.0,6.0,-108.0,7.5,-110.0,6.5,-110.0
