eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_29,adj_36,adj_44,adj_54,adj_82,ap_8,ap_9,ap_10,ap_16,ap_20,ap_29,ap_36,ap_44,ap_54,ap_82,perc,opening_adj,opening_ap
3452865,133,2018,14,Mon 12/10,8:15 PM,Minnesota,7,FINAL,1541,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-102.0,-120.0,100.0,100.0,105.0,-105.0,-105.0,100.0,-106.0,105.0,42.07,2.0,-110
3452865,134,2018,14,,,Seattle,21,,1548,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-118.0,100.0,-120.0,-120.0,-117.0,-115.0,-116.0,-110.0,-114.0,-125.0,57.93,-2.0,-110
3452852,113,2018,14,Sun 12/9,1:00 PM,New Orleans,28,FINAL,1543,-9.5,-10.0,-9.5,-9.5,-8.5,-9.5,-9.5,-9.0,-9.0,-10.0,-110.0,-110.0,-110.0,-110.0,-103.0,-110.0,-110.0,-105.0,-109.0,-105.0,56.41,-7.5,-110
3452852,114,2018,14,,,Tampa Bay,14,,1544,9.5,10.0,9.5,9.5,8.5,9.5,9.5,9.0,9.0,10.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-111.0,-115.0,43.59,7.5,-110
3452853,121,2018,14,Sun 12/9,1:00 PM,N.Y. Giants,40,FINAL,1535,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-115.0,100.0,-120.0,-120.0,-119.0,-120.0,-116.0,-110.0,-116.0,-115.0,58.65,1.0,-110
3452853,122,2018,14,,,Washington,16,,1537,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-105.0,-120.0,100.0,100.0,106.0,100.0,-105.0,100.0,-104.0,-105.0,41.35,-1.0,-110
3452854,111,2018,14,Sun 12/9,1:00 PM,Atlanta,20,FINAL,1546,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,-110.0,-105.0,-110.0,-110.0,-116.0,-115.0,-110.0,-105.0,-113.0,-115.0,38.81,4.5,-110
3452854,112,2018,14,,,Green Bay,34,,1542,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-110.0,-115.0,-110.0,-110.0,104.0,-105.0,-110.0,-105.0,-107.0,-105.0,61.19,-4.5,-110
3452855,107,2018,14,Sun 12/9,1:00 PM,Indianapolis,24,FINAL,1527,3.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-108.0,-120.0,-111.0,-111.0,-108.0,-110.0,-110.0,-105.0,-111.0,-110.0,56.57,3.5,-105
3452855,108,2018,14,,,Houston,21,,1530,-3.5,-4.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-112.0,100.0,-109.0,-109.0,-103.0,-110.0,-110.0,-105.0,-109.0,-110.0,43.43,-3.5,-115
3452856,115,2018,14,Sun 12/9,1:00 PM,N.Y. Jets,27,FINAL,1523,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,-112.0,-105.0,-115.0,-115.0,-105.0,-110.0,-116.0,-105.0,-109.0,-110.0,43.91,4.0,-110
