eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_29,adj_36,adj_44,adj_54,adj_82,ap_8,ap_9,ap_10,ap_16,ap_20,ap_29,ap_36,ap_44,ap_54,ap_82,perc,opening_adj,opening_ap
3452833,273,2018,12,Mon 11/26,8:15 PM,Tennessee,17,FINAL,1528,3.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,-113.0,-115.0,-129.0,-129.0,-114.0,-110.0,-110.0,-105.0,-111.0,-110.0,42.64,6.0,-115
3452833,274,2018,12,,,Houston,34,,1530,-3.5,-4.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-107.0,-105.0,107.0,107.0,102.0,-110.0,-110.0,-105.0,-109.0,-110.0,57.36,-6.0,-105
3452822,263,2018,12,Sun 11/25,1:00 PM,Seattle,30,FINAL,1548,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-104.0,100.0,-103.0,-103.0,101.0,-105.0,-105.0,-105.0,-107.0,-105.0,42.21,3.0,-105
3452822,264,2018,12,,,Carolina,27,,1545,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-116.0,-120.0,-117.0,-117.0,-112.0,-115.0,-116.0,-105.0,-113.0,-115.0,57.79,-3.0,-115
3452823,261,2018,12,Sun 11/25,1:00 PM,New England,27,FINAL,1525,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-12.0,-12.0,-13.5,-105.0,-115.0,110.0,110.0,108.0,100.0,100.0,-105.0,-109.0,-110.0,67.14,-9.5,-110
3452823,262,2018,12,,,N.Y. Jets,13,,1523,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.5,-115.0,-105.0,-130.0,-130.0,-121.0,-120.0,-120.0,-105.0,-111.0,-110.0,32.86,9.5,-110
3452824,251,2018,12,Sun 11/25,1:00 PM,Jacksonville,21,FINAL,1529,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-111.0,-120.0,-108.0,-108.0,-104.0,-115.0,-110.0,-105.0,-110.0,-120.0,46.64,-5.0,-110
3452824,252,2018,12,,,Buffalo,24,,1526,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-109.0,100.0,-112.0,-112.0,-106.0,-105.0,-110.0,-105.0,-110.0,100.0,53.36,5.0,-110
3452825,255,2018,12,Sun 11/25,1:00 PM,San Francisco,9,FINAL,1547,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,-108.0,100.0,-112.0,-112.0,-101.0,-110.0,-105.0,-105.0,-108.0,-115.0,48.7,3.0,-110
3452825,256,2018,12,,,Tampa Bay,27,,1544,-1.5,-2.0,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-2.5,-112.0,-120.0,-108.0,-108.0,-110.0,-110.0,-116.0,-105.0,-112.0,-105.0,51.3,-3.0,-110
