eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3452750,277,2018,6,Mon 10/15,8:15 PM,San Francisco,30,FINAL,1547,9.0,9.5,9.0,9.0,9.0,9.0,9.5,9.0,9.0,9.0,10.0,9.0,-119.0,-110.0,-125.0,-125.0,-108.0,-115.0,-110.0,-110.0,-105.0,-113.0,-105.0,-115.0,43.82,7.0,-110
3452750,278,2018,6,,,Green Bay,33,,1542,-9.0,-9.5,-9.0,-9.0,-9.0,-9.0,-9.5,-9.0,-9.0,-9.0,-10.0,-9.0,-101.0,-110.0,105.0,105.0,-103.0,-105.0,-110.0,-110.0,-105.0,-107.0,-115.0,-105.0,56.18,-7.0,-110
3452737,265,2018,6,Sun 10/14,1:00 PM,Seattle,27,FINAL,1548,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-105.0,-115.0,-108.0,-108.0,-101.0,-105.0,-110.0,-110.0,-105.0,-110.0,100.0,100.0,39.87,-2.5,-110
3452737,266,2018,6,,,Oakland,3,,1533,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,-115.0,-105.0,-112.0,-112.0,-110.0,-115.0,-110.0,-110.0,-105.0,-110.0,-120.0,-120.0,60.13,2.5,-110
3452738,255,2018,6,Sun 10/14,1:00 PM,Chicago,28,FINAL OT,1540,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-119.0,-125.0,-116.0,-116.0,110.0,-115.0,-110.0,-110.0,-105.0,-111.0,-115.0,-120.0,56.45,-1.5,-110
3452738,256,2018,6,,,Miami,31,,1524,7.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,7.0,7.0,7.5,7.0,-101.0,105.0,-104.0,-104.0,-123.0,-105.0,-110.0,-110.0,-105.0,-109.0,-105.0,100.0,43.55,1.5,-110
3452739,259,2018,6,Sun 10/14,1:00 PM,Indianapolis,34,FINAL,1527,2.5,2.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,-105.0,100.0,-125.0,-125.0,106.0,-105.0,100.0,-105.0,-105.0,-108.0,-110.0,-105.0,57.07,3.0,-120
3452739,260,2018,6,,,N.Y. Jets,42,,1523,-2.5,-2.0,-3.0,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.0,-115.0,-120.0,105.0,105.0,-119.0,-115.0,-120.0,-116.0,-105.0,-112.0,-110.0,-115.0,42.93,-3.0,100
3452740,267,2018,6,Sun 10/14,1:00 PM,Buffalo,13,FINAL,1526,10.0,10.0,10.0,10.0,10.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-105.0,-115.0,-113.0,-113.0,-119.0,-105.0,-110.0,-110.0,-105.0,-113.0,-115.0,100.0,59.38,8.5,-110
3452740,268,2018,6,,,Houston,20,,1530,-10.0,-10.0,-10.0,-10.0,-10.5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-115.0,-105.0,-107.0,-107.0,106.0,-115.0,-110.0,-110.0,-105.0,-107.0,-105.0,-120.0,40.62,-8.5,-110
3452741,263,2018,6,Sun 10/14,1:00 PM,Tampa Bay,29,FINAL,1544,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.5,3.0,-107.0,105.0,-110.0,-110.0,-103.0,-105.0,-115.0,-110.0,-105.0,-108.0,100.0,-115.0,35.39,3.0,-105
3452741,264,2018,6,,,Atlanta,34,,1546,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.5,-3.0,-113.0,-125.0,-110.0,-110.0,-107.0,-115.0,-105.0,-110.0,-105.0,-112.0,-120.0,-105.0,64.61,-3.0,-115
3452742,261,2018,6,Sun 10/14,1:00 PM,Pittsburgh,28,FINAL,1519,1.5,1.5,2.0,2.0,1.0,1.5,1.5,1.0,1.5,1.5,0.0,1.0,-109.0,-115.0,-110.0,-110.0,-103.0,-110.0,-110.0,-110.0,-105.0,-114.0,-115.0,100.0,60.1,3.0,-110
3452742,262,2018,6,,,Cincinnati,21,,1522,-1.5,-1.5,-2.0,-2.0,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,0.0,-1.0,-111.0,-105.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-105.0,-106.0,-105.0,-120.0,39.9,-3.0,-110
3452743,251,2018,6,Sun 10/14,1:00 PM,Arizona,17,FINAL,1549,10.0,10.0,9.5,9.5,10.0,10.0,10.0,9.5,9.5,9.5,10.5,10.0,-120.0,-110.0,-115.0,-115.0,-126.0,-120.0,-120.0,-110.0,-105.0,-109.0,-110.0,-120.0,42.14,8.5,-110
3452743,252,2018,6,,,Minnesota,27,,1541,-10.0,-10.0,-9.5,-9.5,-10.0,-10.0,-10.0,-9.5,-9.5,-9.5,-10.5,-10.0,100.0,-110.0,-105.0,-105.0,112.0,100.0,100.0,-110.0,-105.0,-111.0,-110.0,100.0,57.86,-8.5,-110
3452744,253,2018,6,Sun 10/14,1:00 PM,L.A. Chargers,38,FINAL,75380,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-116.0,-105.0,-110.0,-110.0,-112.0,-110.0,-110.0,-116.0,-105.0,-113.0,-115.0,-110.0,55.17,-1.5,-110
3452744,254,2018,6,,,Cleveland,14,,1520,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-104.0,-115.0,-110.0,-110.0,101.0,-110.0,-110.0,-105.0,-105.0,-107.0,-105.0,-110.0,44.83,1.5,-110
3452745,257,2018,6,Sun 10/14,1:00 PM,Carolina,17,FINAL,1545,-1.0,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.5,-1.5,-1.0,-115.0,-115.0,-114.0,-114.0,-109.0,-115.0,-110.0,-116.0,-105.0,-108.0,-120.0,-117.0,52.99,2.5,-110
3452745,258,2018,6,,,Washington,23,,1537,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,-105.0,-105.0,-106.0,-106.0,-102.0,-105.0,-110.0,-105.0,-105.0,-112.0,100.0,-103.0,47.01,-2.5,-110
3452746,269,2018,6,Sun 10/14,4:05 PM,L.A. Rams,23,FINAL,1550,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-107.0,-115.0,-110.0,-110.0,-103.0,-105.0,-110.0,-105.0,100.0,-102.0,-110.0,-108.0,47.34,-7.0,-110
3452746,270,2018,6,,,Denver,20,,1534,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-113.0,-105.0,-110.0,-110.0,-108.0,-115.0,-110.0,-116.0,-110.0,-118.0,-110.0,-112.0,52.66,7.0,-110
3452747,271,2018,6,Sun 10/14,4:25 PM,Jacksonville,7,FINAL,1529,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-3.0,-118.0,-105.0,-126.0,-126.0,-119.0,-125.0,-120.0,-120.0,-110.0,-117.0,-115.0,-130.0,58.55,-1.5,-110
3452747,272,2018,6,,,Dallas,40,,1538,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,-102.0,-115.0,106.0,106.0,106.0,105.0,100.0,100.0,100.0,-103.0,-105.0,110.0,41.45,1.5,-110
3452748,273,2018,6,Sun 10/14,4:25 PM,Baltimore,21,FINAL,1521,-2.0,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-117.0,105.0,-110.0,-110.0,-108.0,-110.0,-115.0,-110.0,-105.0,-114.0,-120.0,-120.0,52.4,-2.5,-110
