eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds,127_ml,127_spr,127_spr_odds,127_ou,127_ou_odds
4700890,1533,113,2023,17,Sun 12/31,1:00 PM,Las Vegas,20,FINAL,59.6,1800.0,48.17,4860.0,53.53,0.0,130.0,3.0,-110.0,44.0,-110.0,160.0,3.5,-113.0,42.5,-110.0,165.0,3.5,-115.0,42.5,-110.0,167.0,3.5,-110.0,41.5,-110.0,167.0,3.5,-110.0,41.5,-110.0,161.0,3.5,-110.0,42.5,-106.0,155.0,3.5,-110.0,42.5,-110.0,165.0,3.5,-110.0,42.5,-110.0,165.0,3.5,-110.0,42.5,-110.0,155.0,3.5,-108.0,42.0,-108.0,159.0,3.5,-110.0,42.0,-110.0,165.0,4.0,-110.0,42.0,-110.0,155.0,3.5,-110.0,42.5,-110.0,160.0,3.5,-110.0,42.0,-110.0,153.0,3.5,-109.0,42.5,-112.0
4700890,1527,114,2023,17,,,Indianapolis,23,,40.4,1220.0,51.83,5230.0,46.47,0.0,-150.0,-3.0,-110.0,44.0,-110.0,-180.0,-3.5,-107.0,42.5,-110.0,-195.0,-3.5,-105.0,42.5,-110.0,-194.0,-3.5,-110.0,41.5,-110.0,-194.0,-3.5,-110.0,41.5,-110.0,-182.0,-3.5,100.0,42.5,-106.0,-175.0,-3.5,-110.0,42.5,-110.0,-190.0,-3.5,-110.0,42.5,-110.0,-185.0,-3.5,-110.0,42.5,-110.0,-180.0,-3.5,-108.0,42.0,-108.0,-184.0,-3.5,-110.0,42.0,-110.0,-200.0,-4.0,-110.0,42.0,-110.0,-175.0,-3.5,-110.0,42.5,-110.0,-185.0,-3.5,-110.0,42.0,-110.0,-185.0,-3.5,-104.0,42.5,-108.0
4700891,1546,109,2023,17,Sun 12/31,1:00 PM,Atlanta,17,FINAL,70.47,2100.0,64.27,6690.0,69.19,0.0,135.0,2.5,-110.0,37.5,-110.0,128.0,2.5,100.0,38.5,-115.0,130.0,2.5,105.0,39.5,-105.0,130.0,2.5,-104.0,39.0,-110.0,130.0,2.5,-104.0,39.0,-110.0,126.0,2.5,102.0,39.5,-103.0,130.0,2.0,105.0,39.5,-110.0,135.0,2.5,105.0,39.0,-110.0,130.0,2.5,100.0,39.0,-110.0,130.0,2.5,102.0,39.0,-108.0,123.0,2.5,102.0,39.5,-110.0,130.0,2.5,-104.0,39.0,-110.0,130.0,2.0,105.0,39.5,-110.0,130.0,2.5,100.0,39.0,-110.0,123.0,3.0,-116.0,39.5,-108.0
4700891,1540,110,2023,17,,,Chicago,37,,29.53,880.0,35.73,3720.0,30.81,0.0,-155.0,-2.5,-110.0,37.5,-110.0,-148.0,-2.5,-120.0,38.5,-105.0,-150.0,-2.5,-125.0,39.5,-115.0,-150.0,-2.5,-116.0,39.0,-110.0,-150.0,-2.5,-116.0,39.0,-110.0,-141.0,-2.5,-113.0,39.5,-109.0,-150.0,-2.0,-125.0,39.5,-110.0,-155.0,-2.5,-125.0,39.0,-110.0,-150.0,-2.5,-120.0,39.0,-110.0,-150.0,-2.5,-118.0,39.0,-108.0,-143.0,-2.5,-122.0,39.5,-110.0,-150.0,-2.5,-116.0,39.0,-110.0,-150.0,-2.0,-125.0,39.5,-110.0,-150.0,-2.5,-120.0,39.0,-110.0,-149.0,-3.0,103.0,39.5,-112.0
4700892,1545,115,2023,17,Sun 12/31,1:00 PM,Carolina,0,FINAL,91.71,3980.0,76.37,6850.0,50.6,0.0,220.0,9.0,-110.0,39.0,-110.0,172.0,3.5,-112.0,38.5,-110.0,170.0,3.5,-105.0,39.0,-110.0,163.0,4.0,-115.0,37.5,-111.0,163.0,4.0,-115.0,37.5,-111.0,167.0,4.0,-114.0,39.0,-106.0,170.0,3.5,100.0,38.0,-110.0,170.0,3.5,-105.0,38.0,-110.0,170.0,3.5,-110.0,38.0,-110.0,165.0,4.0,-108.0,38.0,-108.0,162.0,4.0,-110.0,38.0,-110.0,170.0,3.5,-107.0,37.5,-109.0,170.0,3.5,100.0,38.0,-110.0,160.0,3.5,-110.0,37.5,-110.0,164.0,3.5,-110.0,38.0,-109.0
4700892,1529,116,2023,17,,,Jacksonville,26,,8.29,360.0,23.63,2120.0,49.4,0.0,-260.0,-9.0,-110.0,39.0,-110.0,-197.0,-3.5,-108.0,38.5,-110.0,-200.0,-3.5,-115.0,39.0,-110.0,-190.0,-4.0,-105.0,37.5,-109.0,-190.0,-4.0,-105.0,37.5,-109.0,-190.0,-4.0,104.0,39.0,-106.0,-200.0,-3.5,-120.0,38.0,-110.0,-200.0,-3.5,-115.0,38.0,-110.0,-190.0,-3.5,-110.0,38.0,-110.0,-190.0,-4.0,-108.0,38.0,-108.0,-187.0,-4.0,-110.0,38.0,-110.0,-205.0,-3.5,-113.0,37.5,-111.0,-200.0,-3.5,-120.0,38.0,-110.0,-185.0,-3.5,-110.0,37.5,-110.0,-200.0,-3.5,-103.0,38.0,-110.0
4700893,1543,121,2023,17,Sun 12/31,1:00 PM,New Orleans,23,FINAL,78.77,3080.0,67.55,7910.0,81.03,0.0,135.0,2.0,-110.0,40.0,-110.0,125.0,2.5,-105.0,42.0,-113.0,125.0,2.5,-110.0,42.5,-105.0,126.0,2.5,-105.0,42.0,-110.0,126.0,2.5,-105.0,42.0,-110.0,126.0,2.5,-100.0,42.0,-110.0,120.0,2.0,105.0,43.0,-110.0,125.0,2.5,-105.0,42.5,-110.0,125.0,2.5,100.0,42.5,-110.0,115.0,2.5,-103.0,42.5,-108.0,116.0,2.5,-110.0,42.5,-110.0,120.0,2.5,-105.0,42.5,-110.0,120.0,2.0,105.0,43.0,-110.0,125.0,2.5,-105.0,42.5,-110.0,122.0,2.0,-108.0,42.5,-110.0
4700893,1544,122,2023,17,,,Tampa Bay,13,,21.23,830.0,32.45,3800.0,18.97,0.0,-155.0,-2.0,-110.0,40.0,-110.0,-145.0,-2.5,-115.0,42.0,-107.0,-145.0,-2.5,-110.0,42.5,-115.0,-146.0,-2.5,-115.0,42.0,-110.0,-146.0,-2.5,-115.0,42.0,-110.0,-141.0,-2.5,-110.0,42.0,-102.0,-140.0,-2.0,-125.0,43.0,-110.0,-145.0,-2.5,-115.0,42.5,-110.0,-145.0,-2.5,-120.0,42.5,-110.0,-135.0,-2.5,-113.0,42.5,-108.0,-136.0,-2.5,-110.0,42.5,-110.0,-140.0,-2.5,-115.0,42.5,-110.0,-140.0,-2.0,-125.0,43.0,-110.0,-145.0,-2.5,-115.0,42.5,-110.0,-147.0,-2.0,-123.0,42.5,-110.0
4700894,1549,119,2023,17,Sun 12/31,1:00 PM,Arizona,35,FINAL,96.47,5740.0,76.72,7810.0,64.35,0.0,440.0,10.0,-110.0,47.5,-110.0,500.0,11.5,-110.0,47.0,-115.0,475.0,11.5,-110.0,47.0,-115.0,575.0,12.5,-110.0,48.0,-110.0,575.0,12.5,-110.0,48.0,-110.0,499.0,12.5,-115.0,47.0,-110.0,500.0,12.0,-110.0,48.0,-110.0,500.0,11.5,-110.0,47.5,-110.0,500.0,12.0,-110.0,48.0,-110.0,513.0,12.0,-108.0,48.0,-108.0,473.0,11.5,-110.0,47.5,-110.0,525.0,12.5,-109.0,48.0,-113.0,500.0,12.0,-110.0,48.0,-110.0,575.0,12.5,-110.0,48.0,-110.0,516.0,12.0,-112.0,48.0,-109.0
4700894,1536,120,2023,17,,,Philadelphia,31,,3.53,210.0,23.28,2370.0,35.65,0.0,-560.0,-10.0,-110.0,47.5,-110.0,-650.0,-11.5,-110.0,47.0,-105.0,-700.0,-11.5,-110.0,47.0,-105.0,-825.0,-12.5,-110.0,48.0,-110.0,-825.0,-12.5,-110.0,48.0,-110.0,-659.0,-12.5,105.0,47.0,-103.0,-725.0,-12.0,-110.0,48.0,-110.0,-700.0,-11.5,-110.0,47.5,-110.0,-700.0,-12.0,-110.0,48.0,-110.0,-725.0,-12.0,-108.0,48.0,-108.0,-653.0,-11.5,-110.0,47.5,-110.0,-800.0,-12.5,-111.0,48.0,-107.0,-725.0,-12.0,-110.0,48.0,-110.0,-825.0,-12.5,-110.0,48.0,-110.0,-769.0,-12.0,-118.0,48.0,-116.0
