eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
4143474,489,2020,3,Mon 9/28,8:15 PM,Kansas City,34,FINAL,1531,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.5,3.0,3.0,3.5,3.5,106.0,100.0,-101.0,100.0,-108.0,-115.0,105.0,-115.0,110.0,105.0,-120.0,-115.0,49,2.5,-110
4143474,490,2020,3,,,Baltimore,20,,1521,-3.0,-3.0,-3.0,-3.0,-3.5,-3.5,-3.0,-3.5,-3.0,-3.0,-3.5,-3.5,-126.0,-120.0,-119.0,-120.0,-102.0,-105.0,-125.0,-105.0,-120.0,-125.0,100.0,-105.0,51,-2.5,-110
4143348,465,2020,3,Sun 9/27,1:00 PM,Houston,21,FINAL,1530,3.5,4.0,3.5,3.5,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,-115.0,-110.0,-109.0,-109.0,-110.0,-115.0,-105.0,-110.0,-105.0,-112.0,-110.0,-110.0,46,6.0,-110
4143348,466,2020,3,,,Pittsburgh,28,,1519,-3.5,-4.0,-3.5,-3.5,-4.0,-4.0,-3.5,-3.5,-4.0,-4.0,-4.0,-4.0,-105.0,-110.0,-111.0,-111.0,-100.0,-105.0,-115.0,-110.0,-105.0,-108.0,-110.0,-110.0,54,-6.0,-110
4143349,469,2020,3,Sun 9/27,1:00 PM,Tennessee,31,FINAL,1528,-2.5,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-2.5,-2.5,-2.5,-3.5,-2.0,-112.0,100.0,-110.0,-110.0,-101.0,-130.0,100.0,-115.0,-110.0,-116.0,-110.0,-130.0,55,0.0,-110
4143349,470,2020,3,,,Minnesota,30,,1541,2.5,3.0,3.0,3.0,3.0,2.0,3.0,2.5,2.5,2.5,3.5,2.0,-108.0,-120.0,-110.0,-110.0,-109.0,110.0,-120.0,-105.0,100.0,-104.0,-110.0,110.0,45,0.0,-110
4143350,475,2020,3,Sun 9/27,1:00 PM,Chicago,30,FINAL,1540,2.5,3.0,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,3.0,2.0,-107.0,-125.0,-110.0,-110.0,101.0,100.0,-105.0,-110.0,-105.0,-107.0,-110.0,100.0,35,3.5,-110
4143350,476,2020,3,,,Atlanta,26,,1546,-2.5,-3.0,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-3.0,-2.0,-113.0,105.0,-110.0,-110.0,-111.0,-120.0,-115.0,-110.0,-105.0,-113.0,-110.0,-120.0,65,-3.5,-110
4143351,461,2020,3,Sun 9/27,1:00 PM,Las Vegas,20,FINAL,1533,7.0,7.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-112.0,-105.0,105.0,105.0,-105.0,-110.0,-110.0,-115.0,-105.0,-116.0,-105.0,-110.0,47,6.5,105
4143351,462,2020,3,,,New England,36,,1525,-7.0,-7.0,-6.5,-6.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-108.0,-115.0,-125.0,-125.0,-105.0,-110.0,-110.0,-105.0,-105.0,-104.0,-115.0,-110.0,53,-6.5,-125
4143354,467,2020,3,Sun 9/27,1:00 PM,San Francisco,36,FINAL,1547,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-110.0,-110.0,-112.0,-112.0,-101.0,-105.0,-115.0,-110.0,-105.0,-112.0,-105.0,-105.0,46,-6.5,-120
4143354,468,2020,3,,,N.Y. Giants,9,,1535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,-110.0,-110.0,-108.0,-108.0,-109.0,-115.0,-105.0,-110.0,-105.0,-108.0,-115.0,-115.0,54,6.5,100
4143475,473,2020,3,Sun 9/27,1:00 PM,Cincinnati,23,FINAL OT,1522,5.5,6.0,5.5,5.5,5.5,6.0,5.5,5.5,5.5,5.5,5.5,6.0,-110.0,-115.0,-106.0,-106.0,-105.0,-120.0,-110.0,-110.0,-105.0,-111.0,-110.0,-120.0,50,5.5,-110
4143475,474,2020,3,,,Philadelphia,23,,1536,-5.5,-6.0,-5.5,-5.5,-5.5,-6.0,-5.5,-5.5,-5.5,-5.5,-5.5,-6.0,-110.0,-105.0,-114.0,-114.0,-105.0,100.0,-110.0,-110.0,-105.0,-109.0,-110.0,100.0,50,-5.5,-110
4143478,471,2020,3,Sun 9/27,1:00 PM,Washington,20,FINAL,1537,7.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-108.0,-105.0,-109.0,-109.0,-115.0,100.0,-110.0,-110.0,-105.0,-112.0,-110.0,100.0,50,5.5,-110
