eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
4143526,475,2020,9,Mon 11/9,8:15 PM,New England,30,FINAL,48,-7.5,-110,-9.5,-105.0,-9.5,100.0,-9.0,-104.0,-9.0,-104.0,-9.5,102.0,-9.5,-105.0,-9.0,-105.0,-9.5,-110.0,-8.5,-108.0,-8.5,-109.0,-9.5,-115.0,-9.5,-110.0
4143526,476,2020,9,,,N.Y. Jets,27,,52,7.5,-110,9.5,-115.0,9.5,-120.0,9.0,-116.0,9.0,-116.0,9.5,-113.0,9.5,-115.0,9.0,-115.0,9.5,-110.0,8.5,-108.0,8.5,-111.0,9.5,-105.0,9.5,-110.0
4143389,455,2020,9,Sun 11/8,1:00 PM,Chicago,17,FINAL,51,6.5,-110,6.0,-103.0,6.0,-105.0,6.5,-115.0,6.0,-110.0,6.5,-107.0,6.0,-104.0,6.0,-105.0,6.0,-110.0,6.0,-108.0,6.0,-111.0,6.0,-105.0,6.5,-112.0
4143389,456,2020,9,,,Tennessee,24,,49,-6.5,-110,-6.0,-117.0,-6.0,-115.0,-6.5,-105.0,-6.0,-110.0,-6.5,-103.0,-6.0,-116.0,-6.0,-115.0,-6.0,-110.0,-6.0,-108.0,-6.0,-109.0,-6.0,-115.0,-6.5,-108.0
4143390,457,2020,9,Sun 11/8,1:00 PM,Detroit,20,FINAL,47,2.5,-110,3.0,102.0,3.0,100.0,3.0,105.0,3.0,105.0,3.0,106.0,3.0,-105.0,3.0,100.0,3.0,100.0,3.0,102.0,3.0,101.0,3.5,-105.0,3.0,-105.0
4143390,458,2020,9,,,Minnesota,34,,53,-2.5,-110,-3.0,-122.0,-3.0,-120.0,-3.0,-125.0,-3.0,-125.0,-3.0,-117.0,-3.0,-115.0,-3.0,-120.0,-3.0,-120.0,-3.0,-118.0,-3.0,-121.0,-3.5,-115.0,-3.0,-115.0
4143393,465,2020,9,Sun 11/8,1:00 PM,N.Y. Giants,23,FINAL,48,3.5,-110,3.0,-113.0,3.0,-110.0,3.0,-117.0,3.0,-117.0,3.0,-105.0,3.0,-110.0,3.0,-110.0,3.0,-110.0,3.0,-108.0,3.0,-109.0,3.0,-110.0,3.0,-117.0
4143393,466,2020,9,,,Washington,20,,52,-3.5,-110,-3.0,-107.0,-3.0,-110.0,-3.0,-103.0,-3.0,-103.0,-3.0,-105.0,-3.0,-110.0,-3.0,-110.0,-3.0,-110.0,-3.0,-108.0,-3.0,-111.0,-3.0,-110.0,-3.0,-103.0
4143521,451,2020,9,Sun 11/8,1:00 PM,Seattle,34,FINAL,63,-1.5,-110,-3.0,-118.0,-3.0,-125.0,-3.0,-120.0,-3.0,-120.0,-3.0,-109.0,-3.0,-114.0,-3.0,-125.0,-3.0,-115.0,-3.0,-113.0,-3.0,-115.0,-3.5,-115.0,-3.0,-112.0
4143521,452,2020,9,,,Buffalo,44,,37,1.5,-110,3.0,-102.0,3.0,105.0,3.0,100.0,3.0,100.0,3.0,-101.0,3.0,-106.0,3.0,105.0,3.0,-105.0,3.0,-103.0,3.0,-105.0,3.5,-105.0,3.0,-108.0
4143522,459,2020,9,Sun 11/8,1:00 PM,Baltimore,24,FINAL,65,-2.5,-105,0.0,-107.0,-1.0,-110.0,1.0,-113.0,1.0,-113.0,1.0,-113.0,1.0,-115.0,0.0,-110.0,1.0,-115.0,0.0,-108.0,0.0,-108.0,-1.0,-110.0,1.0,-115.0
4143522,460,2020,9,,,Indianapolis,10,,35,2.5,-115,0.0,-113.0,1.0,-110.0,-1.0,-107.0,-1.0,-107.0,-1.0,102.0,-1.0,-105.0,0.0,-110.0,-1.0,-105.0,0.0,-108.0,0.0,-112.0,1.0,-110.0,-1.0,-105.0
4143525,461,2020,9,Sun 11/8,1:00 PM,Carolina,31,FINAL,42,10.0,-110,10.0,-113.0,10.0,-110.0,10.0,-110.0,10.0,-110.0,10.0,-106.0,10.0,-111.0,10.5,-125.0,10.0,-110.0,10.0,-113.0,10.0,-115.0,10.5,-110.0,10.0,-111.0
4143525,462,2020,9,,,Kansas City,33,,58,-10.0,-110,-10.0,-107.0,-10.0,-110.0,-10.0,-110.0,-10.0,-110.0,-10.0,-104.0,-10.0,-109.0,-10.5,105.0,-10.0,-110.0,-10.0,-103.0,-10.0,-105.0,-10.5,-110.0,-10.0,-109.0
4143527,463,2020,9,Sun 11/8,1:00 PM,Houston,27,FINAL,60,-4.0,-110,-7.0,100.0,-7.0,100.0,-6.5,-117.0,-6.5,-120.0,-7.0,106.0,-7.0,100.0,-6.5,-115.0,-6.5,-120.0,-6.5,-113.0,-6.5,-116.0,-7.0,-110.0,-7.0,101.0
4143527,464,2020,9,,,Jacksonville,25,,40,4.0,-110,7.0,-120.0,7.0,-120.0,6.5,-102.0,6.5,100.0,7.0,-117.0,7.0,-120.0,6.5,-105.0,6.5,100.0,6.5,-103.0,6.5,-104.0,7.0,-110.0,7.0,-121.0
4143528,453,2020,9,Sun 11/8,1:00 PM,Denver,27,FINAL,49,3.5,-115,4.5,-107.0,4.5,-110.0,4.5,-110.0,4.5,-112.0,4.5,-108.0,4.5,-113.0,4.5,-110.0,4.5,-110.0,4.5,-108.0,4.0,-107.0,4.5,-115.0,4.5,-115.0
4143528,454,2020,9,,,Atlanta,34,,51,-3.5,-105,-4.5,-113.0,-4.5,-110.0,-4.5,-110.0,-4.5,-108.0,-4.5,-102.0,-4.5,-107.0,-4.5,-110.0,-4.5,-110.0,-4.5,-108.0,-4.0,-113.0,-4.5,-105.0,-4.5,-105.0
