eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
4292845,483,2020,13,Tue 12/8,8:05 PM,Dallas,17,FINAL,0.0,10.0,-133.0,8.5,-110.0,9.0,-115.0,8.5,-109.0,8.5,-109.0,8.5,-103.0,9.0,-110.0,9.0,-115.0,8.5,-110.0,8.5,-108.0,8.5,-112.0,9.0,-105.0,9.0,-110.0
4292845,484,2020,13,,,Baltimore,34,,0.0,-10.0,113.0,-8.5,-110.0,-9.0,-105.0,-8.5,-121.0,-8.5,-121.0,-8.5,-108.0,-9.0,-110.0,-9.0,-105.0,-8.5,-110.0,-8.5,-108.0,-8.5,-108.0,-9.0,-115.0,-9.0,-110.0
4143560,487,2020,13,Mon 12/7,5:00 PM,Washington,23,FINAL,0.0,7.0,-120.0,6.0,-114.0,6.0,-120.0,5.5,-110.0,5.5,-110.0,5.5,-100.0,6.0,-120.0,6.0,-120.0,6.0,-110.0,5.5,-108.0,5.5,-109.0,6.0,-105.0,6.0,-120.0
4143560,488,2020,13,,,Pittsburgh,17,,0.0,-7.0,100.0,-6.0,-106.0,-6.0,100.0,-5.5,-110.0,-5.5,-110.0,-5.5,-110.0,-6.0,100.0,-6.0,100.0,-6.0,-110.0,-5.5,-108.0,-5.5,-111.0,-6.0,-115.0,-6.0,100.0
4143557,485,2020,13,Mon 12/7,8:15 PM,Buffalo,34,FINAL,0.0,-3.0,105.0,2.0,-110.0,1.5,-110.0,2.0,-115.0,2.0,-115.0,1.5,-103.0,2.0,-110.0,1.5,-110.0,1.5,-110.0,2.0,-108.0,2.0,-111.0,-2.0,-110.0,2.0,-110.0
4143557,486,2020,13,,,San Francisco,24,,100.0,3.0,-125.0,-2.0,-110.0,-1.5,-110.0,-2.0,-105.0,-2.0,-105.0,-1.5,-107.0,-2.0,-110.0,-1.5,-110.0,-1.5,-110.0,-2.0,-108.0,-2.0,-109.0,2.0,-110.0,-2.0,-110.0
4143414,457,2020,13,Sun 12/6,1:00 PM,Jacksonville,24,FINAL OT,51.0,9.5,-110.0,10.5,-120.0,10.0,-110.0,11.0,-113.0,11.0,-113.0,10.5,-118.0,10.5,-120.0,10.5,-120.0,10.0,-110.0,10.0,-108.0,10.0,-111.0,10.0,-110.0,10.5,-120.0
4143414,458,2020,13,,,Minnesota,27,,49.0,-9.5,-110.0,-10.5,100.0,-10.0,-110.0,-11.0,-116.0,-11.0,-116.0,-10.5,107.0,-10.5,100.0,-10.5,100.0,-10.0,-110.0,-10.0,-108.0,-10.0,-109.0,-10.0,-110.0,-10.5,100.0
4143415,461,2020,13,Sun 12/6,1:00 PM,Las Vegas,31,FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
4143415,462,2020,13,,,N.Y. Jets,28,,46.0,7.5,-110.0,7.5,-115.0,7.5,-120.0,7.5,-113.0,7.5,-113.0,7.5,-113.0,7.5,-120.0,7.5,-115.0,7.5,-120.0,7.0,-103.0,7.0,-105.0,7.5,-105.0,7.5,-120.0
