eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds,127_ml,127_spr,127_spr_odds,127_ou,127_ou_odds,130_ml,130_spr,130_spr_odds,130_ou,130_ou_odds
4765763,1526,275,2025,6,Mon 10/13,7:15 PM,Buffalo,14,FINAL,15.2,690.0,24.47,3100.0,63.71,0.0,-195.0,-5.0,-110.0,50.0,-110.0,-186.0,-3.5,-107.0,49.5,-110.0,-195.0,-3.5,-105.0,49.5,-110.0,-188.0,-3.5,-104.0,49.0,-116.0,-205.0,-3.5,-110.0,49.0,-117.0,-195.0,-3.5,-105.0,50.0,-102.0,-200.0,-3.5,-115.0,49.5,-115.0,-225.0,-4.5,-110.0,50.5,-110.0,-205.0,-3.5,-103.0,49.5,-108.0,-212.0,-3.5,-115.0,50.0,-110.0,-195.0,-3.5,-105.0,50.0,-102.0,-200.0,-3.5,-110.0,49.5,-110.0,-200.0,-3.5,-105.0,49.5,-110.0,-181.0,-3.5,103.0,49.5,-106.0
4765763,1546,276,2025,6,,,Atlanta,24,,84.8,3850.0,75.53,9570.0,36.29,0.0,170.0,5.0,-110.0,50.0,-110.0,162.0,3.5,-113.0,49.5,-110.0,165.0,3.5,-115.0,49.5,-110.0,161.0,3.5,-115.0,49.0,-104.0,175.0,3.5,-109.0,49.0,-103.0,170.0,3.5,-115.0,50.0,-118.0,170.0,3.5,-105.0,49.5,-105.0,175.0,4.5,-125.0,50.5,-125.0,175.0,3.5,-113.0,49.5,-108.0,170.0,3.5,-105.0,50.0,-110.0,170.0,3.5,-115.0,50.0,-118.0,170.0,3.5,-110.0,49.5,-110.0,170.0,3.5,-115.0,49.5,-110.0,162.0,3.5,-114.0,49.5,-106.0
4765764,1540,277,2025,6,Mon 10/13,8:15 PM,Chicago,25,FINAL,81.59,4830.0,58.27,5180.0,61.66,0.0,183.0,5.0,-110.0,50.5,-110.0,215.0,5.5,-110.0,49.0,-110.0,210.0,5.5,-110.0,49.0,-110.0,216.0,5.5,-109.0,49.0,-106.0,211.0,5.5,-109.0,49.0,-107.0,210.0,5.5,-107.0,49.0,-110.0,220.0,5.5,-105.0,49.0,-110.0,210.0,5.5,-125.0,50.5,-110.0,210.0,5.5,-108.0,49.0,-108.0,212.0,5.0,-105.0,49.5,-110.0,210.0,5.5,-110.0,49.0,-110.0,220.0,5.5,-110.0,49.0,-110.0,210.0,5.5,-110.0,49.0,-110.0,202.0,5.5,-108.0,49.5,102.0
4765764,1537,278,2025,6,,,Washington,24,,18.41,1090.0,41.73,3710.0,38.34,0.0,-215.0,-5.0,-110.0,50.5,-110.0,-260.0,-5.5,-110.0,49.0,-110.0,-250.0,-5.5,-110.0,49.0,-110.0,-256.0,-5.5,-110.0,49.0,-113.0,-249.0,-5.5,-110.0,49.0,-112.0,-255.0,-5.5,-113.0,49.0,-110.0,-260.0,-5.5,-115.0,49.0,-110.0,-275.0,-5.5,-110.0,50.5,-125.0,-250.0,-5.5,-108.0,49.0,-108.0,-272.0,-5.0,-115.0,49.5,-110.0,-255.0,-5.5,-110.0,49.0,-110.0,-265.0,-5.5,-110.0,49.0,-110.0,-250.0,-5.5,-110.0,49.0,-110.0,-230.0,-5.5,-103.0,49.5,-114.0
4765636,1534,251,2025,6,Sun 10/12,9:30 AM,Denver,13,FINAL,8.81,490.0,32.62,2590.0,60.06,0.0,-375.0,-6.5,-110.0,43.5,-110.0,-365.0,-7.0,-105.0,43.5,-115.0,-330.0,-7.0,-110.0,43.5,-110.0,-374.0,-7.0,-105.0,43.5,-113.0,-374.0,-7.0,-105.0,43.5,-113.0,-360.0,-7.0,105.0,43.5,-106.0,-380.0,-7.0,-110.0,43.5,-110.0,-400.0,-8.5,-110.0,43.5,-118.0,-370.0,-7.0,-108.0,43.5,-108.0,-374.0,-7.0,-110.0,43.5,-110.0,-360.0,-7.0,100.0,43.5,-106.0,-390.0,-7.0,-105.0,43.5,-110.0,-350.0,-7.0,100.0,43.5,-115.0,-362.0,-7.0,102.0,43.5,-105.0
4765636,1523,252,2025,6,,,N.Y. Jets,11,,91.19,5070.0,67.38,5350.0,39.94,0.0,299.0,6.5,-110.0,43.5,-110.0,292.0,7.0,-115.0,43.5,-105.0,265.0,7.0,-110.0,43.5,-110.0,307.0,7.0,-114.0,43.5,-106.0,307.0,7.0,-114.0,43.5,-106.0,280.0,7.0,-125.0,43.5,-114.0,300.0,7.0,-110.0,43.5,-110.0,300.0,8.5,-125.0,43.5,-118.0,300.0,7.0,-108.0,43.5,-108.0,286.0,7.0,-110.0,43.5,-110.0,280.0,7.0,-120.0,43.5,-114.0,300.0,7.0,-115.0,43.5,-110.0,280.0,7.0,-120.0,43.5,-105.0,305.0,7.0,-113.0,43.5,-107.0
4765752,1549,255,2025,6,Sun 10/12,1:00 PM,Arizona,27,FINAL,88.28,5800.0,62.83,8030.0,69.23,0.0,200.0,3.5,-105.0,47.5,-110.0,316.0,9.0,-120.0,46.5,-105.0,315.0,8.5,100.0,46.5,-110.0,333.0,8.5,-116.0,46.5,-111.0,336.0,8.5,-116.0,46.5,-111.0,296.0,8.5,-114.0,46.0,-115.0,350.0,9.0,-110.0,46.5,-115.0,320.0,9.5,-125.0,47.5,-110.0,350.0,9.0,-108.0,46.5,-108.0,334.0,9.5,-115.0,46.5,-110.0,296.0,8.5,-114.0,46.0,-115.0,340.0,9.0,-115.0,46.5,-110.0,325.0,9.0,-120.0,46.5,-110.0,330.0,7.5,104.0,46.0,-113.0
4765752,1527,256,2025,6,,,Indianapolis,31,,11.72,770.0,37.17,4750.0,30.77,0.0,-240.0,-3.5,-115.0,47.5,-110.0,-400.0,-9.0,100.0,46.5,-115.0,-420.0,-8.5,-120.0,46.5,-110.0,-410.0,-8.5,-103.0,46.5,-108.0,-414.0,-8.5,-103.0,46.5,-108.0,-411.0,-8.5,-106.0,46.0,-105.0,-450.0,-9.0,-110.0,46.5,-105.0,-450.0,-9.5,-110.0,47.5,-125.0,-440.0,-9.0,-108.0,46.5,-108.0,-459.0,-9.5,-105.0,46.5,-110.0,-411.0,-8.5,-106.0,46.0,-105.0,-450.0,-9.0,-105.0,46.5,-110.0,-410.0,-9.0,100.0,46.5,-110.0,-395.0,-7.5,-115.0,46.0,100.0
4765753,1550,257,2025,6,Sun 10/12,1:00 PM,L.A. Rams,17,FINAL,12.68,720.0,37.26,4620.0,71.92,0.0,-435.0,-7.0,-110.0,45.0,-110.0,-300.0,-7.0,100.0,43.5,-110.0,-300.0,-6.5,-115.0,43.5,-115.0,-302.0,-7.0,100.0,44.0,-104.0,-306.0,-7.0,100.0,44.0,-104.0,-301.0,-7.0,104.0,44.0,-105.0,-300.0,-7.0,100.0,43.5,-110.0,-333.0,-6.5,-125.0,44.5,-110.0,-330.0,-7.0,102.0,44.0,-108.0,-381.0,-7.0,-110.0,44.0,-110.0,-301.0,-7.0,104.0,44.0,-105.0,-330.0,-7.0,100.0,43.5,-110.0,-290.0,-6.5,-110.0,43.5,-110.0,-296.0,-7.0,107.0,44.0,-102.0
4765753,1521,258,2025,6,,,Baltimore,3,,87.32,4960.0,62.74,7780.0,28.08,0.0,340.0,7.0,-110.0,45.0,-110.0,245.0,7.0,-120.0,43.5,-110.0,250.0,6.5,-105.0,43.5,-105.0,252.0,7.0,-120.0,44.0,-115.0,255.0,7.0,-120.0,44.0,-115.0,241.0,7.0,-124.0,44.0,-115.0,250.0,7.0,-120.0,43.5,-110.0,250.0,6.5,-110.0,44.5,-125.0,270.0,7.0,-118.0,44.0,-108.0,286.0,7.0,-110.0,44.0,-110.0,241.0,7.0,-124.0,44.0,-115.0,260.0,7.0,-120.0,43.5,-110.0,240.0,6.5,-110.0,43.5,-110.0,255.0,7.0,-118.0,44.0,-111.0
