eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700734,475,2023,5,Mon 10/9,8:15 PM,Green Bay,13,FINAL,1542,1.0,2.0,1.5,1.5,2.0,1.0,1.5,1.0,1.5,1.5,1.0,1.5,1.5,-105.0,-110.0,-105.0,-107.0,-105.0,-115.0,-110.0,-110.0,-108.0,-110.0,-115.0,-110.0,-111.0,35.42,1.0,-110
4700734,476,2023,5,,,Las Vegas,17,,1533,-1.0,-2.0,-1.5,-1.5,-2.0,-1.0,-1.5,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-115.0,-110.0,-115.0,-113.0,-105.0,-105.0,-110.0,-110.0,-108.0,-110.0,-105.0,-110.0,-119.0,64.58,-1.0,-110
4700587,451,2023,5,Sun 10/8,9:30 AM,Jacksonville,25,FINAL,1529,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.5,4.5,4.5,5.0,4.5,5.0,-110.0,-110.0,-110.0,-110.0,-109.0,-115.0,-110.0,-110.0,-108.0,-110.0,-112.0,-110.0,-111.0,77.18,7.5,-110
4700587,452,2023,5,,,Buffalo,20,,1526,-5.0,-5.0,-5.0,-5.0,-5.5,-5.0,-5.0,-4.5,-4.5,-4.5,-5.0,-4.5,-5.0,-110.0,-110.0,-110.0,-110.0,-101.0,-105.0,-110.0,-110.0,-108.0,-110.0,-108.0,-110.0,-119.0,22.82,-7.5,-110
4700724,457,2023,5,Sun 10/8,1:00 PM,Tennessee,16,FINAL,1528,-2.0,-2.5,-2.5,-2.5,-2.5,-2.0,-2.0,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-117.0,-115.0,-115.0,-115.0,-113.0,-120.0,-115.0,-110.0,-108.0,-115.0,-120.0,-110.0,-112.0,51.89,1.5,-110
4700724,458,2023,5,,,Indianapolis,23,,1527,2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.0,2.5,2.5,-103.0,-105.0,-105.0,-105.0,102.0,100.0,-105.0,-110.0,-108.0,-105.0,100.0,-110.0,100.0,48.11,-1.5,-110
4700725,453,2023,5,Sun 10/8,1:00 PM,Houston,19,FINAL,1530,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,2.0,2.5,3.0,-110.0,-115.0,-115.0,-115.0,-106.0,100.0,100.0,-110.0,-108.0,-111.0,100.0,-105.0,-115.0,30.37,3.5,-110
4700725,454,2023,5,,,Atlanta,21,,1546,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.0,-2.5,-2.5,-2.5,-2.0,-2.5,-3.0,-110.0,-105.0,-105.0,-105.0,-104.0,-120.0,-120.0,-110.0,-108.0,-109.0,-120.0,-115.0,102.0,69.63,-3.5,-110
4700726,455,2023,5,Sun 10/8,1:00 PM,Carolina,24,FINAL,1545,9.0,9.5,9.5,9.5,10.0,9.5,9.0,9.0,9.5,9.5,9.5,9.5,8.5,-113.0,-105.0,-110.0,-110.0,-113.0,-110.0,-105.0,-110.0,-108.0,-109.0,-110.0,-110.0,-111.0,78.87,7.0,-110
4700726,456,2023,5,,,Detroit,42,,1539,-9.0,-9.5,-9.5,-9.5,-10.0,-9.5,-9.0,-9.0,-9.5,-9.5,-9.5,-9.5,-8.5,-107.0,-115.0,-110.0,-110.0,102.0,-110.0,-115.0,-110.0,-108.0,-111.0,-110.0,-110.0,-119.0,21.13,-7.0,-110
4700727,463,2023,5,Sun 10/8,1:00 PM,Baltimore,10,FINAL,1521,-4.5,-4.0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-5.5,-110.0,-115.0,-103.0,-103.0,-100.0,-110.0,-110.0,-110.0,-103.0,-110.0,-110.0,-105.0,-110.0,33.12,-2.5,-110
4700727,464,2023,5,,,Pittsburgh,17,,1519,4.5,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.5,-110.0,-105.0,-117.0,-117.0,-110.0,-110.0,-110.0,-110.0,-113.0,-110.0,-110.0,-115.0,-120.0,66.88,2.5,-110
4700728,461,2023,5,Sun 10/8,1:00 PM,New Orleans,34,FINAL,1543,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,-108.0,-110.0,-105.0,-105.0,-100.0,-105.0,-105.0,-110.0,-108.0,-110.0,-105.0,-110.0,-111.0,53.53,2.5,-108
