eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700843,473,2023,13,Mon 12/4,8:15 PM,Cincinnati,34,FINAL OT,1522,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-110.0,-110.0,-110.0,-110.0,-104.0,-110.0,-105.0,-110.0,-108.0,-110.0,-108.0,-110.0,-110.0,-104.0,78.03,7.0,-110
4700843,474,2023,13,,,Jacksonville,31,,1529,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-110.0,-110.0,-110.0,-110.0,-106.0,-110.0,-115.0,-110.0,-108.0,-110.0,-112.0,-110.0,-110.0,-109.0,21.97,-7.0,-110
4700833,463,2023,13,Sun 12/3,1:00 PM,Miami,45,FINAL,1524,-8.5,-8.5,-9.0,-9.0,-8.5,-9.0,-9.0,-9.0,-8.0,-8.0,-9.0,-9.0,-9.0,-9.5,-113.0,-115.0,-105.0,-105.0,-103.0,-105.0,-105.0,-110.0,-108.0,-110.0,-110.0,-105.0,-110.0,-111.0,21.07,-7.0,-110
4700833,464,2023,13,,,Washington,15,,1537,8.5,8.5,9.0,9.0,8.5,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.5,-107.0,-105.0,-115.0,-115.0,-107.0,-115.0,-115.0,-110.0,-108.0,-110.0,-110.0,-115.0,-110.0,-119.0,78.93,7.0,-110
4700834,461,2023,13,Sun 12/3,1:00 PM,Indianapolis,31,FINAL OT,1527,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-112.0,-105.0,-115.0,-115.0,-117.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-110.0,-109.0,53.14,1.0,-110
4700834,462,2023,13,,,Tennessee,28,,1528,1.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,-108.0,-115.0,-105.0,-105.0,106.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-110.0,-104.0,46.86,-1.0,-110
4700836,455,2023,13,Sun 12/3,1:00 PM,Atlanta,13,FINAL,1546,-2.0,-1.5,-2.5,-2.5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.5,-2.5,-110.0,-105.0,-105.0,-105.0,102.0,-105.0,-105.0,-110.0,-108.0,-110.0,-109.0,-105.0,-105.0,-112.0,39.7,-2.0,-110
4700836,456,2023,13,,,N.Y. Jets,8,,1523,2.0,1.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,-110.0,-115.0,-115.0,-115.0,-112.0,-115.0,-115.0,-110.0,-108.0,-110.0,-111.0,-115.0,-115.0,-118.0,60.3,2.0,-110
4700837,457,2023,13,Sun 12/3,1:00 PM,Arizona,24,FINAL,1549,6.5,6.0,6.5,6.5,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.5,6.0,-117.0,-105.0,-113.0,-113.0,-100.0,-105.0,-115.0,-110.0,-108.0,-110.0,-106.0,-105.0,-115.0,-106.0,67.04,3.0,-110
4700837,458,2023,13,,,Pittsburgh,10,,1519,-6.5,-6.0,-6.5,-6.5,-6.0,-6.0,-6.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.5,-6.0,-103.0,-115.0,-107.0,-107.0,-110.0,-115.0,-105.0,-110.0,-108.0,-110.0,-114.0,-115.0,-105.0,-106.0,32.96,-3.0,-110
