eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700722,279,2023,4,Mon 10/2,8:15 PM,Seattle,24,FINAL,1548,-2.5,-2.5,-2.0,-2.0,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-110.0,-105.0,-115.0,-115.0,-102.0,-118.0,-110.0,-110.0,-108.0,-110.0,-118.0,-115.0,-111.0,34.98,-1.5,-115
4700722,280,2023,4,,,N.Y. Giants,3,,1535,2.5,2.5,2.0,2.0,2.5,2.0,2.5,2.5,2.5,2.5,2.0,2.5,2.5,-110.0,-115.0,-105.0,-105.0,-108.0,-102.0,-110.0,-110.0,-108.0,-110.0,-102.0,-105.0,-119.0,65.02,1.5,-105
4700586,251,2023,4,Sun 10/1,9:30 AM,Atlanta,7,FINAL,1546,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5,3.5,-115.0,-115.0,105.0,107.0,109.0,105.0,-115.0,105.0,107.0,104.0,105.0,-110.0,-116.0,73.14,4.5,-110
4700586,252,2023,4,,,Jacksonville,23,,1529,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.5,-3.5,-105.0,-105.0,-125.0,-127.0,-121.0,-125.0,-105.0,-125.0,-123.0,-124.0,-125.0,-110.0,104.0,26.86,-4.5,-110
4700709,261,2023,4,Sun 10/1,1:00 PM,Pittsburgh,6,FINAL,1519,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-102.0,-105.0,105.0,105.0,106.0,100.0,-105.0,-105.0,102.0,-104.0,100.0,-105.0,103.0,34.21,-4.5,-110
4700709,262,2023,4,,,Houston,30,,1530,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-118.0,-115.0,-125.0,-125.0,-117.0,-120.0,-115.0,-115.0,-118.0,-116.0,-120.0,-115.0,-116.0,65.79,4.5,-110
4700710,263,2023,4,Sun 10/1,1:00 PM,L.A. Rams,29,FINAL OT,1550,-1.5,-2.0,-2.0,-2.0,-1.0,-1.5,-1.5,-1.0,-1.5,-1.5,-1.5,-1.5,-2.0,-110.0,-110.0,-110.0,-110.0,-116.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-109.0,35.19,0.0,-110
4700710,264,2023,4,,,Indianapolis,23,,1527,1.5,2.0,2.0,2.0,1.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.0,-110.0,-110.0,-110.0,-110.0,105.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-122.0,64.81,0.0,-110
4700711,255,2023,4,Sun 10/1,1:00 PM,Minnesota,21,FINAL,1541,-4.5,-4.5,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,-4.5,-4.5,-4.5,-4.5,-4.5,-110.0,-105.0,-110.0,-110.0,-111.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-108.0,20.2,-3.0,100
4700711,256,2023,4,,,Carolina,13,,1545,4.5,4.5,4.5,4.5,4.0,4.5,4.5,4.0,4.5,4.5,4.5,4.5,4.5,-110.0,-115.0,-110.0,-110.0,101.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-123.0,79.8,3.0,-120
4700712,265,2023,4,Sun 10/1,1:00 PM,Tampa Bay,26,FINAL,1544,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0,-105.0,-110.0,-108.0,-110.0,-110.0,-110.0,-108.0,50.87,3.5,-110
4700712,266,2023,4,,,New Orleans,9,,1543,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.0,-110.0,-110.0,-110.0,-110.0,-103.0,-110.0,-115.0,-110.0,-108.0,-110.0,-110.0,-110.0,-123.0,49.13,-3.5,-110
4700713,267,2023,4,Sun 10/1,1:00 PM,Washington,31,FINAL OT,1537,9.0,8.5,9.0,9.0,10.0,8.5,9.0,8.5,8.5,8.5,8.5,9.0,8.0,-115.0,-110.0,-115.0,-115.0,-124.0,-110.0,-115.0,-110.0,-108.0,-107.0,-110.0,-110.0,-110.0,83.52,7.5,-110
4700713,268,2023,4,,,Philadelphia,34,,1536,-9.0,-8.5,-9.0,-9.0,-10.0,-8.5,-9.0,-8.5,-8.5,-8.5,-8.5,-9.0,-8.0,-105.0,-110.0,-105.0,-105.0,112.0,-110.0,-105.0,-110.0,-108.0,-113.0,-110.0,-110.0,-120.0,16.48,-7.5,-110
