eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700761,473,2023,7,Mon 10/23,8:15 PM,San Francisco,17,FINAL,1547,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-7.0,-7.0,-7.0,-6.5,-7.0,-6.5,-6.5,-115.0,-110.0,-110.0,-112.0,-104.0,100.0,100.0,100.0,-108.0,-116.0,100.0,-110.0,-111.0,27.96,-7.0,-114
4700761,474,2023,7,,,Minnesota,22,,1541,6.5,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,-105.0,-110.0,-110.0,-108.0,-106.0,-120.0,-120.0,-120.0,-108.0,-104.0,-120.0,-110.0,-102.0,72.04,7.0,-106
4700750,457,2023,7,Sun 10/22,1:00 PM,Detroit,6,FINAL,1539,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-106.0,-105.0,-108.0,-106.0,-104.0,-105.0,-105.0,-110.0,-108.0,-110.0,-105.0,100.0,-110.0,38.7,2.5,-110
4700750,458,2023,7,,,Baltimore,38,,1521,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-114.0,-115.0,-111.0,-114.0,-106.0,-115.0,-115.0,-110.0,-108.0,-110.0,-115.0,-120.0,-103.0,61.3,-2.5,-110
4700751,451,2023,7,Sun 10/22,1:00 PM,Atlanta,16,FINAL,1546,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,-120.0,-115.0,-102.0,-102.0,-119.0,-120.0,-115.0,-120.0,-108.0,-116.0,-120.0,100.0,-114.0,63.59,1.5,-110
4700751,452,2023,7,,,Tampa Bay,13,,1544,-3.0,-3.0,-2.5,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,100.0,-105.0,-118.0,-118.0,107.0,100.0,-105.0,100.0,-108.0,-104.0,100.0,-120.0,101.0,36.41,-1.5,-110
4700752,461,2023,7,Sun 10/22,1:00 PM,Washington,7,FINAL,1537,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-108.0,-105.0,-108.0,-108.0,-101.0,-110.0,-110.0,-110.0,-108.0,-113.0,-110.0,-110.0,-103.0,37.32,-1.0,-110
4700752,462,2023,7,,,N.Y. Giants,14,,1535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-112.0,-115.0,-112.0,-112.0,-109.0,-110.0,-110.0,-110.0,-108.0,-107.0,-110.0,-110.0,-110.0,62.68,1.0,-110
4700753,453,2023,7,Sun 10/22,1:00 PM,Las Vegas,12,FINAL,1533,-2.5,-2.5,-2.0,-2.0,-2.5,-2.0,-2.5,-2.5,-2.0,-2.5,-2.0,-2.5,-2.5,-110.0,-115.0,-114.0,-114.0,-109.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-109.0,40.39,-1.0,-110
4700753,454,2023,7,,,Chicago,30,,1540,2.5,2.5,2.0,2.0,2.5,2.0,2.5,2.5,2.0,2.5,2.0,2.5,2.5,-110.0,-105.0,-106.0,-106.0,-101.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-103.0,59.61,1.0,-110
4700754,459,2023,7,Sun 10/22,1:00 PM,Buffalo,25,FINAL,1526,-7.5,-8.0,-7.5,-7.5,-8.5,-8.0,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-9.0,-110.0,-110.0,-116.0,-115.0,103.0,-105.0,-115.0,-110.0,-108.0,-110.0,-105.0,-115.0,-109.0,12.98,-9.0,100
4700754,460,2023,7,,,New England,29,,1525,7.5,8.0,7.5,7.5,8.5,8.0,7.5,7.5,7.5,7.5,8.0,7.5,9.0,-110.0,-110.0,-104.0,-105.0,-115.0,-115.0,-105.0,-110.0,-108.0,-110.0,-115.0,-105.0,-122.0,87.02,9.0,-120
4700755,455,2023,7,Sun 10/22,1:00 PM,Cleveland,39,FINAL,1520,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-105.0,-105.0,-106.0,-107.0,-101.0,-105.0,-110.0,-105.0,-108.0,-107.0,-105.0,-105.0,-108.0,31.92,-3.0,100
4700755,456,2023,7,,,Indianapolis,38,,1527,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,-115.0,-115.0,-114.0,-113.0,-109.0,-115.0,-110.0,-115.0,-108.0,-113.0,-115.0,-115.0,-123.0,68.08,3.0,-120
4700756,465,2023,7,Sun 10/22,4:05 PM,Pittsburgh,24,FINAL,1519,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-115.0,-110.0,106.0,101.0,-114.0,-120.0,-115.0,-120.0,-108.0,-110.0,-120.0,-120.0,-112.0,71.67,2.5,105
4700756,466,2023,7,,,L.A. Rams,17,,1550,-3.5,-3.5,-3.0,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-105.0,-110.0,-126.0,-121.0,102.0,100.0,-105.0,100.0,-108.0,-110.0,100.0,100.0,-101.0,28.33,-2.5,-125
4700757,463,2023,7,Sun 10/22,4:05 PM,Arizona,10,FINAL,1549,9.0,9.5,9.0,9.0,10.0,9.0,9.0,9.0,9.5,9.5,9.0,9.5,8.0,-106.0,-110.0,-110.0,-110.0,-121.0,-110.0,-105.0,-110.0,-108.0,-110.0,-110.0,-115.0,-110.0,67.32,6.5,100
4700757,464,2023,7,,,Seattle,20,,1548,-9.0,-9.5,-9.0,-9.0,-10.0,-9.0,-9.0,-9.0,-9.5,-9.5,-9.0,-9.5,-8.0,-114.0,-110.0,-110.0,-110.0,109.0,-110.0,-115.0,-110.0,-108.0,-110.0,-110.0,-105.0,-120.0,32.68,-6.5,-120
4700758,467,2023,7,Sun 10/22,4:25 PM,L.A. Chargers,17,FINAL,75380,5.5,5.5,5.0,5.5,6.0,5.5,5.5,5.5,6.0,5.5,5.5,5.5,5.5,-107.0,-110.0,-110.0,-115.0,-113.0,-115.0,-105.0,-110.0,-108.0,-110.0,-115.0,-110.0,-110.0,51.67,6.0,-110
4700758,468,2023,7,,,Kansas City,31,,1531,-5.5,-5.5,-5.0,-5.5,-6.0,-5.5,-5.5,-5.5,-6.0,-5.5,-5.5,-5.5,-5.5,-113.0,-110.0,-110.0,-105.0,102.0,-105.0,-115.0,-110.0,-108.0,-110.0,-105.0,-110.0,-120.0,48.33,-6.0,-110
4700759,469,2023,7,Sun 10/22,4:25 PM,Green Bay,17,FINAL,1542,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,-107.0,-110.0,-105.0,-105.0,104.0,-105.0,-110.0,-110.0,-108.0,-110.0,-105.0,-110.0,-110.0,48.85,-1.0,-110
4700759,470,2023,7,,,Denver,19,,1534,-1.0,-1.5,-1.0,-1.0,-1.0,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-113.0,-110.0,-115.0,-115.0,-116.0,-115.0,-110.0,-110.0,-108.0,-110.0,-115.0,-110.0,-120.0,51.15,1.0,-110
4700760,471,2023,7,Sun 10/22,8:20 PM,Miami,17,FINAL,1524,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-110.0,-110.0,-110.0,-107.0,-103.0,-105.0,-110.0,-110.0,-108.0,-110.0,-105.0,-110.0,-111.0,48.32,2.0,-105
4700760,472,2023,7,,,Philadelphia,31,,1536,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-110.0,-110.0,-110.0,-113.0,-107.0,-115.0,-110.0,-110.0,-108.0,-110.0,-115.0,-110.0,-101.0,51.68,-2.0,-115
4700749,311,2023,7,Thu 10/19,8:15 PM,Jacksonville,31,FINAL,1529,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.0,2.5,2.0,-111.0,-105.0,-105.0,-105.0,101.0,100.0,-105.0,-110.0,-108.0,-110.0,100.0,-105.0,-106.0,47.03,-1.0,-110
4700749,312,2023,7,,,New Orleans,24,,1543,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.0,-109.0,-115.0,-115.0,-115.0,-111.0,-120.0,-115.0,-110.0,-108.0,-110.0,-120.0,-115.0,-125.0,52.97,1.0,-110
