eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700790,475,2023,9,Mon 11/6,8:15 PM,L.A. Chargers,27,FINAL,75380,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-120.0,-120.0,-119.0,-119.0,104.0,-120.0,-120.0,-120.0,-123.0,-122.0,-120.0,-120.0,-125.0,-102.0,41.07,-1.5,-110
4700790,476,2023,9,,,N.Y. Jets,6,,1523,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,100.0,100.0,-101.0,-101.0,-116.0,100.0,100.0,100.0,107.0,102.0,100.0,100.0,105.0,-130.0,58.93,1.5,-110
4700589,451,2023,9,Sun 11/5,9:30 AM,Miami,14,FINAL,1524,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.5,-1.0,1.5,0.5,-110.0,-110.0,-110.0,-110.0,-105.0,-105.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-105.0,-111.0,54.2,7.5,-110
4700589,452,2023,9,,,Kansas City,21,,1531,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.5,1.0,-1.5,-0.5,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-115.0,-119.0,45.8,-7.5,-110
4700779,453,2023,9,Sun 11/5,1:00 PM,Minnesota,31,FINAL,1541,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-107.0,-105.0,-110.0,-110.0,104.0,-110.0,-105.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,-104.0,53.35,2.5,100
4700779,454,2023,9,,,Atlanta,28,,1546,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-113.0,-115.0,-110.0,-110.0,-115.0,-110.0,-115.0,-110.0,-108.0,-111.0,-110.0,-110.0,-110.0,-109.0,46.65,-2.5,-120
4700780,455,2023,9,Sun 11/5,1:00 PM,Seattle,3,FINAL,1548,6.0,6.0,6.5,6.0,6.5,6.0,6.0,6.0,6.5,6.5,6.5,6.0,6.5,6.0,-110.0,-105.0,-110.0,-105.0,-113.0,-115.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-110.0,-106.0,59.3,5.0,-110
4700780,456,2023,9,,,Baltimore,37,,1521,-6.0,-6.0,-6.5,-6.0,-6.5,-6.0,-6.0,-6.0,-6.5,-6.5,-6.5,-6.0,-6.5,-6.0,-110.0,-115.0,-110.0,-115.0,103.0,-105.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-110.0,-106.0,40.7,-5.0,-110
4700781,465,2023,9,Sun 11/5,1:00 PM,Chicago,17,FINAL,1540,9.0,8.5,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.5,9.0,9.5,8.5,-110.0,-110.0,-110.0,-110.0,-126.0,-115.0,-105.0,-110.0,-108.0,-109.0,-110.0,-115.0,-110.0,-112.0,78.73,5.5,-110
4700781,466,2023,9,,,New Orleans,24,,1543,-9.0,-8.5,-9.0,-9.0,-10.0,-9.0,-9.0,-9.0,-8.0,-8.0,-9.5,-9.0,-9.5,-8.5,-110.0,-110.0,-110.0,-110.0,113.0,-105.0,-115.0,-110.0,-108.0,-111.0,-110.0,-105.0,-110.0,-118.0,21.27,-5.5,-110
