eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_29,adj_36,adj_44,adj_54,adj_82,adj_123,adj_127,adj_130,ap_8,ap_9,ap_10,ap_16,ap_20,ap_29,ap_36,ap_44,ap_54,ap_82,ap_123,ap_127,ap_130,perc,opening_adj,opening_ap
4765610,451,2025,1,Thu 9/4,8:20 PM,Dallas,,,1538,7.0,7.0,7.0,7.0,6.5,7.0,7.5,7.0,7.0,7.0,7.0,7.0,6.5,-116.0,-105.0,-110.0,-110.0,110.0,-115.0,-125.0,-108.0,-113.0,-110.0,-110.0,-115.0,110.0,28.57,7.0,-115
4765610,452,2025,1,,,Philadelphia,,,1536,-7.0,-7.0,-7.0,-7.0,-6.5,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-6.5,-104.0,-115.0,-110.0,-110.0,-121.0,-105.0,-110.0,-108.0,-107.0,-110.0,-110.0,-105.0,-121.0,71.43,-7.0,-105
4765668,453,2025,1,Fri 9/5,8:00 PM,Kansas City,,,1531,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-113.0,-110.0,-110.0,-110.0,-106.0,-110.0,100.0,-108.0,-117.0,-110.0,-110.0,-110.0,-108.0,22.22,-2.5,-110
4765668,454,2025,1,,,L.A. Chargers,,,75380,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.0,3.0,-107.0,-110.0,-110.0,-110.0,-104.0,-110.0,-138.0,-108.0,-103.0,-110.0,-110.0,-110.0,-102.0,77.78,2.5,-110
4765677,469,2025,1,Sun 9/7,1:00 PM,Tampa Bay,,,1544,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-2.5,-1.5,-2.5,-2.0,-1.5,-1.5,-1.5,-110.0,-110.0,-110.0,-110.0,-105.0,-110.0,-120.0,-108.0,-111.0,-110.0,-110.0,-110.0,-105.0,100.0,-2.0,-115
4765677,470,2025,1,,,Atlanta,,,1546,1.5,1.5,1.5,1.5,1.5,1.5,2.5,1.5,2.5,2.0,1.5,1.5,1.5,-110.0,-110.0,-110.0,-110.0,-105.0,-110.0,-120.0,-108.0,-109.0,-110.0,-110.0,-110.0,-105.0,0.0,2.0,-105
4765678,455,2025,1,Sun 9/7,1:00 PM,Pittsburgh,,,1519,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-105.0,-105.0,-105.0,-105.0,100.0,-105.0,105.0,-108.0,-102.0,-110.0,-105.0,100.0,100.0,50.0,-3.0,-110
4765678,456,2025,1,,,N.Y. Jets,,,1523,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,-115.0,-115.0,-115.0,-115.0,-111.0,-115.0,-143.0,-108.0,-118.0,-110.0,-115.0,-120.0,-111.0,50.0,3.0,-110
4765679,457,2025,1,Sun 9/7,1:00 PM,Miami,,,1524,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.5,-1.0,0.0,1.0,1.0,0.0,-1.0,100.0,-110.0,100.0,100.0,106.0,-105.0,-125.0,-108.0,-111.0,-110.0,-110.0,-110.0,107.0,0.0,1.5,-110
4765679,458,2025,1,,,Indianapolis,,,1527,1.0,-1.0,0.0,0.0,1.0,1.0,-1.5,1.0,0.0,-1.0,-1.0,0.0,1.0,-120.0,-110.0,-120.0,-120.0,-117.0,-115.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,-118.0,100.0,-1.5,-110
