game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds
4742202,1550,2024,20,L.A. Rams,Sun 1/19,3:00 PM,22,FINAL,391,225.0,6.0,-115.0,43.5,-105.0,70.19,5440.0,49.26,7290.0,52.32,0.0,305.0,7.0,-105.0,44.0,-105.0,295.0,7.0,-110.0,43.5,-115.0,294.0,7.0,-110.0,43.5,-110.0,294.0,7.0,-110.0,43.5,-110.0,295.0,7.5,-122.0,43.0,-113.0,305.0,7.0,-110.0,43.5,-110.0,290.0,7.0,-105.0,43.5,-115.0,300.0,7.0,-110.0,43.5,-118.0,290.0,7.0,-108.0,43.5,-108.0,277.0,7.0,-110.0,43.0,-114.0,260.0,7.0,-120.0,43.0,-110.0,305.0,7.0,-110.0,43.5,-110.0,297.0,7.0,-110.0,43.5,-110.0,255.0,7.0,-110.0,43.0,-115.0
4742202,1536,2024,20,Philadelphia,Sun 1/19,3:00 PM,28,FINAL,392,-265.0,-6.0,-105.0,43.5,-115.0,29.81,2310.0,50.74,7510.0,47.68,0.0,-375.0,-7.0,-115.0,44.0,-115.0,-390.0,-7.0,-110.0,43.5,-105.0,-367.0,-7.0,-110.0,43.5,-110.0,-367.0,-7.0,-110.0,43.5,-110.0,-349.0,-7.5,111.0,43.0,101.0,-360.0,-7.0,-110.0,43.5,-110.0,-360.0,-7.0,-115.0,43.5,-105.0,-380.0,-7.0,-125.0,43.5,-118.0,-360.0,-7.0,-108.0,43.5,-108.0,-347.0,-7.0,-110.0,43.0,-106.0,-340.0,-7.0,-100.0,43.0,-110.0,-360.0,-7.0,-110.0,43.5,-110.0,-375.0,-7.0,-110.0,43.5,-110.0,-350.0,-7.0,-110.0,43.0,-105.0
4742201,1521,2024,20,Baltimore,Sun 1/19,6:30 PM,25,FINAL,393,-120.0,0.0,-115.0,52.0,-110.0,56.77,4530.0,41.9,7040.0,56.1,0.0,-123.0,-1.5,-110.0,51.5,-110.0,-130.0,-1.5,-110.0,52.0,-110.0,-119.0,-1.0,-114.0,52.0,-110.0,-119.0,-1.0,-114.0,52.0,-110.0,-123.0,-1.0,-115.0,52.0,-101.0,-130.0,-2.0,-109.0,51.5,-110.0,-125.0,-1.5,-110.0,51.5,-115.0,-130.0,-1.5,-118.0,52.0,-118.0,-125.0,-1.5,-108.0,52.0,-108.0,-128.0,-1.5,-110.0,51.5,-113.0,-119.0,-1.0,-110.0,51.5,-110.0,-129.0,-2.0,-110.0,52.0,-111.0,-119.0,-1.0,-110.0,52.0,-110.0,-119.0,-1.0,-105.0,52.0,-110.0
4742201,1526,2024,20,Buffalo,Sun 1/19,6:30 PM,27,FINAL,394,100.0,0.0,-105.0,52.0,-110.0,43.23,3450.0,58.1,9760.0,43.9,0.0,103.0,1.5,-110.0,51.5,-110.0,110.0,1.5,-110.0,52.0,-110.0,-101.0,1.0,-106.0,52.0,-110.0,-101.0,1.0,-106.0,52.0,-110.0,111.0,1.0,105.0,52.0,-112.0,110.0,2.0,-111.0,51.5,-110.0,105.0,1.5,-110.0,51.5,-105.0,110.0,1.5,-118.0,52.0,-118.0,105.0,1.5,-108.0,52.0,-108.0,108.0,1.5,-110.0,51.5,-107.0,-103.0,1.0,-110.0,51.5,-110.0,109.0,2.0,-110.0,52.0,-109.0,-101.0,1.0,-110.0,52.0,-110.0,-101.0,1.0,-115.0,52.0,-110.0
4742199,1530,2024,20,Houston,Sat 1/18,4:30 PM,14,FINAL,387,360.0,8.0,-110.0,42.0,-110.0,82.67,6060.0,58.31,8880.0,63.76,0.0,440.0,9.5,-110.0,41.0,-115.0,410.0,9.5,-110.0,42.0,-105.0,420.0,10.0,-125.0,41.5,-105.0,420.0,10.0,-125.0,41.5,-105.0,392.0,10.0,-126.0,41.5,-111.0,425.0,9.0,-115.0,41.5,-110.0,410.0,9.5,-115.0,41.5,-110.0,425.0,9.5,-118.0,41.5,-118.0,410.0,9.5,-108.0,41.5,-108.0,384.0,9.5,-115.0,41.5,-111.0,400.0,9.0,-110.0,41.5,-110.0,425.0,9.0,-115.0,41.5,-110.0,420.0,9.5,-115.0,41.5,-105.0,400.0,9.0,-120.0,41.5,-120.0
4742199,1531,2024,20,Kansas City,Sat 1/18,4:30 PM,23,FINAL,388,-450.0,-8.0,-110.0,42.0,-110.0,17.33,1270.0,41.69,6350.0,36.24,0.0,-560.0,-9.5,-110.0,41.0,-105.0,-585.0,-9.5,-110.0,42.0,-115.0,-558.0,-10.0,105.0,41.5,-115.0,-558.0,-10.0,105.0,41.5,-115.0,-483.0,-10.0,114.0,41.5,-101.0,-500.0,-9.0,-105.0,41.5,-110.0,-550.0,-9.5,-105.0,41.5,-110.0,-600.0,-9.5,-118.0,41.5,-118.0,-535.0,-9.5,-108.0,41.5,-108.0,-509.0,-9.5,-105.0,41.5,-109.0,-575.0,-9.0,-110.0,41.5,-110.0,-500.0,-9.0,-105.0,41.5,-110.0,-560.0,-9.5,-105.0,41.5,-115.0,-500.0,-9.0,100.0,41.5,100.0
4742200,1537,2024,20,Washington,Sat 1/18,8:00 PM,45,FINAL,389,395.0,8.5,-110.0,56.0,-105.0,81.48,6600.0,60.57,10600.0,68.2,0.0,395.0,8.0,-115.0,55.0,-110.0,335.0,8.0,-115.0,55.0,-110.0,367.0,8.0,-115.0,55.0,-111.0,367.0,8.0,-115.0,55.0,-110.0,346.0,8.0,-110.0,55.5,101.0,375.0,7.5,-115.0,55.0,-110.0,400.0,8.0,-110.0,55.5,-110.0,400.0,8.0,-118.0,55.0,-118.0,380.0,8.0,-108.0,56.0,-108.0,358.0,8.0,-111.0,55.5,-110.0,380.0,8.0,-110.0,55.5,-110.0,375.0,7.5,-115.0,55.0,-110.0,375.0,8.0,-110.0,55.5,-110.0,340.0,9.0,-120.0,56.0,-110.0
4742200,1539,2024,20,Detroit,Sat 1/18,8:00 PM,31,FINAL,390,-500.0,-8.5,-110.0,56.0,-115.0,18.52,1500.0,39.43,6900.0,31.8,0.0,-500.0,-8.0,-105.0,55.0,-110.0,-450.0,-8.0,-105.0,55.0,-110.0,-475.0,-8.0,-105.0,55.0,-109.0,-475.0,-8.0,-105.0,55.0,-110.0,-417.0,-8.0,100.0,55.5,-114.0,-440.0,-7.5,-105.0,55.0,-110.0,-530.0,-8.0,-110.0,55.5,-110.0,-550.0,-8.0,-118.0,55.0,-118.0,-505.0,-8.0,-108.0,56.0,-108.0,-448.0,-8.0,-109.0,55.5,-110.0,-526.0,-8.0,-110.0,55.5,-110.0,-440.0,-7.5,-105.0,55.0,-110.0,-500.0,-8.0,-110.0,55.5,-110.0,-490.0,-9.0,100.0,56.0,-110.0
