game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds
3452849,1537,2018,13,Washington,Mon 12/3,8:15 PM,13,FINAL,379,230.0,7.0,-115.0,43.5,-110.0,48.07,6240.0,48.17,39910.0,56.64,17190.0,220.0,5.5,-105.0,45.0,-110.0,220.0,6.5,-115.0,45.0,-115.0,226.0,5.5,-106.0,45.0,-113.0,226.0,5.5,-106.0,45.0,-113.0,213.0,5.5,-105.0,45.0,-111.0,215.0,6.0,-110.0,45.0,-110.0,215.0,5.5,-105.0,45.0,-110.0,215.0,5.5,-105.0,45.0,-105.0,212.0,5.5,-106.0,45.0,-112.0,220.0,6.0,-110.0,45.0,-120.0
3452849,1536,2018,13,Philadelphia,Mon 12/3,8:15 PM,28,FINAL,380,-275.0,-7.0,-105.0,43.5,-110.0,51.93,6740.0,51.83,42940.0,43.36,13160.0,-260.0,-5.5,-115.0,45.0,-110.0,-270.0,-6.5,-105.0,45.0,-105.0,-275.0,-5.5,-114.0,45.0,-107.0,-275.0,-5.5,-114.0,45.0,-107.0,-239.0,-5.5,-105.0,45.0,-100.0,-255.0,-6.0,-110.0,45.0,-110.0,-270.0,-5.5,-116.0,45.0,-110.0,-265.0,-5.5,-105.0,45.0,-105.0,-252.0,-5.5,-114.0,45.0,-108.0,-270.0,-6.0,-110.0,45.0,100.0
3452835,1550,2018,13,L.A. Rams,Sun 12/2,1:00 PM,30,FINAL,367,-450.0,-7.0,-110.0,54.5,-110.0,54.15,1110.0,54.47,4810.0,53.76,1000.0,-515.0,-10.0,-113.0,54.0,-111.0,-600.0,-10.5,-110.0,54.5,-110.0,-550.0,-10.0,-110.0,54.0,-110.0,-550.0,-10.0,-110.0,54.0,-110.0,-450.0,-10.5,102.0,54.0,-103.0,-500.0,-10.0,-110.0,54.0,-110.0,-550.0,-10.0,-110.0,54.0,-110.0,-525.0,-10.0,-105.0,54.0,-105.0,-525.0,-10.0,-111.0,54.0,-108.0,-500.0,-10.5,100.0,54.0,-110.0
3452835,1539,2018,13,Detroit,Sun 12/2,1:00 PM,16,FINAL,368,375.0,7.0,-110.0,54.5,-110.0,45.85,940.0,45.53,4020.0,46.24,860.0,420.0,10.0,-107.0,54.0,-109.0,400.0,10.5,-110.0,54.5,-110.0,416.0,10.0,-110.0,54.0,-110.0,416.0,10.0,-110.0,54.0,-110.0,385.0,10.5,-114.0,54.0,-108.0,375.0,10.0,-110.0,54.0,-110.0,400.0,10.0,-110.0,54.0,-110.0,400.0,10.0,-105.0,54.0,-105.0,400.0,10.0,-109.0,54.0,-112.0,400.0,10.5,-120.0,54.0,-110.0
3452837,1545,2018,13,Carolina,Sun 12/2,1:00 PM,17,FINAL,355,-190.0,-4.5,-110.0,55.5,-110.0,57.64,1170.0,60.34,1050.0,53.62,370.0,-182.0,-3.0,-122.0,52.0,-110.0,-200.0,-3.5,-115.0,52.5,-110.0,-180.0,-3.5,-105.0,52.5,-110.0,-180.0,-3.5,-105.0,52.5,-110.0,-185.0,-3.5,-101.0,52.0,-104.0,-190.0,-3.5,-105.0,52.0,-110.0,-190.0,-3.5,-105.0,52.0,-110.0,-190.0,-3.5,100.0,52.0,-105.0,-189.0,-3.5,-106.0,52.0,-112.0,-205.0,-4.0,-115.0,52.5,-110.0
3452837,1544,2018,13,Tampa Bay,Sun 12/2,1:00 PM,24,FINAL,356,165.0,4.5,-110.0,55.5,-110.0,42.36,860.0,39.66,690.0,46.38,320.0,162.0,3.0,102.0,52.0,-110.0,170.0,3.5,-105.0,52.5,-110.0,155.0,3.5,-115.0,52.5,-110.0,155.0,3.5,-115.0,52.5,-110.0,166.0,3.5,-110.0,52.0,-106.0,165.0,3.5,-115.0,52.0,-110.0,160.0,3.5,-116.0,52.0,-110.0,165.0,3.5,-110.0,52.0,-105.0,164.0,3.5,-114.0,52.0,-108.0,170.0,4.0,-105.0,52.5,-110.0
3452838,1549,2018,13,Arizona,Sun 12/2,1:00 PM,20,FINAL,369,675.0,14.0,-110.0,46.0,-110.0,68.0,510.0,54.15,2740.0,40.1,790.0,535.0,13.5,-113.0,40.0,-120.0,600.0,14.0,-120.0,41.0,-115.0,639.0,13.5,-115.0,41.0,-105.0,639.0,13.5,-115.0,41.0,-105.0,548.0,13.5,-107.0,41.0,-103.0,525.0,13.5,-115.0,41.0,-105.0,575.0,13.5,-116.0,41.0,-110.0,580.0,13.5,-110.0,41.0,-105.0,580.0,13.5,-116.0,41.0,-107.0,775.0,13.5,-105.0,41.0,-110.0
3452838,1542,2018,13,Green Bay,Sun 12/2,1:00 PM,17,FINAL,370,-900.0,-14.0,-110.0,46.0,-110.0,32.0,240.0,45.85,2320.0,59.9,1180.0,-700.0,-13.5,-107.0,40.0,100.0,-1000.0,-14.0,100.0,41.0,-105.0,-950.0,-13.5,-105.0,41.0,-115.0,-950.0,-13.5,-105.0,41.0,-115.0,-729.0,-13.5,-103.0,41.0,-108.0,-750.0,-13.5,-105.0,41.0,-115.0,-833.0,-13.5,-105.0,41.0,-110.0,-780.0,-13.5,100.0,41.0,-105.0,-780.0,-13.5,-104.0,41.0,-113.0,-1200.0,-13.5,-115.0,41.0,-110.0
3452839,1534,2018,13,Denver,Sun 12/2,1:00 PM,24,FINAL,365,-195.0,-3.5,-110.0,42.5,-110.0,62.28,1040.0,62.41,5430.0,56.36,930.0,-197.0,-3.5,-110.0,45.0,-111.0,-220.0,-4.5,-105.0,45.0,-110.0,-190.0,-3.5,-107.0,45.0,-105.0,-190.0,-3.5,-107.0,45.0,-105.0,-178.0,-3.5,102.0,45.0,-103.0,-190.0,-3.5,-110.0,45.0,-110.0,-200.0,-4.0,-110.0,45.0,-110.0,-195.0,-3.5,-105.0,45.0,-105.0,-204.0,-3.5,-109.0,45.0,-107.0,-220.0,-5.0,-115.0,45.0,-110.0
3452839,1522,2018,13,Cincinnati,Sun 12/2,1:00 PM,10,FINAL,366,170.0,3.5,-110.0,42.5,-110.0,37.72,630.0,37.59,3270.0,43.64,720.0,172.0,3.5,-110.0,45.0,-109.0,180.0,4.5,-115.0,45.0,-110.0,163.0,3.5,-113.0,45.0,-115.0,163.0,3.5,-113.0,45.0,-115.0,160.0,3.5,-113.0,45.0,-108.0,165.0,3.5,-110.0,45.0,-110.0,170.0,4.0,-110.0,45.0,-110.0,170.0,3.5,-105.0,45.0,-105.0,174.0,3.5,-111.0,45.0,-113.0,180.0,5.0,-105.0,45.0,-110.0
