game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds
3452778,1525,2018,8,New England,Mon 10/29,8:15 PM,25,FINAL,275,-1200.0,-13.0,-110.0,44.5,-110.0,43.43,4990.0,59.26,59820.0,56.1,17200.0,-1000.0,-14.0,-105.0,43.5,-115.0,-1500.0,-14.5,-115.0,45.0,-110.0,-1239.0,-13.5,-110.0,44.0,-105.0,-1239.0,-13.5,-110.0,44.0,-105.0,-1018.0,-13.5,-107.0,44.0,-103.0,-1100.0,-13.5,-115.0,44.0,-110.0,-1300.0,-14.0,-105.0,44.5,-105.0,-1111.0,-13.5,-110.0,44.0,-110.0,-945.0,-13.5,-110.0,44.0,-105.0,-943.0,-13.5,-115.0,44.0,-110.0,-1400.0,-14.5,-120.0,45.0,-115.0,,-13.5,-118.0,44.0,-110.0
3452778,1526,2018,8,Buffalo,Mon 10/29,8:15 PM,6,FINAL,276,825.0,13.0,-110.0,44.5,-110.0,56.57,6500.0,40.74,41130.0,43.9,13460.0,725.0,14.0,-115.0,43.5,-105.0,775.0,14.5,-105.0,45.0,-110.0,772.0,13.5,-110.0,44.0,-115.0,772.0,13.5,-110.0,44.0,-115.0,744.0,13.5,-103.0,44.0,-108.0,750.0,13.5,-105.0,44.0,-110.0,725.0,14.0,-115.0,44.5,-115.0,750.0,13.5,-110.0,44.0,-110.0,695.0,13.5,100.0,44.0,-105.0,693.0,13.5,-105.0,44.0,-110.0,825.0,14.5,100.0,45.0,-105.0,,13.5,-102.0,44.0,-110.0
3452766,1536,2018,8,Philadelphia,Sun 10/28,9:30 AM,24,FINAL,251,-175.0,-3.0,100.0,41.0,-110.0,49.52,1040.0,64.19,10610.0,52.1,620.0,-210.0,-3.5,-113.0,44.5,-112.0,-240.0,-4.5,-110.0,44.5,-115.0,-200.0,-3.0,-130.0,44.5,-109.0,-200.0,-3.0,-130.0,44.5,-109.0,-208.0,-4.0,-103.0,44.5,-109.0,-220.0,-4.0,-110.0,44.5,-110.0,-225.0,-4.0,-115.0,44.5,-110.0,-212.0,-4.0,-110.0,44.0,-110.0,-205.0,-3.5,-115.0,44.5,-105.0,-207.0,-3.5,-120.0,44.5,-108.0,-220.0,-4.5,-115.0,45.0,-110.0,-220.0,-4.0,100.0,44.5,-110.0
3452766,1529,2018,8,Jacksonville,Sun 10/28,9:30 AM,18,FINAL,252,155.0,3.0,-120.0,41.0,-110.0,50.48,1060.0,35.81,5920.0,47.9,570.0,180.0,3.5,-107.0,44.5,-108.0,200.0,4.5,-110.0,44.5,-105.0,170.0,3.0,110.0,44.5,-111.0,170.0,3.0,110.0,44.5,-111.0,186.0,4.0,-108.0,44.5,-102.0,180.0,4.0,-110.0,44.5,-110.0,185.0,4.0,-105.0,44.5,-110.0,175.0,4.0,-110.0,44.0,-110.0,175.0,3.5,105.0,44.5,-105.0,177.0,3.5,100.0,44.5,-112.0,180.0,4.5,-105.0,45.0,-110.0,180.0,4.0,-120.0,44.5,-110.0
3452767,1520,2018,8,Cleveland,Sun 10/28,1:00 PM,18,FINAL,253,290.0,7.0,-105.0,50.5,-110.0,47.7,1140.0,48.14,7230.0,46.04,1220.0,335.0,8.5,-114.0,47.5,-105.0,350.0,8.5,-105.0,48.0,-105.0,351.0,8.0,-113.0,47.5,-110.0,351.0,8.0,-113.0,47.5,-110.0,328.0,8.5,-108.0,47.5,-103.0,353.0,8.0,-110.0,47.5,-110.0,315.0,8.5,-115.0,47.5,-110.0,340.0,8.5,-110.0,47.5,-110.0,330.0,8.0,-105.0,47.5,-105.0,331.0,8.0,-106.0,47.0,-114.0,350.0,8.5,-110.0,48.0,-110.0,353.0,8.0,-105.0,47.5,-110.0
3452767,1519,2018,8,Pittsburgh,Sun 10/28,1:00 PM,33,FINAL,254,-350.0,-7.0,-115.0,50.5,-110.0,52.3,1250.0,51.86,7790.0,53.96,1430.0,-405.0,-8.5,-106.0,47.5,-115.0,-500.0,-8.5,-115.0,48.0,-115.0,-450.0,-8.0,-107.0,47.5,-110.0,-450.0,-8.0,-107.0,47.5,-110.0,-378.0,-8.5,-103.0,47.5,-108.0,-428.0,-8.0,-110.0,47.5,-110.0,-400.0,-8.5,-105.0,47.5,-110.0,-440.0,-8.5,-110.0,47.5,-110.0,-420.0,-8.0,-105.0,47.5,-105.0,-421.0,-8.0,-114.0,47.0,-106.0,-500.0,-8.5,-110.0,48.0,-110.0,-428.0,-8.0,-115.0,47.5,-110.0
3452768,1537,2018,8,Washington,Sun 10/28,1:00 PM,20,FINAL,259,-125.0,-1.0,-110.0,42.0,-110.0,64.12,1930.0,65.21,13140.0,58.13,1430.0,-123.0,-1.0,-105.0,44.0,-105.0,-120.0,-2.0,-105.0,44.5,-105.0,-120.0,-1.0,-110.0,44.0,-102.0,-120.0,-1.0,-110.0,44.0,-102.0,-108.0,-1.0,-101.0,43.0,-109.0,-120.0,-1.0,-110.0,44.0,-110.0,-115.0,-1.0,-110.0,44.0,-110.0,-120.0,-1.0,-110.0,44.0,-110.0,-105.0,-1.0,-105.0,44.0,-105.0,-108.0,-1.0,-105.0,44.0,-106.0,-125.0,-2.0,-120.0,44.5,-110.0,-115.0,-1.0,-105.0,44.0,-110.0
3452768,1535,2018,8,N.Y. Giants,Sun 10/28,1:00 PM,13,FINAL,260,105.0,1.0,-110.0,42.0,-110.0,35.88,1080.0,34.79,7010.0,41.87,1030.0,103.0,1.0,-115.0,44.0,-115.0,100.0,2.0,-115.0,44.5,-115.0,100.0,1.0,-110.0,44.0,-119.0,100.0,1.0,-110.0,44.0,-119.0,-102.0,1.0,-110.0,43.0,-102.0,100.0,1.0,-110.0,44.0,-110.0,-105.0,1.0,-110.0,44.0,-110.0,100.0,1.0,-110.0,44.0,-110.0,-115.0,1.0,-105.0,44.0,-105.0,-112.0,1.0,-115.0,44.0,-114.0,105.0,2.0,100.0,44.5,-110.0,-105.0,1.0,-115.0,44.0,-110.0
3452769,1548,2018,8,Seattle,Sun 10/28,1:00 PM,28,FINAL,261,130.0,2.5,100.0,49.0,-110.0,67.4,2440.0,56.05,11620.0,57.08,1250.0,152.0,3.0,-101.0,48.0,-110.0,145.0,3.0,100.0,48.5,-105.0,148.0,3.0,100.0,48.0,-110.0,148.0,3.0,100.0,48.0,-110.0,146.0,3.0,-101.0,47.5,-101.0,148.0,3.0,100.0,48.0,-110.0,150.0,3.0,100.0,48.0,-110.0,145.0,3.0,100.0,48.0,-110.0,145.0,3.0,-105.0,48.0,-105.0,143.0,3.0,-102.0,48.0,-110.0,145.0,3.0,-120.0,48.0,-115.0,148.0,3.0,-107.0,48.0,-110.0
3452769,1539,2018,8,Detroit,Sun 10/28,1:00 PM,14,FINAL,262,-150.0,-2.5,-120.0,49.0,-110.0,32.6,1180.0,43.95,9110.0,42.92,940.0,-172.0,-3.0,-119.0,48.0,-110.0,-165.0,-3.0,-120.0,48.5,-115.0,-170.0,-3.0,-120.0,48.0,-110.0,-170.0,-3.0,-120.0,48.0,-110.0,-162.0,-3.0,-110.0,47.5,-110.0,-168.0,-3.0,-120.0,48.0,-110.0,-170.0,-3.0,-120.0,48.0,-110.0,-172.0,-3.0,-120.0,48.0,-110.0,-165.0,-3.0,-105.0,48.0,-105.0,-163.0,-3.0,-118.0,48.0,-110.0,-170.0,-3.0,100.0,48.0,-105.0,-168.0,-3.0,-113.0,48.0,-110.0
