eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3452805,1535,275,2018,10,Mon 11/12,8:15 PM,N.Y. Giants,27,FINAL,63.87,14530.0,53.08,50200.0,58.08,16360.0,135.0,2.5,-110.0,44.0,-110.0,160.0,3.0,100.0,45.0,-110.0,135.0,3.0,-105.0,45.5,-110.0,155.0,3.0,100.0,45.0,-110.0,155.0,3.0,100.0,45.0,-110.0,161.0,3.0,110.0,45.0,-103.0,161.0,3.5,-115.0,45.0,-110.0,145.0,3.0,-105.0,45.0,-110.0,150.0,3.0,100.0,45.0,-110.0,140.0,3.0,105.0,45.0,-105.0,145.0,3.0,-103.0,45.0,-108.0,120.0,3.0,-110.0,45.5,-115.0,161.0,3.5,-115.0,45.0,-110.0
3452805,1547,276,2018,10,,,San Francisco,23,,36.13,8220.0,46.92,44380.0,41.92,11810.0,-155.0,-2.5,-110.0,44.0,-110.0,-180.0,-3.0,-120.0,45.0,-110.0,-155.0,-3.0,-115.0,45.5,-110.0,-180.0,-3.0,-120.0,45.0,-110.0,-180.0,-3.0,-120.0,45.0,-110.0,-179.0,-3.0,-123.0,45.0,-108.0,-181.0,-3.5,-105.0,45.0,-110.0,-165.0,-3.0,-115.0,45.0,-110.0,-180.0,-3.0,-120.0,45.0,-110.0,-160.0,-3.0,-115.0,45.0,-105.0,-165.0,-3.0,-117.0,45.0,-112.0,-150.0,-3.0,-110.0,45.5,-105.0,-181.0,-3.5,-105.0,45.0,-110.0
3452794,1549,267,2018,10,Sun 11/11,1:00 PM,Arizona,14,FINAL,63.86,530.0,45.99,3100.0,55.17,800.0,875.0,16.5,-110.0,50.0,-110.0,1075.0,16.5,-112.0,49.5,-108.0,,17.0,-110.0,50.0,-115.0,980.0,15.5,-109.0,49.5,-112.0,980.0,15.5,-109.0,49.5,-112.0,835.0,16.5,-106.0,49.5,-101.0,1055.0,16.5,-115.0,49.5,-110.0,750.0,16.5,-110.0,49.5,-110.0,1000.0,16.0,-110.0,49.5,-110.0,930.0,16.5,-105.0,49.5,-105.0,928.0,16.5,-108.0,49.5,-110.0,,17.0,-125.0,50.0,-110.0,,16.5,-115.0,49.5,-110.0
3452794,1531,268,2018,10,,,Kansas City,26,,36.14,300.0,54.01,3640.0,44.83,650.0,-1300.0,-16.5,-110.0,50.0,-110.0,-1700.0,-16.5,-108.0,49.5,-112.0,,-17.0,-110.0,50.0,-105.0,-1800.0,-15.5,-111.0,49.5,-108.0,-1800.0,-15.5,-111.0,49.5,-108.0,-1267.0,-16.5,-104.0,49.5,-110.0,-1655.0,-16.5,-105.0,49.5,-110.0,-1400.0,-16.5,-110.0,49.5,-110.0,-1800.0,-16.0,-110.0,49.5,-110.0,-1330.0,-16.5,-105.0,49.5,-105.0,-1328.0,-16.5,-112.0,49.5,-110.0,,-17.0,105.0,50.0,-110.0,,-16.5,-105.0,49.5,-110.0
3452795,1526,251,2018,10,Sun 11/11,1:00 PM,Buffalo,41,FINAL,61.73,500.0,51.93,3360.0,45.28,1150.0,310.0,7.5,-115.0,36.5,-110.0,245.0,7.0,-118.0,37.5,-110.0,250.0,7.0,-110.0,37.5,-110.0,260.0,7.0,-140.0,38.0,-105.0,260.0,7.0,-140.0,38.0,-105.0,235.0,6.5,-108.0,38.0,102.0,255.0,7.0,-115.0,36.5,-110.0,255.0,7.0,-115.0,38.0,-105.0,250.0,7.0,-120.0,37.5,-110.0,250.0,7.0,-115.0,37.5,-105.0,248.0,7.0,-117.0,37.5,-105.0,255.0,7.0,-120.0,37.5,-110.0,255.0,7.0,-115.0,36.5,-110.0
3452795,1523,252,2018,10,,,N.Y. Jets,10,,38.27,310.0,48.07,3110.0,54.72,1390.0,-370.0,-7.5,-105.0,36.5,-110.0,-290.0,-7.0,-102.0,37.5,-110.0,-300.0,-7.0,-110.0,37.5,-110.0,-320.0,-7.0,116.0,38.0,-115.0,-320.0,-7.0,116.0,38.0,-115.0,-265.0,-6.5,-103.0,38.0,-114.0,-315.0,-7.0,-105.0,36.5,-110.0,-310.0,-7.0,-105.0,38.0,-115.0,-310.0,-7.0,100.0,37.5,-110.0,-310.0,-7.0,105.0,37.5,-105.0,-308.0,-7.0,-103.0,37.5,-115.0,-305.0,-7.0,100.0,37.5,-110.0,-315.0,-7.0,-105.0,36.5,-110.0
3452796,1539,265,2018,10,Sun 11/11,1:00 PM,Detroit,22,FINAL,51.11,460.0,48.69,5380.0,40.36,900.0,230.0,5.0,-110.0,46.5,-110.0,275.0,7.5,-117.0,44.5,-110.0,285.0,7.5,-115.0,45.0,-110.0,289.0,7.0,100.0,44.5,-109.0,289.0,7.0,100.0,44.5,-109.0,281.0,7.5,-114.0,44.5,-107.0,250.0,6.5,100.0,44.0,-105.0,280.0,7.5,-120.0,44.5,-110.0,275.0,7.0,100.0,44.5,-110.0,275.0,7.0,105.0,44.5,-105.0,275.0,7.0,-101.0,44.5,-109.0,280.0,7.5,-120.0,44.5,-110.0,250.0,6.5,100.0,44.0,-105.0
3452796,1540,266,2018,10,,,Chicago,34,,48.89,440.0,51.31,5670.0,59.64,1330.0,-270.0,-5.0,-110.0,46.5,-110.0,-330.0,-7.5,-103.0,44.5,-110.0,-370.0,-7.5,-105.0,45.0,-110.0,-360.0,-7.0,-120.0,44.5,-111.0,-360.0,-7.0,-120.0,44.5,-111.0,-320.0,-7.5,102.0,44.5,-103.0,-310.0,-6.5,-120.0,44.0,-115.0,-350.0,-7.5,100.0,44.5,-110.0,-350.0,-7.0,-120.0,44.5,-110.0,-345.0,-7.0,-115.0,44.5,-105.0,-345.0,-7.0,-119.0,44.5,-111.0,-360.0,-7.5,100.0,44.5,-110.0,-310.0,-6.5,-120.0,44.0,-115.0
3452797,1529,263,2018,10,Sun 11/11,1:00 PM,Jacksonville,26,FINAL,61.75,2680.0,50.23,11980.0,44.78,1500.0,125.0,3.0,-103.0,47.5,-110.0,138.0,3.0,-110.0,48.0,-113.0,135.0,3.0,-115.0,48.0,-115.0,144.0,3.0,-103.0,48.0,-115.0,144.0,3.0,-103.0,48.0,-115.0,141.0,3.0,-105.0,48.0,-105.0,120.0,2.5,100.0,46.5,-110.0,145.0,3.0,100.0,48.0,-110.0,140.0,3.0,-110.0,48.0,-110.0,130.0,3.0,-105.0,48.0,-105.0,139.0,3.0,-110.0,48.0,-108.0,140.0,3.0,-105.0,48.0,-110.0,120.0,2.5,100.0,46.5,-110.0
3452797,1527,264,2018,10,,,Indianapolis,29,,38.25,1660.0,49.77,11870.0,55.22,1850.0,-145.0,-3.0,-117.0,47.5,-110.0,-158.0,-3.0,-110.0,48.0,-107.0,-155.0,-3.0,-105.0,48.0,-105.0,-165.0,-3.0,-117.0,48.0,-105.0,-165.0,-3.0,-117.0,48.0,-105.0,-156.0,-3.0,-105.0,48.0,-105.0,-140.0,-2.5,-120.0,46.5,-110.0,-165.0,-3.0,-120.0,48.0,-110.0,-165.0,-3.0,-110.0,48.0,-110.0,-150.0,-3.0,-105.0,48.0,-105.0,-159.0,-3.0,-110.0,48.0,-112.0,-160.0,-3.0,-115.0,48.0,-110.0,-140.0,-2.5,-120.0,46.5,-110.0
