game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds
3452897,1534,2018,16,Denver,Mon 12/24,8:15 PM,14,FINAL,131,-145.0,-2.5,-110.0,45.0,-110.0,41.72,9040.0,47.68,42580.0,49.52,17200.0,-133.0,-2.5,-111.0,42.5,-105.0,-130.0,-3.0,110.0,42.5,-110.0,-131.0,-2.0,-111.0,42.0,-110.0,-135.0,-2.5,-107.0,42.0,-115.0,-130.0,-2.5,-105.0,42.5,-106.0,-130.0,-2.5,-110.0,42.5,-105.0,-130.0,-2.5,-115.0,43.0,-110.0,-130.0,-2.0,-110.0,42.5,-110.0,-130.0,-2.5,-105.0,42.5,-105.0,-127.0,-2.5,-108.0,42.5,-111.0,-130.0,-2.0,-110.0,42.5,-110.0,-130.0,-2.0,-120.0,42.5,-105.0
3452897,1533,2018,16,Oakland,Mon 12/24,8:15 PM,27,FINAL,132,125.0,2.5,-110.0,45.0,-110.0,58.28,12630.0,52.32,46720.0,50.48,17530.0,113.0,2.5,-109.0,42.5,-115.0,110.0,3.0,-130.0,42.5,-110.0,111.0,2.0,-109.0,42.0,-110.0,115.0,2.5,-113.0,42.0,-105.0,118.0,2.5,-105.0,42.5,-104.0,110.0,2.5,-110.0,42.5,-115.0,110.0,2.5,-105.0,43.0,-110.0,110.0,2.0,-110.0,42.5,-110.0,110.0,2.5,-105.0,42.5,-105.0,107.0,2.5,-112.0,42.5,-109.0,110.0,2.0,-110.0,42.5,-110.0,110.0,2.0,100.0,42.5,-115.0
3452882,1544,2018,16,Tampa Bay,Sun 12/23,1:00 PM,20,FINAL,101,275.0,8.5,-110.0,44.0,-110.0,49.48,480.0,47.35,3480.0,57.37,1090.0,270.0,7.5,-122.0,48.0,-115.0,275.0,7.0,100.0,48.0,-115.0,263.0,7.0,-118.0,48.0,-105.0,263.0,7.0,-118.0,48.0,-105.0,277.0,7.0,-110.0,48.0,-103.0,275.0,7.0,-110.0,48.0,-110.0,260.0,7.5,-120.0,48.0,-110.0,270.0,7.0,-110.0,48.0,-110.0,275.0,7.0,100.0,48.0,-105.0,274.0,7.0,-108.0,48.0,-111.0,270.0,7.0,100.0,48.0,-110.0,275.0,7.0,-105.0,48.0,-110.0
3452882,1538,2018,16,Dallas,Sun 12/23,1:00 PM,27,FINAL,102,-330.0,-8.5,-110.0,44.0,-110.0,50.52,490.0,52.65,3870.0,42.63,810.0,-325.0,-7.5,102.0,48.0,-105.0,-350.0,-7.0,-120.0,48.0,-105.0,-325.0,-7.0,-102.0,48.0,-115.0,-325.0,-7.0,-102.0,48.0,-115.0,-315.0,-7.0,-101.0,48.0,-108.0,-335.0,-7.0,-110.0,48.0,-110.0,-320.0,-7.5,100.0,48.0,-110.0,-340.0,-7.0,-110.0,48.0,-110.0,-345.0,-7.0,-110.0,48.0,-105.0,-344.0,-7.0,-112.0,48.0,-109.0,-340.0,-7.0,-120.0,48.0,-110.0,-335.0,-7.0,-115.0,48.0,-110.0
3452883,1529,2018,16,Jacksonville,Sun 12/23,1:00 PM,17,FINAL,109,185.0,3.5,-110.0,39.5,-110.0,58.21,390.0,39.83,2780.0,37.66,290.0,153.0,3.0,100.0,39.0,-115.0,150.0,3.5,-125.0,39.5,-110.0,144.0,3.0,-107.0,39.5,-110.0,144.0,3.0,-107.0,39.5,-110.0,139.0,3.0,-105.0,39.5,-114.0,148.0,3.0,-105.0,39.5,-110.0,145.0,3.5,-120.0,39.5,-110.0,145.0,3.0,-105.0,39.5,-110.0,150.0,3.0,100.0,39.5,-105.0,144.0,3.0,-105.0,39.5,-112.0,145.0,3.5,-120.0,39.5,-110.0,148.0,3.0,-105.0,39.5,-110.0
3452883,1524,2018,16,Miami,Sun 12/23,1:00 PM,7,FINAL,110,-215.0,-3.5,-110.0,39.5,-110.0,41.79,280.0,60.17,4200.0,62.34,480.0,-173.0,-3.0,-120.0,39.0,-105.0,-170.0,-3.5,105.0,39.5,-110.0,-165.0,-3.0,-113.0,39.5,-110.0,-165.0,-3.0,-113.0,39.5,-110.0,-153.0,-3.0,-105.0,39.5,102.0,-168.0,-3.0,-115.0,39.5,-110.0,-165.0,-3.5,100.0,39.5,-110.0,-172.0,-3.0,-116.0,39.5,-110.0,-170.0,-3.0,-110.0,39.5,-105.0,-164.0,-3.0,-115.0,39.5,-108.0,-170.0,-3.5,100.0,39.5,-110.0,-168.0,-3.0,-115.0,39.5,-110.0
3452884,1546,2018,16,Atlanta,Sun 12/23,1:00 PM,24,FINAL,105,-180.0,3.0,-110.0,47.5,-110.0,49.1,820.0,53.33,4320.0,43.53,370.0,-130.0,-3.0,-125.0,46.5,-113.0,-140.0,-3.0,105.0,46.5,-110.0,-140.0,-3.0,105.0,46.0,-123.0,-140.0,-3.0,105.0,46.0,-123.0,-147.0,-2.5,-119.0,46.5,-107.0,-140.0,-2.5,-115.0,46.5,-110.0,-150.0,-3.0,100.0,46.5,-110.0,-147.0,-2.5,-120.0,46.5,-110.0,-140.0,-2.5,-105.0,46.5,-105.0,-141.0,-2.5,-119.0,46.5,-109.0,-145.0,-3.0,100.0,46.5,-110.0,-140.0,-2.0,-120.0,46.5,-110.0
3452884,1545,2018,16,Carolina,Sun 12/23,1:00 PM,10,FINAL,106,160.0,-3.0,-110.0,47.5,-110.0,50.9,850.0,46.67,3780.0,56.47,480.0,110.0,3.0,105.0,46.5,-107.0,120.0,3.0,-125.0,46.5,-110.0,120.0,3.0,-125.0,46.0,102.0,120.0,3.0,-125.0,46.0,102.0,133.0,2.5,106.0,46.5,-103.0,120.0,2.5,-105.0,46.5,-110.0,130.0,3.0,-120.0,46.5,-110.0,125.0,2.5,100.0,46.5,-110.0,120.0,2.5,-105.0,46.5,-105.0,121.0,2.5,-101.0,46.5,-111.0,125.0,3.0,-120.0,46.5,-110.0,120.0,2.0,100.0,46.5,-110.0
3452885,1530,2018,16,Houston,Sun 12/23,1:00 PM,30,FINAL,113,105.0,-1.5,-110.0,45.0,-110.0,50.15,1680.0,49.62,5190.0,57.14,600.0,118.0,2.0,-110.0,47.0,-110.0,110.0,2.5,-115.0,47.0,-105.0,110.0,2.0,-116.0,47.0,-103.0,110.0,2.0,-116.0,47.0,-103.0,111.0,1.0,102.0,47.0,-102.0,105.0,2.0,-110.0,47.0,-110.0,105.0,2.0,-110.0,46.5,-110.0,110.0,2.0,-110.0,47.0,-110.0,110.0,2.0,-105.0,47.0,-105.0,108.0,2.0,-109.0,47.0,-111.0,110.0,2.0,-110.0,47.0,-110.0,105.0,1.0,100.0,47.0,-110.0
3452885,1536,2018,16,Philadelphia,Sun 12/23,1:00 PM,32,FINAL,114,-125.0,1.5,-110.0,45.0,-110.0,49.85,1670.0,50.38,5270.0,42.86,450.0,-138.0,-2.0,-110.0,47.0,-110.0,-130.0,-2.5,-105.0,47.0,-115.0,-130.0,-2.0,-104.0,47.0,-117.0,-130.0,-2.0,-104.0,47.0,-117.0,-123.0,-1.0,-114.0,47.0,-109.0,-125.0,-2.0,-110.0,47.0,-110.0,-125.0,-2.0,-110.0,46.5,-110.0,-130.0,-2.0,-110.0,47.0,-110.0,-130.0,-2.0,-105.0,47.0,-105.0,-128.0,-2.0,-111.0,47.0,-109.0,-130.0,-2.0,-110.0,47.0,-110.0,-125.0,-1.0,-120.0,47.0,-110.0
