eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
4143542,1550,473,2020,11,Mon 11/23,8:15 PM,L.A. Rams,27,FINAL,51.0,1500.0,48.0,8770.0,49.0,4700.0,167.0,3.0,100.0,48.5,-110.0,175.0,4.0,-105.0,47.5,-109.0,175.0,4.5,-115.0,47.5,-110.0,176.0,4.0,-116.0,47.5,-106.0,176.0,4.0,-116.0,47.5,-106.0,173.0,4.0,-109.0,47.5,-102.0,170.0,4.0,-115.0,47.5,-105.0,175.0,4.0,-110.0,47.5,-110.0,185.0,4.5,-110.0,48.0,-110.0,185.0,4.0,-108.0,47.5,-108.0,177.0,4.5,-114.0,47.5,-109.0,170.0,5.0,-120.0,48.0,-110.0,170.0,4.0,-115.0,47.5,-105.0
4143542,1544,474,2020,11,,,Tampa Bay,24,,49.0,1450.0,52.0,9450.0,51.0,4910.0,-192.0,-3.0,-120.0,48.5,-110.0,-205.0,-4.0,-115.0,47.5,-111.0,-210.0,-4.5,-105.0,47.5,-110.0,-210.0,-4.0,-104.0,47.5,-114.0,-210.0,-4.0,-104.0,47.5,-114.0,-195.0,-4.0,-102.0,47.5,-109.0,-205.0,-4.0,-105.0,47.5,-115.0,-205.0,-4.0,-110.0,47.5,-110.0,-215.0,-4.5,-110.0,48.0,-110.0,-215.0,-4.0,-108.0,47.5,-108.0,-207.0,-4.5,-106.0,47.5,-111.0,-240.0,-5.0,100.0,48.0,-110.0,-205.0,-4.0,-105.0,47.5,-115.0
4143401,1528,465,2020,11,Sun 11/22,1:00 PM,Tennessee,30,FINAL OT,55.0,360.0,49.0,3360.0,58.0,1700.0,225.0,6.5,-110.0,47.0,-110.0,210.0,6.0,-110.0,50.0,-115.0,210.0,6.0,-115.0,50.5,-105.0,211.0,6.0,-110.0,50.5,-110.0,211.0,6.0,-110.0,50.5,-110.0,221.0,6.0,-103.0,50.5,-109.0,217.0,6.0,-110.0,50.5,-114.0,210.0,6.0,-110.0,50.5,-110.0,215.0,6.0,-110.0,50.5,-110.0,210.0,6.0,-108.0,50.5,-108.0,212.0,6.0,-113.0,50.5,-112.0,200.0,6.0,-115.0,50.0,-110.0,217.0,6.0,-110.0,50.5,-114.0
4143401,1521,466,2020,11,,,Baltimore,24,,45.0,300.0,51.0,3530.0,42.0,1250.0,-265.0,-6.5,-110.0,47.0,-110.0,-250.0,-6.0,-110.0,50.0,-105.0,-250.0,-6.0,-105.0,50.5,-115.0,-255.0,-6.0,-110.0,50.5,-110.0,-255.0,-6.0,-110.0,50.5,-110.0,-253.0,-6.0,-107.0,50.5,-102.0,-257.0,-6.0,-110.0,50.5,-106.0,-250.0,-6.0,-110.0,50.5,-110.0,-255.0,-6.0,-110.0,50.5,-110.0,-260.0,-6.0,-108.0,50.5,-108.0,-252.0,-6.0,-107.0,50.5,-108.0,-250.0,-6.0,-105.0,50.0,-110.0,-257.0,-6.0,-110.0,50.5,-106.0
4143402,1539,455,2020,11,Sun 11/22,1:00 PM,Detroit,0,FINAL,62.0,1040.0,60.0,2880.0,59.0,860.0,-115.0,-1.0,-110.0,47.0,-110.0,-168.0,-3.0,-120.0,47.0,-105.0,-175.0,-3.0,-125.0,47.0,-110.0,-120.0,-2.5,-110.0,49.5,-105.0,-120.0,-2.5,-110.0,49.5,-105.0,-169.0,-3.0,-119.0,47.0,-106.0,-173.0,-3.0,-125.0,47.0,-110.0,-170.0,-3.0,-120.0,47.0,-110.0,-160.0,-3.0,-115.0,47.0,-110.0,-170.0,-3.0,-118.0,47.0,-108.0,-165.0,-3.0,-118.0,47.0,-110.0,-180.0,-3.0,-120.0,47.0,-115.0,-173.0,-3.0,-125.0,47.0,-110.0
4143402,1545,456,2020,11,,,Carolina,20,,38.0,630.0,40.0,1940.0,41.0,590.0,-105.0,1.0,-110.0,47.0,-110.0,148.0,3.0,100.0,47.0,-115.0,155.0,3.0,105.0,47.0,-110.0,100.0,2.5,-110.0,49.5,-115.0,100.0,2.5,-110.0,49.5,-115.0,152.0,3.0,108.0,47.0,-105.0,153.0,3.0,105.0,47.0,-110.0,150.0,3.0,100.0,47.0,-110.0,140.0,3.0,-105.0,47.0,-110.0,150.0,3.0,102.0,47.0,-108.0,145.0,3.0,-102.0,47.0,-110.0,150.0,3.0,100.0,47.0,-105.0,153.0,3.0,105.0,47.0,-110.0
4143406,1519,459,2020,11,Sun 11/22,1:00 PM,Pittsburgh,27,FINAL,62.0,500.0,50.0,2780.0,54.0,1100.0,-450.0,-9.5,-110.0,46.0,-110.0,-550.0,-10.5,-112.0,47.0,-112.0,-630.0,-10.5,-115.0,47.5,-105.0,-555.0,-10.5,-107.0,47.5,100.0,-555.0,-10.5,-107.0,47.5,100.0,-475.0,-11.0,-103.0,47.0,-113.0,-480.0,-11.0,-110.0,47.0,-117.0,-500.0,-10.5,-110.0,47.5,-110.0,-550.0,-10.5,-110.0,47.5,-110.0,-555.0,-10.5,-108.0,47.5,-108.0,-536.0,-10.5,-109.0,47.5,-106.0,-575.0,-10.5,-115.0,47.0,-115.0,-480.0,-11.0,-110.0,47.0,-117.0
4143406,1529,460,2020,11,,,Jacksonville,3,,38.0,310.0,50.0,2810.0,46.0,920.0,360.0,9.5,-110.0,46.0,-110.0,430.0,10.5,-108.0,47.0,-108.0,415.0,10.5,-105.0,47.5,-115.0,419.0,10.5,-114.0,47.5,-121.0,419.0,10.5,-114.0,47.5,-121.0,386.0,11.0,-107.0,47.0,101.0,380.0,11.0,-110.0,47.0,-103.0,375.0,10.5,-110.0,47.5,-110.0,425.0,10.5,-110.0,47.5,-110.0,430.0,10.5,-108.0,47.5,-108.0,411.0,10.5,-111.0,47.5,-114.0,425.0,10.5,-105.0,47.0,-105.0,380.0,11.0,-110.0,47.0,-103.0
4143537,1525,457,2020,11,Sun 11/22,1:00 PM,New England,20,FINAL,66.0,1050.0,61.0,4130.0,56.0,870.0,-105.0,2.5,-105.0,47.0,-110.0,-142.0,-2.5,-115.0,49.0,-117.0,-150.0,-2.5,-120.0,49.0,-115.0,-135.0,-2.5,-119.0,48.0,-116.0,-135.0,-2.5,-119.0,48.0,-116.0,-147.0,-2.5,-117.0,49.5,-108.0,-149.0,-2.0,-125.0,49.5,-112.0,-145.0,-2.5,-115.0,49.5,-110.0,-145.0,-2.5,-115.0,49.5,-110.0,-145.0,-2.5,-118.0,49.0,-108.0,-146.0,-2.5,-117.0,49.5,-108.0,-155.0,-2.5,-115.0,49.0,-105.0,-149.0,-2.0,-125.0,49.5,-112.0
4143537,1530,458,2020,11,,,Houston,27,,34.0,530.0,39.0,2640.0,44.0,680.0,-115.0,-2.5,-115.0,47.0,-110.0,122.0,2.5,-105.0,49.0,-103.0,130.0,2.5,100.0,49.0,-105.0,106.0,2.5,-110.0,48.0,-113.0,106.0,2.5,-110.0,48.0,-113.0,132.0,2.5,106.0,49.5,-103.0,129.0,2.0,105.0,49.5,-108.0,125.0,2.5,-105.0,49.5,-110.0,125.0,2.5,-105.0,49.5,-110.0,125.0,2.5,102.0,49.0,-108.0,126.0,2.5,-103.0,49.5,-112.0,130.0,2.5,-105.0,49.0,-115.0,129.0,2.0,105.0,49.5,-108.0
