eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4733438,131,2024,16,Mon 12/23,8:15 PM,New Orleans,0,FINAL,1543,14.0,14.0,14.0,14.0,14.0,14.5,14.0,14.0,14.0,14.0,14.0,14.5,14.0,14.0,-105.0,-105.0,-110.0,-107.0,102.0,-110.0,-110.0,-118.0,-108.0,-110.0,-110.0,-110.0,-105.0,105.0,84.04,13.5,-110
4733438,132,2024,16,,,Green Bay,34,,1542,-14.0,-14.0,-14.0,-14.0,-14.0,-14.5,-14.0,-14.0,-14.0,-14.0,-14.0,-14.5,-14.0,-14.0,-115.0,-115.0,-110.0,-113.0,-112.0,-110.0,-110.0,-118.0,-108.0,-110.0,-110.0,-110.0,-115.0,-125.0,15.96,-13.5,-110
4733386,101,2024,16,Sun 12/22,1:00 PM,Cleveland,6,FINAL,1520,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,-107.0,-105.0,-114.0,-114.0,-106.0,-114.0,-105.0,-118.0,-108.0,-114.0,-110.0,-114.0,-110.0,-115.0,84.64,6.0,-110
4733386,102,2024,16,,,Cincinnati,24,,1522,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.5,-10.0,-10.0,-10.0,-113.0,-115.0,-106.0,-106.0,-104.0,-106.0,-115.0,-118.0,-108.0,-106.0,-110.0,-106.0,-110.0,-105.0,15.36,-6.0,-110
4733389,115,2024,16,Sun 12/22,1:00 PM,N.Y. Giants,7,FINAL,1535,9.5,9.5,9.5,9.5,10.0,9.0,9.5,9.5,9.5,9.5,9.5,9.0,9.5,9.5,-114.0,-105.0,-115.0,-115.0,-115.0,-106.0,-110.0,-118.0,-108.0,-110.0,-110.0,-106.0,-110.0,-110.0,77.03,9.0,-110
4733389,116,2024,16,,,Atlanta,34,,1546,-9.5,-9.5,-9.5,-9.5,-10.0,-9.0,-9.5,-9.5,-9.5,-9.5,-9.5,-9.0,-9.5,-9.5,-106.0,-115.0,-105.0,-105.0,104.0,-114.0,-110.0,-118.0,-108.0,-110.0,-110.0,-114.0,-110.0,-110.0,22.97,-9.0,-110
4733391,107,2024,16,Sun 12/22,1:00 PM,Detroit,34,FINAL,1539,-7.0,-6.5,-7.0,-7.0,-6.5,-6.5,-7.0,-6.5,-6.5,-6.5,-7.0,-6.5,-7.0,-6.5,-105.0,-115.0,-105.0,-105.0,-105.0,-115.0,-110.0,-125.0,-113.0,-117.0,-105.0,-116.0,-105.0,-118.0,19.11,-7.0,-110
4733391,108,2024,16,,,Chicago,17,,1540,7.0,6.5,7.0,7.0,6.5,6.5,7.0,6.5,6.5,6.5,7.0,6.5,7.0,6.5,-115.0,-105.0,-115.0,-115.0,-105.0,-105.0,-110.0,-110.0,-103.0,-103.0,-115.0,-104.0,-115.0,-102.0,80.89,7.0,-110
4733392,117,2024,16,Sun 12/22,1:00 PM,Tennessee,30,FINAL,1528,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,-110.0,-110.0,-110.0,-110.0,-103.0,-105.0,-110.0,-118.0,-108.0,-110.0,-110.0,-105.0,-110.0,-110.0,79.49,4.0,-110
4733392,118,2024,16,,,Indianapolis,38,,1527,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.5,-4.0,-4.0,-4.0,-110.0,-110.0,-110.0,-110.0,-107.0,-115.0,-110.0,-118.0,-108.0,-110.0,-110.0,-115.0,-110.0,-110.0,20.51,-4.0,-110
4733393,109,2024,16,Sun 12/22,1:00 PM,Arizona,30,FINAL OT,1549,-5.5,-6.0,-5.0,-5.0,-5.5,-6.0,-5.5,-5.5,-5.5,-5.0,-5.0,-6.0,-5.0,-5.0,-115.0,100.0,-110.0,-110.0,-112.0,-110.0,-110.0,-118.0,-108.0,-110.0,-110.0,-110.0,-115.0,-115.0,24.14,-3.5,-110
4733393,110,2024,16,,,Carolina,36,,1545,5.5,6.0,5.0,5.0,5.5,6.0,5.5,5.5,5.5,5.0,5.0,6.0,5.0,5.0,-105.0,-120.0,-110.0,-110.0,102.0,-110.0,-110.0,-118.0,-108.0,-110.0,-110.0,-110.0,-105.0,-105.0,75.86,3.5,-110
4733394,113,2024,16,Sun 12/22,1:00 PM,Philadelphia,33,FINAL,1536,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-113.0,-115.0,-110.0,-110.0,-108.0,-104.0,-115.0,-125.0,-108.0,-110.0,-110.0,-105.0,-110.0,-118.0,35.91,-3.0,-110
4733394,114,2024,16,,,Washington,36,,1537,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-107.0,-105.0,-110.0,-110.0,-102.0,-116.0,-105.0,-110.0,-108.0,-110.0,-110.0,-115.0,-110.0,-102.0,64.09,3.0,-110
4733395,119,2024,16,Sun 12/22,1:00 PM,L.A. Rams,19,FINAL,1550,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-119.0,-110.0,-110.0,-109.0,-101.0,-106.0,-110.0,-110.0,-103.0,-110.0,-110.0,-106.0,-110.0,-110.0,25.61,-3.0,-110
4733395,120,2024,16,,,N.Y. Jets,9,,1523,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-101.0,-110.0,-110.0,-111.0,-109.0,-114.0,-110.0,-125.0,-113.0,-110.0,-110.0,-114.0,-110.0,-110.0,74.39,3.0,-110
4733396,121,2024,16,Sun 12/22,4:05 PM,Minnesota,27,FINAL,1541,-2.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-110.0,-115.0,-108.0,-108.0,-104.0,-105.0,-115.0,-118.0,-108.0,-110.0,-110.0,-105.0,-110.0,-123.0,33.99,-1.5,-110
4733396,122,2024,16,,,Seattle,24,,1548,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-110.0,-105.0,-112.0,-112.0,-106.0,-115.0,-105.0,-118.0,-108.0,-110.0,-110.0,-115.0,-110.0,103.0,66.01,1.5,-110
4733390,111,2024,16,Sun 12/22,4:25 PM,New England,21,FINAL,1525,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,-109.0,-105.0,-108.0,-108.0,-105.0,-102.0,-105.0,-118.0,-108.0,-110.0,-110.0,-102.0,-110.0,-110.0,91.18,13.5,-110
4733390,112,2024,16,,,Buffalo,24,,1526,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-111.0,-115.0,-112.0,-112.0,-105.0,-118.0,-115.0,-118.0,-108.0,-110.0,-110.0,-118.0,-110.0,-110.0,8.82,-13.5,-110
4733398,127,2024,16,Sun 12/22,4:25 PM,Jacksonville,14,FINAL,1529,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-115.0,-105.0,-106.0,-106.0,-111.0,-108.0,-110.0,-118.0,-108.0,-110.0,-110.0,-108.0,-105.0,-110.0,47.15,1.0,-110
4733398,128,2024,16,,,Las Vegas,19,,1533,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-105.0,-115.0,-114.0,-114.0,101.0,-112.0,-110.0,-118.0,-108.0,-110.0,-110.0,-112.0,-115.0,-110.0,52.85,-1.0,-110
4733399,125,2024,16,Sun 12/22,4:25 PM,San Francisco,17,FINAL,1547,-2.0,-1.0,-2.0,-2.0,-2.0,-1.5,-2.0,-1.5,-1.5,-1.5,-2.0,-1.5,-2.0,-1.5,-105.0,-115.0,-110.0,-110.0,106.0,-105.0,-110.0,-118.0,-108.0,-110.0,-110.0,-105.0,-110.0,-120.0,42.9,1.5,-110
4733399,126,2024,16,,,Miami,29,,1524,2.0,1.0,2.0,2.0,2.0,1.5,2.0,1.5,1.5,1.5,2.0,1.5,2.0,1.5,-115.0,-105.0,-110.0,-110.0,-117.0,-115.0,-110.0,-118.0,-108.0,-110.0,-110.0,-115.0,-110.0,100.0,57.1,-1.5,-110
4733400,129,2024,16,Sun 12/22,8:20 PM,Tampa Bay,24,FINAL,1544,-4.5,-4.0,-4.0,-4.0,-4.0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.0,-4.5,-4.0,-4.0,-110.0,-110.0,-111.0,-111.0,-102.0,-110.0,-110.0,-118.0,-103.0,-110.0,-105.0,-110.0,-110.0,-120.0,24.65,-4.0,-110
