eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123,adj_127,ap_127
4733356,483,2024,13,Mon 12/2,8:15 PM,Cleveland,32,FINAL,68.72,6.5,-110,6.0,-110.0,6.0,-110.0,6.5,-115.0,6.5,-115.0,6.5,-119.0,6.0,-105.0,6.5,-115.0,6.0,-118.0,6.0,-108.0,6.0,-107.0,6.0,-105.0,6.0,-105.0,6.5,-115.0,6.5,-117.0
4733356,484,2024,13,,,Denver,41,,31.28,-6.5,-110,-6.0,-110.0,-6.0,-110.0,-6.5,-105.0,-6.5,-105.0,-6.5,108.0,-6.0,-115.0,-6.5,-105.0,-6.0,-118.0,-6.0,-108.0,-6.0,-113.0,-6.0,-115.0,-6.0,-115.0,-6.5,-105.0,-6.5,-103.0
4733345,473,2024,13,Sun 12/1,1:00 PM,Seattle,26,FINAL,24.12,1.0,-105,1.5,-105.0,1.5,-110.0,1.0,-110.0,1.0,-110.0,1.5,-106.0,1.0,-108.0,1.0,-105.0,1.5,-118.0,2.0,-108.0,2.0,-110.0,1.0,-110.0,1.0,-108.0,1.5,-115.0,1.0,-105.0
4733345,474,2024,13,,,N.Y. Jets,21,,75.88,-1.0,-115,-1.5,-115.0,-1.5,-110.0,-1.0,-110.0,-1.0,-110.0,-1.5,-104.0,-1.0,-112.0,-1.0,-115.0,-1.5,-118.0,-2.0,-108.0,-2.0,-110.0,-1.0,-110.0,-1.0,-112.0,-1.5,-105.0,-1.0,-115.0
4733346,465,2024,13,Sun 12/1,1:00 PM,Pittsburgh,44,FINAL,40.66,2.0,-110,3.0,-106.0,3.0,105.0,3.0,-106.0,3.0,-106.0,3.0,100.0,3.0,-113.0,3.0,-105.0,3.0,-118.0,3.0,-108.0,3.0,-110.0,3.0,-110.0,3.0,-113.0,3.0,-110.0,3.0,-110.0
4733346,466,2024,13,,,Cincinnati,38,,59.34,-2.0,-110,-3.0,-114.0,-3.0,-125.0,-3.0,-114.0,-3.0,-114.0,-3.0,-110.0,-3.0,-107.0,-3.0,-115.0,-3.0,-118.0,-3.0,-108.0,-3.0,-110.0,-3.0,-110.0,-3.0,-107.0,-3.0,-110.0,-3.0,-110.0
4733347,467,2024,13,Sun 12/1,1:00 PM,Indianapolis,25,FINAL,34.96,-2.5,-110,-2.5,-110.0,-2.0,-110.0,-2.5,-105.0,-2.5,-105.0,-2.5,103.0,-2.0,-104.0,-2.5,-110.0,-2.0,-118.0,-2.5,-108.0,-2.5,-114.0,-2.5,-115.0,-2.0,-104.0,-2.5,-110.0,-2.5,100.0
4733347,468,2024,13,,,New England,24,,65.04,2.5,-110,2.5,-110.0,2.0,-110.0,2.5,-115.0,2.5,-115.0,2.5,-114.0,2.0,-116.0,2.5,-110.0,2.0,-118.0,2.5,-108.0,2.5,-106.0,2.5,-105.0,2.0,-116.0,2.5,-110.0,2.5,-120.0
4733348,471,2024,13,Sun 12/1,1:00 PM,Arizona,22,FINAL,64.11,3.0,-105,3.5,-114.0,3.5,-110.0,3.5,-118.0,3.5,-118.0,3.5,-108.0,3.5,-106.0,3.5,-110.0,3.5,-118.0,3.5,-108.0,3.5,-117.0,3.5,-120.0,3.5,-106.0,3.5,-115.0,3.5,-110.0
4733348,472,2024,13,,,Minnesota,23,,35.89,-3.0,-115,-3.5,-106.0,-3.5,-110.0,-3.5,-102.0,-3.5,-102.0,-3.5,-102.0,-3.5,-114.0,-3.5,-110.0,-3.5,-118.0,-3.5,-108.0,-3.5,-103.0,-3.5,100.0,-3.5,-114.0,-3.5,-105.0,-3.5,-110.0
