eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407465,471,2021,18,Sun 1/9,1:00 PM,Pittsburgh,16,FINAL OT,1519,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-110.0,-110.0,-106.0,-110.0,-110.0,-110.0,-108.0,-108.0,-115.0,-108.0,-110.0,50.0,7.0,-110
4407465,472,2021,18,,,Baltimore,13,,1521,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-110.0,-110.0,-105.0,-110.0,-110.0,-110.0,-108.0,-112.0,-105.0,-112.0,-110.0,50.0,-7.0,-110
4407468,473,2021,18,Sun 1/9,1:00 PM,Cincinnati,16,FINAL,1522,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,-105.0,-110.0,102.0,-102.0,-105.0,-105.0,-108.0,-107.0,-110.0,-102.0,-120.0,45.01,6.0,-110
4407468,474,2021,18,,,Cleveland,21,,1520,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-115.0,-110.0,-114.0,-118.0,-115.0,-115.0,-108.0,-113.0,-110.0,-118.0,100.0,54.99,-6.0,-110
4407470,465,2021,18,Sun 1/9,1:00 PM,Washington,22,FINAL,1537,-6.0,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-110.0,-110.0,-100.0,-105.0,-110.0,-110.0,-108.0,-108.0,-105.0,-105.0,-110.0,27.89,-3.5,-110
4407470,466,2021,18,,,N.Y. Giants,7,,1535,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,-110.0,-110.0,-111.0,-115.0,-110.0,-110.0,-108.0,-112.0,-115.0,-115.0,-110.0,72.11,3.5,-110
4407473,453,2021,18,Sun 1/9,1:00 PM,Chicago,17,FINAL,1540,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-104.0,-110.0,-109.0,-113.0,-110.0,-110.0,-108.0,-112.0,-105.0,-112.0,-110.0,20.0,6.0,-110
4407473,454,2021,18,,,Minnesota,31,,1541,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-116.0,-110.0,-102.0,-107.0,-110.0,-110.0,-108.0,-108.0,-115.0,-108.0,-110.0,80.0,-6.0,-110
4412840,463,2021,18,Sun 1/9,1:00 PM,Tennessee,28,FINAL,1528,-10.5,-11.0,-11.0,-11.0,-11.0,-11.0,-10.5,-10.5,-10.5,-11.0,-10.5,-110.0,-105.0,101.0,-104.0,-110.0,-105.0,-108.0,-106.0,-110.0,-104.0,-110.0,32.0,-10.0,-110
4412840,464,2021,18,,,Houston,25,,1530,10.5,11.0,11.0,11.0,11.0,11.0,10.5,10.5,10.5,11.0,10.5,-110.0,-115.0,-112.0,-116.0,-110.0,-115.0,-108.0,-114.0,-110.0,-116.0,-110.0,68.0,10.0,-110
