eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4622227,151,2021,19,Mon 1/17,8:15 PM,Arizona,11,FINAL,1549,3.0,3.5,3.0,3.0,3.5,3.0,3.5,3.5,3.5,3.0,3.5,100.0,-115.0,-105.0,-110.0,-115.0,-105.0,-118.0,-124.0,-105.0,-107.0,-120.0,61.54,4.0,-105
4622227,152,2021,19,,,L.A. Rams,34,,1550,-3.0,-3.5,-3.0,-3.0,-3.5,-3.0,-3.5,-3.5,-3.5,-3.0,-3.5,-120.0,-105.0,-106.0,-110.0,-105.0,-115.0,102.0,104.0,-115.0,-113.0,100.0,38.46,-4.0,-115
4622225,145,2021,19,Sun 1/16,1:00 PM,Philadelphia,15,FINAL,1536,7.0,7.5,7.5,7.0,7.5,7.0,7.0,7.0,8.0,7.0,7.0,-105.0,-115.0,-128.0,-101.0,-120.0,-105.0,-108.0,-110.0,-110.0,-101.0,-105.0,81.82,10.0,-110
4622225,146,2021,19,,,Tampa Bay,31,,1544,-7.0,-7.5,-7.5,-7.0,-7.5,-7.0,-7.0,-7.0,-8.0,-7.0,-7.0,-115.0,-105.0,115.0,-119.0,100.0,-115.0,-108.0,-110.0,-110.0,-119.0,-115.0,18.18,-10.0,-110
4622226,147,2021,19,Sun 1/16,4:30 PM,San Francisco,23,FINAL,1547,3.0,3.0,3.5,3.5,3.5,3.5,3.0,3.0,4.0,3.5,3.0,105.0,105.0,-105.0,-110.0,-115.0,-110.0,107.0,104.0,-125.0,-110.0,105.0,59.26,3.0,-101
4622226,148,2021,19,,,Dallas,17,,1538,-3.0,-3.0,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-4.0,-3.5,-3.0,-125.0,-125.0,-106.0,-110.0,-105.0,-110.0,-123.0,-124.0,100.0,-110.0,-125.0,40.74,-3.0,-119
4622241,149,2021,19,Sun 1/16,8:15 PM,Pittsburgh,21,FINAL,1519,12.5,11.5,11.0,11.0,12.0,12.5,11.5,12.0,12.0,11.0,11.5,-115.0,-110.0,101.0,-104.0,-110.0,-110.0,-108.0,-111.0,-110.0,-104.0,-110.0,67.44,13.0,-115
4622241,150,2021,19,,,Kansas City,42,,1531,-12.5,-11.5,-11.0,-11.0,-12.0,-12.5,-11.5,-12.0,-12.0,-11.0,-11.5,-105.0,-110.0,-112.0,-116.0,-110.0,-110.0,-108.0,-109.0,-110.0,-116.0,-110.0,32.56,-13.0,-105
4622239,141,2021,19,Sat 1/15,4:30 PM,Las Vegas,19,FINAL,1533,6.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,-105.0,-110.0,-102.0,-105.0,-115.0,-110.0,-108.0,-107.0,-105.0,-105.0,-110.0,50.0,6.5,-110
4622239,142,2021,19,,,Cincinnati,26,,1522,-6.0,-6.0,-6.0,-6.0,-6.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-115.0,-110.0,-109.0,-115.0,-105.0,-110.0,-108.0,-113.0,-115.0,-115.0,-110.0,50.0,-6.5,-110
4622240,143,2021,19,Sat 1/15,8:15 PM,New England,17,FINAL,1525,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5,4.5,-110.0,-105.0,-113.0,-121.0,-115.0,-110.0,-108.0,-115.0,-105.0,-121.0,-110.0,25.0,4.0,-103
4622240,144,2021,19,,,Buffalo,47,,1526,-4.5,-4.5,-4.5,-4.5,-5.0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-110.0,-115.0,101.0,101.0,-105.0,-110.0,-108.0,-105.0,-115.0,101.0,-110.0,75.0,-4.0,-117
