eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407358,265,2021,10,Mon 11/15,8:15 PM,L.A. Rams,10,FINAL,1550,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,-3.5,-110.0,-105.0,-103.0,-107.0,-105.0,-105.0,-108.0,-108.0,-110.0,-108.0,-105.0,33.33,-3.0,-110
4407358,266,2021,10,,,San Francisco,31,,1547,3.5,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,-110.0,-115.0,-107.0,-113.0,-115.0,-115.0,-108.0,-112.0,-110.0,-112.0,-115.0,66.67,3.0,-110
4407346,251,2021,10,Sun 11/14,1:00 PM,Tampa Bay,19,FINAL,1544,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.5,-9.5,-10.0,-10.0,-10.0,-105.0,-105.0,104.0,-101.0,100.0,-105.0,-108.0,-112.0,100.0,101.0,-105.0,0.0,-7.5,-110
4407346,252,2021,10,,,Washington,29,,1537,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,10.0,-115.0,-115.0,-115.0,-119.0,-120.0,-115.0,-108.0,-108.0,-120.0,-121.0,-115.0,100.0,7.5,-110
4407348,253,2021,10,Sun 11/14,1:00 PM,Detroit,16,FINAL OT,1539,5.5,6.0,6.0,6.0,5.5,6.0,6.0,5.5,6.0,6.0,6.0,-106.0,-110.0,-100.0,-105.0,-105.0,-110.0,-108.0,-108.0,-110.0,-106.0,-115.0,75.0,9.5,-110
4407348,254,2021,10,,,Pittsburgh,16,,1519,-5.5,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-5.5,-6.0,-6.0,-6.0,-114.0,-110.0,-110.0,-115.0,-115.0,-110.0,-108.0,-112.0,-110.0,-114.0,-105.0,25.0,-9.5,-110
4407349,249,2021,10,Sun 11/14,1:00 PM,New Orleans,21,FINAL,1543,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-120.0,-115.0,-110.0,-119.0,-115.0,-120.0,-113.0,-118.0,-105.0,-119.0,-115.0,46.15,2.5,-110
4407349,250,2021,10,,,Tennessee,23,,1528,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,100.0,-105.0,100.0,-101.0,-105.0,100.0,-103.0,-102.0,-115.0,-101.0,-105.0,53.85,-2.5,-110
4407350,245,2021,10,Sun 11/14,1:00 PM,Atlanta,3,FINAL,1546,7.5,7.5,8.0,8.0,7.5,8.0,7.5,7.5,8.0,8.0,7.0,-107.0,-110.0,-109.0,-114.0,-110.0,-110.0,-108.0,-111.0,-115.0,-114.0,105.0,50.0,9.5,-110
4407350,246,2021,10,,,Dallas,43,,1538,-7.5,-7.5,-8.0,-8.0,-7.5,-8.0,-7.5,-7.5,-8.0,-8.0,-7.0,-113.0,-110.0,-101.0,-106.0,-110.0,-110.0,-108.0,-109.0,-105.0,-106.0,-125.0,50.0,-9.5,-110
4407352,243,2021,10,Sun 11/14,1:00 PM,Cleveland,7,FINAL,1520,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,-105.0,-105.0,-101.0,-106.0,100.0,-110.0,-108.0,-109.0,-110.0,-106.0,-120.0,44.44,3.0,-110
4407352,244,2021,10,,,New England,45,,1525,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-115.0,-115.0,-109.0,-114.0,-120.0,-110.0,-108.0,-111.0,-110.0,-114.0,100.0,55.56,-3.0,-110
4407355,247,2021,10,Sun 11/14,1:00 PM,Buffalo,45,FINAL,1526,-13.5,-13.5,-13.5,-13.5,-13.5,-13.0,-13.5,-13.5,-13.5,-13.5,-13.5,-112.0,-110.0,-100.0,-103.0,-110.0,-110.0,-108.0,-109.0,-105.0,-102.0,-110.0,33.19,-13.5,-110
4407355,248,2021,10,,,N.Y. Jets,17,,1523,13.5,13.5,13.5,13.5,13.5,13.0,13.5,13.5,13.5,13.5,13.5,-108.0,-110.0,-110.0,-117.0,-110.0,-110.0,-108.0,-111.0,-105.0,-118.0,-110.0,66.81,13.5,-110
4407357,241,2021,10,Sun 11/14,1:00 PM,Jacksonville,17,FINAL,1529,10.5,10.5,10.5,10.5,10.5,10.0,10.5,10.5,10.5,10.5,10.5,-107.0,-110.0,-107.0,-112.0,-110.0,-110.0,-108.0,-109.0,-115.0,-112.0,-110.0,28.57,10.5,-110
4407357,242,2021,10,,,Indianapolis,23,,1527,-10.5,-10.5,-10.5,-10.5,-10.5,-10.0,-10.5,-10.5,-10.5,-10.5,-10.5,-113.0,-110.0,-103.0,-108.0,-110.0,-110.0,-108.0,-111.0,-105.0,-108.0,-110.0,71.43,-10.5,-110
4407347,255,2021,10,Sun 11/14,4:05 PM,Minnesota,27,FINAL,1541,3.5,3.5,3.0,3.0,3.0,3.5,3.0,3.0,3.5,3.0,3.5,-118.0,-115.0,116.0,113.0,100.0,-110.0,107.0,105.0,-110.0,112.0,-115.0,46.67,3.0,-115
4407347,256,2021,10,,,L.A. Chargers,20,,75380,-3.5,-3.5,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.5,-3.0,-3.5,-102.0,-105.0,-128.0,-133.0,-120.0,-110.0,-123.0,-125.0,-110.0,-132.0,-105.0,53.33,-3.0,-105
4407353,257,2021,10,Sun 11/14,4:05 PM,Carolina,34,FINAL,1545,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-110.0,-105.0,-106.0,-111.0,-105.0,-110.0,-108.0,-110.0,-115.0,-111.0,-110.0,61.54,10.0,-110
4407353,258,2021,10,,,Arizona,10,,1549,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-110.0,-115.0,-104.0,-109.0,-115.0,-110.0,-108.0,-110.0,-105.0,-109.0,-110.0,38.46,-10.0,-110
4407345,261,2021,10,Sun 11/14,4:25 PM,Philadelphia,30,FINAL,1536,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-113.0,-120.0,-102.0,-110.0,-105.0,-110.0,-108.0,-109.0,-120.0,-110.0,-110.0,40.0,1.5,-110
4407345,262,2021,10,,,Denver,13,,1534,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-107.0,100.0,-108.0,-110.0,-115.0,-110.0,-108.0,-111.0,100.0,-110.0,-110.0,60.0,-1.5,-110
4407351,259,2021,10,Sun 11/14,4:25 PM,Seattle,0,FINAL,1548,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-106.0,-120.0,107.0,100.0,-105.0,-105.0,102.0,-104.0,100.0,104.0,100.0,93.33,5.0,-110
4407351,260,2021,10,,,Green Bay,17,,1542,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-114.0,100.0,-118.0,-120.0,-115.0,-115.0,-118.0,-116.0,-120.0,-124.0,-120.0,6.67,-5.0,-110
4407356,263,2021,10,Sun 11/14,8:20 PM,Kansas City,41,FINAL,1531,-2.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-123.0,-105.0,-122.0,-128.0,-125.0,-120.0,-123.0,-129.0,-130.0,-128.0,100.0,57.89,-3.0,-110
4407356,264,2021,10,,,Las Vegas,14,,1533,2.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,103.0,-115.0,111.0,108.0,105.0,100.0,107.0,109.0,110.0,108.0,-120.0,42.11,3.0,-110
4407354,113,2021,10,Thu 11/11,8:20 PM,Baltimore,10,FINAL,1521,-9.0,-9.0,-8.5,-8.5,-8.5,-8.5,-8.5,-8.0,-9.0,-8.5,-9.0,-107.0,-110.0,106.0,-106.0,-115.0,-110.0,-108.0,-113.0,-110.0,-110.0,-105.0,13.33,-6.5,-110
4407354,114,2021,10,,,Miami,22,,1524,9.0,9.0,8.5,8.5,8.5,8.5,8.5,8.0,9.0,8.5,9.0,-113.0,-110.0,-117.0,-114.0,-105.0,-110.0,-108.0,-107.0,-110.0,-110.0,-115.0,86.67,6.5,-110
