eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407314,473,2021,7,Mon 10/25,8:15 PM,New Orleans,13,FINAL,1543,-6.0,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-5.5,-6.0,-6.0,-6.0,-110.0,-105.0,-105.0,-110.0,-115.0,-110.0,-108.0,-114.0,-110.0,-110.0,-110.0,46.88,-5.0,-105
4407314,474,2021,7,,,Seattle,10,,1548,6.0,6.0,6.0,6.0,5.5,6.0,6.0,5.5,6.0,6.0,6.0,-110.0,-115.0,-105.0,-110.0,-105.0,-110.0,-108.0,-106.0,-110.0,-110.0,-110.0,53.13,5.0,-115
4407303,457,2021,7,Sun 10/24,1:00 PM,Kansas City,3,FINAL,1531,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-110.0,-110.0,-105.0,-108.0,-110.0,-110.0,-108.0,-111.0,-110.0,-108.0,-110.0,56.25,-5.5,-114
4407303,458,2021,7,,,Tennessee,27,,1528,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-110.0,-110.0,-105.0,-112.0,-110.0,-110.0,-108.0,-109.0,-110.0,-112.0,-110.0,43.75,5.5,-106
4407306,461,2021,7,Sun 10/24,1:00 PM,N.Y. Jets,13,FINAL,1523,7.0,7.0,7.5,7.5,7.5,7.0,7.0,7.0,7.0,7.5,7.0,-110.0,-105.0,-119.0,-123.0,-120.0,-110.0,-108.0,-112.0,-110.0,-123.0,-110.0,50.0,7.5,-120
4407306,462,2021,7,,,New England,54,,1525,-7.0,-7.0,-7.5,-7.5,-7.5,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-110.0,-115.0,107.0,103.0,100.0,-110.0,-108.0,-108.0,-110.0,103.0,-110.0,50.0,-7.5,100
4407309,451,2021,7,Sun 10/24,1:00 PM,Cincinnati,41,FINAL,1522,6.0,6.0,6.5,6.5,6.5,6.5,6.0,6.5,6.5,6.5,6.0,-110.0,-110.0,-107.0,-115.0,-115.0,-115.0,-108.0,-115.0,-115.0,-112.0,-110.0,62.5,6.5,-111
4407309,452,2021,7,,,Baltimore,17,,1521,-6.0,-6.0,-6.5,-6.5,-6.5,-6.5,-6.0,-6.5,-6.5,-6.5,-6.0,-110.0,-110.0,-103.0,-105.0,-105.0,-105.0,-108.0,-105.0,-105.0,-108.0,-110.0,37.5,-6.5,-109
4407310,455,2021,7,Sun 10/24,1:00 PM,Washington,10,FINAL,1537,9.0,8.5,8.5,8.5,9.0,8.5,8.5,8.5,8.5,8.5,9.0,-115.0,-105.0,103.0,-102.0,-115.0,-110.0,-108.0,-109.0,-110.0,-106.0,-115.0,33.33,8.5,-115
4407310,456,2021,7,,,Green Bay,24,,1542,-9.0,-8.5,-8.5,-8.5,-9.0,-8.5,-8.5,-8.5,-8.5,-8.5,-9.0,-105.0,-115.0,-113.0,-118.0,-105.0,-110.0,-108.0,-111.0,-110.0,-114.0,-105.0,66.67,-8.5,-105
