eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407397,475,2021,13,Mon 12/6,8:15 PM,New England,14,FINAL,1525,3.0,3.0,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,3.0,-115.0,-115.0,-120.0,-123.0,100.0,-120.0,-113.0,-102.0,-125.0,-123.0,-120.0,57.69,3.5,-110
4407397,476,2021,13,,,Buffalo,10,,1526,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0,-105.0,-105.0,107.0,103.0,-120.0,100.0,-103.0,-118.0,105.0,103.0,100.0,42.31,-3.5,-110
4407389,451,2021,13,Sun 12/5,1:00 PM,Minnesota,27,FINAL,1541,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-110.0,-110.0,-104.0,-109.0,-115.0,-110.0,-108.0,-107.0,-110.0,-109.0,-110.0,50.0,-7.5,-110
4407389,452,2021,13,,,Detroit,29,,1539,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-110.0,-110.0,-107.0,-111.0,-105.0,-110.0,-108.0,-113.0,-110.0,-111.0,-110.0,50.0,7.5,-110
4407394,465,2021,13,Sun 12/5,1:00 PM,N.Y. Giants,9,FINAL,1535,6.5,7.0,6.5,6.5,4.5,7.0,7.0,7.0,6.5,6.5,6.0,100.0,-110.0,104.0,107.0,-110.0,-115.0,-113.0,-115.0,-110.0,107.0,-110.0,50.0,2.5,100
4407394,466,2021,13,,,Miami,20,,1524,-6.5,-7.0,-6.5,-6.5,-4.5,-7.0,-7.0,-7.0,-6.5,-6.5,-6.0,-120.0,-110.0,-116.0,-127.0,-110.0,-105.0,-103.0,-105.0,-110.0,-127.0,-110.0,50.0,-2.5,-120
4407396,455,2021,13,Sun 12/5,1:00 PM,Tampa Bay,30,FINAL,1544,-11.0,-11.0,-11.0,-11.0,-11.0,-10.5,-11.0,-11.0,-11.0,-11.0,-11.0,-105.0,-110.0,-105.0,-110.0,-105.0,-110.0,-108.0,-111.0,-110.0,-110.0,-110.0,28.57,-9.5,-110
4407396,456,2021,13,,,Atlanta,17,,1546,11.0,11.0,11.0,11.0,11.0,10.5,11.0,11.0,11.0,11.0,11.0,-115.0,-110.0,-106.0,-110.0,-115.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,71.43,9.5,-110
4407398,463,2021,13,Sun 12/5,1:00 PM,L.A. Chargers,41,FINAL,75380,2.5,3.0,2.5,2.5,3.0,3.0,2.5,2.5,3.0,2.5,3.0,100.0,-130.0,101.0,-103.0,-105.0,-120.0,-108.0,-106.0,-115.0,-103.0,-110.0,46.67,1.5,-110
4407398,464,2021,13,,,Cincinnati,22,,1522,-2.5,-3.0,-2.5,-2.5,-3.0,-3.0,-2.5,-2.5,-3.0,-2.5,-3.0,-120.0,110.0,-113.0,-117.0,-115.0,100.0,-108.0,-114.0,-105.0,-117.0,-110.0,53.33,-1.5,-110
4407399,459,2021,13,Sun 12/5,1:00 PM,Indianapolis,31,FINAL,1527,-10.0,-10.5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.5,-10.0,-10.0,-10.0,-110.0,-110.0,-115.0,-116.0,-105.0,-110.0,-108.0,-105.0,-115.0,-116.0,-110.0,100.0,-7.0,-110
4407399,460,2021,13,,,Houston,0,,1530,10.0,10.5,10.0,10.0,10.0,10.0,10.0,10.5,10.0,10.0,10.0,-110.0,-110.0,103.0,-104.0,-115.0,-110.0,-108.0,-115.0,-105.0,-104.0,-110.0,0.0,7.0,-110
4407401,461,2021,13,Sun 12/5,1:00 PM,Philadelphia,33,FINAL,1536,-5.0,-5.0,-5.0,-5.0,-7.0,-5.0,-4.5,-4.5,-5.5,-5.0,-5.0,-105.0,-110.0,104.0,100.0,100.0,-110.0,-108.0,-111.0,-110.0,100.0,-110.0,60.0,-6.5,-110
4407401,462,2021,13,,,N.Y. Jets,18,,1523,5.0,5.0,5.0,5.0,7.0,5.0,4.5,4.5,5.5,5.0,5.0,-115.0,-110.0,-116.0,-120.0,-120.0,-110.0,-108.0,-109.0,-110.0,-120.0,-110.0,40.0,6.5,-110
4407402,453,2021,13,Sun 12/5,1:00 PM,Arizona,33,FINAL,1549,-7.5,-8.0,-7.5,-7.5,-7.5,-7.5,-8.0,-8.0,-7.5,-7.5,-7.0,-118.0,-110.0,-109.0,-114.0,-110.0,-110.0,-108.0,-108.0,-115.0,-114.0,-115.0,66.67,-7.0,-110
4407402,454,2021,13,,,Chicago,22,,1540,7.5,8.0,7.5,7.5,7.5,7.5,8.0,8.0,7.5,7.5,7.0,-102.0,-110.0,-102.0,-106.0,-110.0,-110.0,-108.0,-112.0,-105.0,-106.0,-105.0,33.33,7.0,-110
4407391,467,2021,13,Sun 12/5,4:05 PM,Washington,17,FINAL,1537,1.0,1.5,1.0,1.0,1.0,1.5,2.0,2.0,1.5,1.0,1.0,102.0,-105.0,106.0,100.0,-105.0,-110.0,-108.0,-110.0,-105.0,102.0,-105.0,57.14,1.5,-110
4407391,468,2021,13,,,Las Vegas,15,,1533,-1.0,-1.5,-1.0,-1.0,-1.0,-1.5,-2.0,-2.0,-1.5,-1.0,-1.0,-122.0,-115.0,-118.0,-120.0,-115.0,-110.0,-108.0,-110.0,-115.0,-122.0,-115.0,42.86,-1.5,-110
4407395,471,2021,13,Sun 12/5,4:05 PM,Jacksonville,7,FINAL,1529,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,14.0,13.0,-110.0,-110.0,-104.0,-110.0,-115.0,-110.0,-108.0,-110.0,-110.0,-110.0,-110.0,90.0,12.0,-110
4407395,472,2021,13,,,L.A. Rams,37,,1550,-14.0,-14.0,-14.0,-14.0,-13.0,-14.0,-14.0,-14.0,-13.0,-14.0,-13.0,-110.0,-110.0,-107.0,-110.0,-105.0,-110.0,-108.0,-110.0,-110.0,-110.0,-110.0,10.0,-12.0,-110
4407392,473,2021,13,Sun 12/5,4:25 PM,San Francisco,23,FINAL,1547,-2.5,-3.0,-3.0,-3.0,-3.5,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-112.0,100.0,104.0,-102.0,100.0,100.0,-118.0,-102.0,-105.0,-102.0,-110.0,62.5,0.0,-110
4407392,474,2021,13,,,Seattle,30,,1548,2.5,3.0,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.0,3.0,-108.0,-120.0,-115.0,-118.0,-120.0,-120.0,102.0,-118.0,-115.0,-118.0,-110.0,37.5,0.0,-110
4407400,469,2021,13,Sun 12/5,4:25 PM,Baltimore,19,FINAL,1521,-4.0,-4.0,-4.0,-4.0,-4.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-107.0,-110.0,-109.0,-113.0,-110.0,-110.0,-108.0,-109.0,-110.0,-113.0,-110.0,60.0,-3.0,100
4407400,470,2021,13,,,Pittsburgh,20,,1519,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.5,-113.0,-110.0,-102.0,-107.0,-110.0,-110.0,-108.0,-111.0,-110.0,-107.0,-110.0,40.0,3.0,-120
4407393,457,2021,13,Sun 12/5,8:20 PM,Denver,9,FINAL,1534,8.5,9.0,8.5,8.5,9.5,8.5,8.5,8.5,8.5,8.5,9.0,-111.0,-115.0,-108.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-111.0,-110.0,33.33,9.5,-110
4407393,458,2021,13,,,Kansas City,22,,1531,-8.5,-9.0,-8.5,-8.5,-9.5,-8.5,-8.5,-8.5,-8.5,-8.5,-9.0,-109.0,-105.0,-103.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-109.0,-110.0,66.67,-9.5,-110
4407390,301,2021,13,Thu 12/2,8:20 PM,Dallas,27,FINAL,1538,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-115.0,-115.0,-110.0,-116.0,-115.0,-110.0,-108.0,-111.0,-115.0,-116.0,110.0,0.0,-5.0,-110
4407390,302,2021,13,,,New Orleans,17,,1543,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,-105.0,-105.0,-101.0,-104.0,-105.0,-110.0,-108.0,-109.0,-105.0,-104.0,-130.0,100.0,5.0,-110
