eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407263,279,2021,4,Mon 10/4,8:15 PM,Las Vegas,14,FINAL,1533,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.5,100.0,-101.0,100.0,100.0,-110.0,-103.0,-101.0,105.0,100.0,-120.0,54.84,3.0,100
4407263,280,2021,4,,,L.A. Chargers,28,,75380,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-6.5,-120.0,-109.0,-120.0,-120.0,-110.0,-113.0,-119.0,-125.0,-120.0,100.0,45.16,-3.0,-120
4407259,263,2021,4,Sun 10/3,1:00 PM,N.Y. Giants,27,FINAL OT,1535,7.5,7.5,7.0,7.5,7.0,7.0,7.0,7.0,7.0,3.5,-120.0,-118.0,-110.0,-120.0,-110.0,-108.0,-108.0,-110.0,-110.0,-174.0,75.0,6.5,-110
4407259,264,2021,4,,,New Orleans,21,,1543,-7.5,-7.5,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-3.5,100.0,107.0,-110.0,100.0,-110.0,-108.0,-112.0,-110.0,-110.0,154.0,25.0,-6.5,-110
4407260,265,2021,4,Sun 10/3,1:00 PM,Kansas City,42,FINAL,1531,-7.5,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-11.5,100.0,101.0,-110.0,-115.0,100.0,-108.0,-111.0,-115.0,-110.0,-104.0,57.14,-6.0,-105
4407260,266,2021,4,,,Philadelphia,30,,1536,7.5,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.5,-120.0,-112.0,-110.0,-105.0,-120.0,-108.0,-109.0,-105.0,-110.0,-116.0,42.86,6.0,-115
4407262,267,2021,4,Sun 10/3,1:00 PM,Houston,0,FINAL,1530,18.5,19.0,18.5,18.5,18.0,18.5,18.5,18.5,18.5,26.5,-110.0,-108.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,106.0,25.0,16.5,-110
4407262,268,2021,4,,,Buffalo,40,,1526,-18.5,-19.0,-18.5,-18.5,-18.0,-18.5,-18.5,-18.5,-18.5,-26.5,-110.0,-102.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-126.0,75.0,-16.5,-110
4407264,261,2021,4,Sun 10/3,1:00 PM,Carolina,28,FINAL,1545,4.5,4.5,4.5,4.5,4.0,4.5,4.5,5.0,4.5,17.5,-105.0,-106.0,-110.0,-110.0,-110.0,-108.0,-113.0,-115.0,-110.0,100.0,40.0,4.5,-110
4407264,262,2021,4,,,Dallas,36,,1538,-4.5,-4.5,-4.5,-4.5,-4.0,-4.5,-4.5,-5.0,-4.5,-17.5,-115.0,-104.0,-110.0,-110.0,-110.0,-108.0,-107.0,-105.0,-110.0,-120.0,60.0,-4.5,-110
4407265,257,2021,4,Sun 10/3,1:00 PM,Cleveland,14,FINAL,1520,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-6.5,-105.0,102.0,-110.0,-105.0,-110.0,-108.0,-108.0,-105.0,-110.0,-101.0,100.0,-1.0,-110
4407265,258,2021,4,,,Minnesota,7,,1541,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.5,-115.0,-113.0,-110.0,-115.0,-110.0,-108.0,-112.0,-115.0,-110.0,-119.0,0.0,1.0,-110
4407267,259,2021,4,Sun 10/3,1:00 PM,Indianapolis,27,FINAL,1527,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-16.5,-105.0,102.0,-105.0,-105.0,-110.0,-108.0,-106.0,-105.0,-105.0,-178.0,14.29,0.0,-105
4407267,260,2021,4,,,Miami,17,,1524,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,16.5,-115.0,-113.0,-115.0,-115.0,-110.0,-108.0,-114.0,-115.0,-115.0,156.0,85.71,0.0,-115
4407268,255,2021,4,Sun 10/3,1:00 PM,Tennessee,24,FINAL OT,1528,-6.0,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-6.5,-5.5,6.5,-110.0,-104.0,-110.0,-110.0,-110.0,-108.0,-111.0,-105.0,-110.0,305.0,50.0,-6.0,-110
4407268,256,2021,4,,,N.Y. Jets,27,,1523,6.0,5.5,5.5,5.5,5.5,5.5,5.5,6.5,5.5,-6.5,-110.0,-106.0,-110.0,-110.0,-110.0,-108.0,-109.0,-115.0,-110.0,-355.0,50.0,6.0,-110
