eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407231,297,2021,2,Mon 9/20,8:15 PM,Detroit,17,FINAL,1539,11.5,11.5,11.5,11.5,11.5,11.5,11.0,11.5,11.5,14.5,-110.0,-112.0,-110.0,-110.0,-110.0,-108.0,-108.0,-105.0,-110.0,-110.0,65.22,11.0,-110
4407231,298,2021,2,,,Green Bay,35,,1542,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.0,-11.5,-11.5,-14.5,-110.0,102.0,-110.0,-110.0,-110.0,-108.0,-112.0,-115.0,-110.0,-110.0,34.78,-11.0,-110
4407227,283,2021,2,Sun 9/19,1:00 PM,Denver,23,FINAL,1534,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-13.0,-110.0,104.0,-107.0,-110.0,-110.0,-108.0,-115.0,-115.0,-107.0,-110.0,50.0,-3.0,-120
4407227,284,2021,2,,,Jacksonville,13,,1529,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,13.0,-110.0,-115.0,-107.0,-110.0,-110.0,-108.0,-105.0,-105.0,-107.0,-110.0,50.0,3.0,100
4407228,277,2021,2,Sun 9/19,1:00 PM,Buffalo,35,FINAL,1526,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-21.5,-110.0,103.0,-102.0,-110.0,-110.0,-108.0,-103.0,100.0,-102.0,-107.0,66.67,-3.0,-110
4407228,278,2021,2,,,Miami,0,,1524,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,21.5,-110.0,-113.0,-112.0,-110.0,-110.0,-108.0,-117.0,-120.0,-112.0,-113.0,33.33,3.0,-110
4407230,271,2021,2,Sun 9/19,1:00 PM,Houston,21,FINAL,1530,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,7.5,-110.0,-103.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-109.0,45.45,13.5,-110
4407230,272,2021,2,,,Cleveland,31,,1520,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-7.5,-110.0,-107.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-111.0,54.55,-13.5,-110
4407232,273,2021,2,Sun 9/19,1:00 PM,Cincinnati,17,FINAL,1522,2.0,2.0,1.5,2.0,1.5,2.0,2.0,2.0,1.5,13.5,-110.0,-105.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-110.0,25.0,3.0,100
4407232,274,2021,2,,,Chicago,20,,1540,-2.0,-2.0,-1.5,-2.0,-1.5,-2.0,-2.0,-2.0,-1.5,-13.5,-110.0,-105.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-110.0,75.0,-3.0,-120
