eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123
4407278,479,2021,5,Mon 10/11,8:15 PM,Indianapolis,25,FINAL,,,,,,,,,,,,,,,,,,,,,,,,,
4407278,480,2021,5,,,Baltimore,31,,13.73,,,,,,,,,,,,,-7.5,-110.0,,,,,,,,,,
4407041,451,2021,5,Sun 10/10,9:30 AM,N.Y. Jets,20,FINAL,63.64,4.0,-110.0,,,3.0,-120.0,3.0,-107.0,3.0,-120.0,2.5,100.0,2.5,100.0,3.0,-113.0,3.0,-116.0,3.0,-115.0,3.0,-115.0,3.0,-125.0
4407041,452,2021,5,,,Atlanta,27,,36.36,-4.0,-110.0,,,-3.0,100.0,-3.0,-103.0,-3.0,100.0,-2.5,-120.0,-2.5,-120.0,-3.0,-103.0,-3.0,-104.0,-3.0,-105.0,-3.0,-105.0,-3.0,105.0
4407279,467,2021,5,Sun 10/10,1:00 PM,New England,25,FINAL,100.0,-7.5,-110.0,,,-8.0,-110.0,-8.0,102.0,-8.0,-110.0,-8.0,-105.0,-8.0,-105.0,-7.5,-108.0,-8.0,-108.0,-8.0,-110.0,-8.0,-110.0,-9.0,105.0
4407279,468,2021,5,,,Houston,22,,0.0,7.5,-110.0,,,8.0,-110.0,8.0,-112.0,8.0,-110.0,8.0,-115.0,8.0,-115.0,7.5,-108.0,8.0,-112.0,8.0,-110.0,8.0,-110.0,9.0,-125.0
4407282,453,2021,5,Sun 10/10,1:00 PM,Miami,17,FINAL,79.97,6.5,-110.0,,,11.0,-105.0,11.0,-100.0,11.5,-110.0,11.0,-110.0,11.0,-110.0,11.0,-108.0,11.0,-111.0,11.0,-105.0,11.5,-110.0,11.5,-110.0
4407282,454,2021,5,,,Tampa Bay,45,,20.03,-6.5,-110.0,,,-11.0,-115.0,-11.0,-110.0,-11.5,-110.0,-11.0,-110.0,-11.0,-110.0,-11.0,-108.0,-11.0,-109.0,-11.0,-115.0,-11.5,-110.0,-11.5,-110.0
4407283,455,2021,5,Sun 10/10,1:00 PM,Philadelphia,21,FINAL,33.33,4.0,-110.0,,,3.0,-125.0,2.5,104.0,3.0,-115.0,2.5,-105.0,2.5,-105.0,2.5,-103.0,2.5,-103.0,3.0,-120.0,2.5,-105.0,3.0,-125.0
4407283,456,2021,5,,,Carolina,18,,66.67,-4.0,-110.0,,,-3.0,105.0,-2.5,-114.0,-3.0,-105.0,-2.5,-115.0,-2.5,-115.0,-2.5,-113.0,-2.5,-117.0,-3.0,100.0,-2.5,-115.0,-3.0,105.0
4407284,459,2021,5,Sun 10/10,1:00 PM,Tennessee,37,FINAL,21.83,-7.5,-110.0,,,-4.5,-105.0,-4.0,-100.0,-4.0,-110.0,-4.5,-105.0,-4.5,-110.0,-4.5,-108.0,-4.5,-108.0,-5.0,-110.0,-4.0,-110.0,-4.5,-110.0
4407284,460,2021,5,,,Jacksonville,19,,78.17,7.5,-110.0,,,4.5,-115.0,4.0,-110.0,4.0,-110.0,4.5,-115.0,4.5,-110.0,4.5,-108.0,4.5,-112.0,5.0,-110.0,4.0,-110.0,4.5,-110.0
