eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407332,475,2021,9,Mon 11/8,8:15 PM,Chicago,27,FINAL,1540,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-113.0,-115.0,-107.0,-114.0,-115.0,-115.0,-113.0,-113.0,-115.0,-114.0,-110.0,17.24,5.0,-110
4407332,476,2021,9,,,Pittsburgh,29,,1519,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-107.0,-105.0,-103.0,-106.0,-105.0,-105.0,-103.0,-107.0,-105.0,-106.0,-110.0,82.76,-5.0,-110
4407333,457,2021,9,Sun 11/7,1:00 PM,New England,24,FINAL,1525,-3.0,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.5,-3.5,-119.0,-110.0,103.0,-102.0,100.0,-120.0,-118.0,-122.0,-120.0,-102.0,-110.0,33.33,-2.5,-110
4407333,458,2021,9,,,Carolina,6,,1545,3.0,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.5,-101.0,-110.0,-113.0,-118.0,-120.0,100.0,102.0,102.0,100.0,-118.0,-110.0,66.67,2.5,-110
4407335,459,2021,9,Sun 11/7,1:00 PM,Buffalo,6,FINAL,1526,-14.5,-16.0,-14.5,-16.0,-15.5,-14.5,-16.0,-16.0,-15.0,-16.0,-16.0,-123.0,-110.0,-115.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,60.0,-10.5,-110
4407335,460,2021,9,,,Jacksonville,9,,1529,14.5,16.0,14.5,16.0,15.5,14.5,16.0,16.0,15.0,16.0,16.0,103.0,-110.0,104.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-110.0,40.0,10.5,-110
4407337,465,2021,9,Sun 11/7,1:00 PM,Atlanta,27,FINAL,1546,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,7.0,6.5,-120.0,-125.0,-114.0,-118.0,-110.0,-105.0,-108.0,-105.0,-105.0,-118.0,-110.0,10.0,5.5,-110
4407337,466,2021,9,,,New Orleans,25,,1543,-7.0,-7.0,-7.0,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,100.0,105.0,103.0,-102.0,-110.0,-115.0,-108.0,-115.0,-115.0,-102.0,-110.0,90.0,-5.5,-110
4407338,463,2021,9,Sun 11/7,1:00 PM,Las Vegas,16,FINAL,1533,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-110.0,-115.0,104.0,-101.0,100.0,-110.0,-103.0,-105.0,-125.0,-101.0,-110.0,29.84,-2.5,-110
4407338,464,2021,9,,,N.Y. Giants,23,,1535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-110.0,-105.0,-115.0,-119.0,-120.0,-110.0,-113.0,-115.0,105.0,-119.0,-110.0,70.16,2.5,-110
