eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4618069,339,2021,15,Tue 12/21,7:00 PM,Washington,17,FINAL,1537,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,-110.0,-110.0,-101.0,-109.0,-110.0,-110.0,-108.0,-113.0,-105.0,-109.0,-110.0,83.33,8.5,-110
4618069,340,2021,15,,,Philadelphia,27,,1536,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0,-110.0,-110.0,-110.0,-111.0,-110.0,-110.0,-108.0,-107.0,-115.0,-111.0,-110.0,16.67,-8.5,-110
4618070,337,2021,15,Tue 12/21,7:00 PM,Seattle,10,FINAL,1548,7.0,7.0,7.5,7.5,7.5,7.0,7.5,7.0,7.5,7.5,7.0,-110.0,-110.0,-118.0,-122.0,-115.0,-110.0,-113.0,-105.0,-125.0,-122.0,-105.0,85.71,6.5,-110
4618070,338,2021,15,,,L.A. Rams,20,,1550,-7.0,-7.0,-7.5,-7.5,-7.5,-7.0,-7.5,-7.0,-7.5,-7.5,-7.0,-110.0,-110.0,106.0,102.0,-105.0,-110.0,-103.0,-115.0,100.0,102.0,-115.0,14.29,-6.5,-110
4618067,333,2021,15,Mon 12/20,5:00 PM,Las Vegas,16,FINAL,1533,-2.5,-3.0,-2.5,-2.5,-3.0,-3.0,-2.5,-2.5,-3.0,-2.5,-3.0,-108.0,105.0,-116.0,-111.0,-105.0,100.0,-108.0,-113.0,-116.0,-109.0,100.0,46.43,1.5,-110
4618067,334,2021,15,,,Cleveland,14,,1520,2.5,3.0,2.5,2.5,3.0,3.0,2.5,2.5,3.0,2.5,3.0,-112.0,-125.0,104.0,-109.0,-115.0,-120.0,-108.0,-107.0,-104.0,-111.0,-120.0,53.57,-1.5,-110
4407420,331,2021,15,Mon 12/20,8:15 PM,Minnesota,17,FINAL,1541,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-7.0,-7.0,-110.0,-115.0,-114.0,-121.0,-115.0,-110.0,-113.0,-105.0,-115.0,-119.0,-110.0,64.29,-4.0,-110
4407420,332,2021,15,,,Chicago,9,,1540,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,-110.0,-105.0,103.0,101.0,-105.0,-110.0,-103.0,-115.0,-105.0,-101.0,-110.0,35.71,4.0,-110
4407419,313,2021,15,Sun 12/19,1:00 PM,Dallas,21,FINAL,1538,-12.0,-12.5,-11.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.0,-11.5,-13.0,-110.0,-110.0,-114.0,-119.0,-120.0,-110.0,-108.0,-112.0,-110.0,-119.0,100.0,0.0,-10.0,-110
4407419,314,2021,15,,,N.Y. Giants,6,,1535,12.0,12.5,11.5,11.5,11.5,11.5,12.5,12.5,12.0,11.5,13.0,-110.0,-110.0,102.0,-101.0,100.0,-110.0,-108.0,-108.0,-110.0,-101.0,-120.0,100.0,10.0,-110
