eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407257,497,2021,3,Mon 9/27,8:15 PM,Philadelphia,21,FINAL,1536,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,13.5,-115.0,-103.0,-110.0,-115.0,-115.0,-108.0,-113.0,-115.0,-110.0,140.0,54.55,7.0,-110
4407257,498,2021,3,,,Dallas,41,,1538,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,-13.5,-105.0,-107.0,-110.0,-105.0,-105.0,-108.0,-107.0,-105.0,-110.0,-160.0,45.45,-7.0,-110
4407243,483,2021,3,Sun 9/26,1:00 PM,Chicago,6,FINAL,1540,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,-105.0,-102.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-125.0,76.11,9.5,-110
4407243,484,2021,3,,,Cleveland,26,,1520,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-9.0,-115.0,-108.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,105.0,23.89,-9.5,-110
4407244,469,2021,3,Sun 9/26,1:00 PM,Arizona,31,FINAL,1549,-8.5,-8.0,-8.0,-8.0,-8.0,-7.5,-8.0,-8.0,-8.0,2.5,-110.0,-101.0,-110.0,-110.0,-110.0,-108.0,-108.0,-110.0,-110.0,-132.0,71.43,-6.5,-110
4407244,470,2021,3,,,Jacksonville,19,,1529,8.5,8.0,8.0,8.0,8.0,7.5,8.0,8.0,8.0,-2.5,-110.0,-110.0,-110.0,-110.0,-110.0,-108.0,-112.0,-110.0,-110.0,112.0,28.57,6.5,-110
4407245,479,2021,3,Sun 9/26,1:00 PM,L.A. Chargers,30,FINAL,75380,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.5,-115.0,-100.0,-115.0,-115.0,-110.0,-108.0,-116.0,-115.0,-115.0,-110.0,75.0,6.5,-110
4407245,480,2021,3,,,Kansas City,24,,1531,-7.0,-6.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.5,-105.0,-110.0,-105.0,-105.0,-110.0,-108.0,-104.0,-105.0,-105.0,-110.0,25.0,-6.5,-110
4407247,475,2021,3,Sun 9/26,1:00 PM,Washington,21,FINAL,1537,7.0,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.5,-110.0,-114.0,-105.0,-110.0,-105.0,-108.0,-109.0,-105.0,-105.0,-109.0,50.0,9.0,-110
4407247,476,2021,3,,,Buffalo,43,,1526,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-13.5,-110.0,103.0,-115.0,-110.0,-115.0,-108.0,-111.0,-115.0,-115.0,-111.0,50.0,-9.0,-110
4407248,471,2021,3,Sun 9/26,1:00 PM,Indianapolis,16,FINAL,1527,4.5,4.5,4.5,5.0,4.5,4.5,4.5,5.0,4.5,4.5,-110.0,-113.0,-110.0,-115.0,-110.0,-108.0,-109.0,-105.0,-110.0,-105.0,60.0,3.5,-110
4407248,472,2021,3,,,Tennessee,25,,1528,-4.5,-4.5,-4.5,-5.0,-4.5,-4.5,-4.5,-5.0,-4.5,-4.5,-110.0,103.0,-110.0,-105.0,-110.0,-108.0,-111.0,-115.0,-110.0,-115.0,40.0,-3.5,-110
4407252,485,2021,3,Sun 9/26,1:00 PM,Cincinnati,24,FINAL,1522,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,-125.0,103.0,100.0,-105.0,100.0,102.0,102.0,100.0,100.0,-120.0,44.44,7.0,-115
4407252,486,2021,3,,,Pittsburgh,10,,1519,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,105.0,-114.0,-120.0,-115.0,-120.0,-118.0,-122.0,-120.0,-120.0,100.0,55.56,-7.0,-105
4407253,477,2021,3,Sun 9/26,1:00 PM,New Orleans,28,FINAL,1543,3.0,3.0,2.5,3.0,3.0,2.5,2.5,3.0,2.5,-2.5,-120.0,-117.0,100.0,-120.0,-120.0,102.0,-101.0,-120.0,100.0,-110.0,40.0,0.0,-105
4407253,478,2021,3,,,New England,13,,1525,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-2.5,-3.0,-2.5,2.5,100.0,106.0,-120.0,100.0,100.0,-118.0,-119.0,100.0,-120.0,-110.0,60.0,0.0,-115
4407254,481,2021,3,Sun 9/26,1:00 PM,Atlanta,17,FINAL,1546,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-1.0,-125.0,-115.0,-105.0,-105.0,-105.0,-103.0,-105.0,-105.0,-105.0,121.0,100.0,2.5,100
4407254,482,2021,3,,,N.Y. Giants,14,,1535,-3.0,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.0,105.0,105.0,-115.0,-115.0,-115.0,-113.0,-115.0,-115.0,-115.0,-141.0,0.0,-2.5,-120
4407258,473,2021,3,Sun 9/26,1:00 PM,Baltimore,19,FINAL,1521,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-8.0,-115.0,-100.0,-110.0,-115.0,-110.0,-108.0,-113.0,-115.0,-110.0,-111.0,18.6,-7.5,-110
4407258,474,2021,3,,,Detroit,17,,1539,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0,-105.0,-110.0,-110.0,-105.0,-110.0,-108.0,-107.0,-105.0,-110.0,-109.0,81.4,7.5,-110
4407255,487,2021,3,Sun 9/26,4:05 PM,Miami,28,FINAL OT,1524,3.5,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,-105.0,-107.0,-110.0,-110.0,-110.0,-113.0,-110.0,-110.0,-110.0,-107.0,100.0,1.0,-110
4407255,488,2021,3,,,Las Vegas,31,,1533,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-115.0,-103.0,-110.0,-110.0,-110.0,-103.0,-110.0,-110.0,-110.0,-113.0,0.0,-1.0,-110
4407256,489,2021,3,Sun 9/26,4:05 PM,N.Y. Jets,0,FINAL,1523,10.5,10.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,22.5,-110.0,-109.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,100.0,88.32,9.0,-110
4407256,490,2021,3,,,Denver,26,,1534,-10.5,-10.5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-22.5,-110.0,-101.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-120.0,11.68,-9.0,-110
4407249,491,2021,3,Sun 9/26,4:25 PM,Tampa Bay,24,FINAL,1544,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-105.0,100.0,-110.0,-110.0,-110.0,-108.0,-107.0,-110.0,-110.0,-110.0,0.0,-1.5,-110
4407249,492,2021,3,,,L.A. Rams,34,,1550,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-115.0,-110.0,-110.0,-110.0,-110.0,-108.0,-113.0,-110.0,-110.0,-110.0,100.0,1.5,-110
4407250,493,2021,3,Sun 9/26,4:25 PM,Seattle,17,FINAL,1548,-2.0,-2.0,-2.0,-2.5,-2.0,-2.0,-2.0,-2.0,-2.0,-3.5,-110.0,-101.0,-110.0,-110.0,-110.0,-108.0,-112.0,-115.0,-110.0,-103.0,0.0,-2.5,-110
4407250,494,2021,3,,,Minnesota,30,,1541,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,3.5,-110.0,-109.0,-110.0,-110.0,-110.0,-108.0,-108.0,-105.0,-110.0,-117.0,100.0,2.5,-110
4407251,495,2021,3,Sun 9/26,8:20 PM,Green Bay,30,FINAL,1542,3.0,3.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,-3.0,100.0,-113.0,105.0,105.0,100.0,-113.0,-117.0,100.0,105.0,-117.0,46.15,3.5,-110
