eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407413,129,2021,14,Mon 12/13,8:15 PM,L.A. Rams,30,FINAL,1550,3.0,3.0,3.0,3.0,3.0,3.0,3.5,2.5,3.5,3.0,1.0,-102.0,100.0,108.0,101.0,-105.0,-110.0,-113.0,-109.0,-120.0,101.0,105.0,58.82,2.5,-110
4407413,130,2021,14,,,Arizona,23,,1549,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-2.5,-3.5,-3.0,-1.0,-118.0,-120.0,-120.0,-121.0,-115.0,-110.0,-103.0,-111.0,100.0,-121.0,-125.0,41.18,-2.5,-110
4407403,113,2021,14,Sun 12/12,1:00 PM,Baltimore,22,FINAL,1521,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,105.0,-110.0,-105.0,-110.0,-110.0,-120.0,-108.0,-112.0,-110.0,-110.0,-115.0,40.0,-1.0,-110
4407403,114,2021,14,,,Cleveland,24,,1520,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-125.0,-110.0,-106.0,-110.0,-110.0,100.0,-108.0,-108.0,-110.0,-110.0,-105.0,60.0,1.0,-110
4407404,117,2021,14,Sun 12/12,1:00 PM,Dallas,27,FINAL,1538,-6.5,-6.5,-6.5,-6.5,-6.5,-6.0,-6.5,-6.5,-6.0,-6.5,-4.5,-110.0,-110.0,-110.0,-113.0,-115.0,-110.0,-108.0,-109.0,-115.0,-113.0,-110.0,83.33,-5.0,-110
4407404,118,2021,14,,,Washington,20,,1537,6.5,6.5,6.5,6.5,6.5,6.0,6.5,6.5,6.0,6.5,4.5,-110.0,-110.0,-101.0,-107.0,-105.0,-110.0,-108.0,-111.0,-105.0,-107.0,-110.0,16.67,5.0,-110
4407405,105,2021,14,Sun 12/12,1:00 PM,Las Vegas,9,FINAL,1533,9.5,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,-110.0,-110.0,-110.0,-114.0,-115.0,-110.0,-108.0,-113.0,-110.0,-114.0,-110.0,62.18,10.0,-110
4407405,106,2021,14,,,Kansas City,48,,1531,-9.5,-10.0,-10.0,-10.0,-10.0,-9.5,-10.0,-10.0,-10.0,-10.0,-10.0,-110.0,-110.0,-101.0,-106.0,-105.0,-110.0,-108.0,-107.0,-110.0,-106.0,-110.0,37.82,-10.0,-110
4407410,119,2021,14,Sun 12/12,1:00 PM,Seattle,33,FINAL,1548,-9.0,-9.5,-10.0,-10.0,-9.5,-9.0,-9.0,-9.0,-9.5,-10.0,-9.0,-110.0,-115.0,103.0,-101.0,-110.0,-110.0,-108.0,-110.0,-110.0,-101.0,-105.0,100.0,-6.5,-110
4407410,120,2021,14,,,Houston,13,,1530,9.0,9.5,10.0,10.0,9.5,9.0,9.0,9.0,9.5,10.0,9.0,-110.0,-105.0,-115.0,-119.0,-110.0,-110.0,-108.0,-110.0,-110.0,-119.0,-115.0,0.0,6.5,-110
4407412,111,2021,14,Sun 12/12,1:00 PM,Jacksonville,0,FINAL,1529,9.0,9.0,8.5,8.5,8.5,9.0,8.5,8.5,9.0,8.5,9.0,-115.0,-115.0,-104.0,-109.0,-110.0,-110.0,-108.0,-111.0,-110.0,-109.0,-120.0,100.0,9.5,-110
4407412,112,2021,14,,,Tennessee,20,,1528,-9.0,-9.0,-8.5,-8.5,-8.5,-9.0,-8.5,-8.5,-9.0,-8.5,-9.0,-105.0,-105.0,-107.0,-111.0,-110.0,-110.0,-108.0,-109.0,-110.0,-111.0,100.0,0.0,-9.5,-110
