eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642783,475,2022,7,Mon 10/24,8:15 PM,Chicago,33,FINAL,1540,8.5,9.0,9.0,9.0,9.5,9.0,8.5,8.5,9.0,8.5,8.5,9.0,9.0,8.0,-110.0,-115.0,-110.0,-111.0,-117.0,-107.0,-110.0,-110.0,-108.0,-112.0,-110.0,-107.0,-115.0,-109.0,71.71,6.0,-110
4642783,476,2022,7,,,New England,14,,1525,-8.5,-9.0,-9.0,-9.0,-9.5,-9.0,-8.5,-8.5,-9.0,-8.5,-8.5,-9.0,-9.0,-8.0,-110.0,-105.0,-110.0,-109.0,106.0,-113.0,-110.0,-110.0,-108.0,-108.0,-110.0,-113.0,-105.0,-122.0,28.29,-6.0,-110
4642771,459,2022,7,Sun 10/23,1:00 PM,Cleveland,20,FINAL,1520,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,-107.0,-110.0,-105.0,-105.0,-101.0,-105.0,-105.0,-110.0,-108.0,-109.0,-110.0,-105.0,-110.0,100.0,73.94,6.0,-110
4642771,460,2022,7,,,Baltimore,23,,1521,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-113.0,-110.0,-115.0,-115.0,-109.0,-115.0,-115.0,-110.0,-108.0,-111.0,-110.0,-115.0,-110.0,-111.0,26.06,-6.0,-110
4642772,457,2022,7,Sun 10/23,1:00 PM,Atlanta,17,FINAL,1546,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,-105.0,-105.0,-112.0,-112.0,-100.0,-105.0,-110.0,-110.0,-108.0,-107.0,-110.0,-105.0,-110.0,-101.0,52.87,7.0,-105
4642772,458,2022,7,,,Cincinnati,35,,1522,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.0,-115.0,-115.0,-108.0,-108.0,-110.0,-115.0,-110.0,-110.0,-108.0,-113.0,-110.0,-115.0,-110.0,-130.0,47.13,-7.0,-115
4642773,451,2022,7,Sun 10/23,1:00 PM,Detroit,6,FINAL,1539,7.0,7.0,6.5,6.5,7.0,6.5,7.0,7.0,7.0,7.0,-7.0,6.5,7.0,7.0,-110.0,-110.0,-107.0,-107.0,-112.0,-105.0,-115.0,-110.0,-113.0,-117.0,-115.0,-105.0,-110.0,-112.0,63.14,7.5,-105
4642773,452,2022,7,,,Dallas,24,,1538,-7.0,-7.0,-6.5,-6.5,-7.0,-6.5,-7.0,-7.0,-7.0,-7.0,-7.0,-6.5,-7.0,-7.0,-110.0,-110.0,-113.0,-113.0,102.0,-115.0,-105.0,-110.0,-103.0,-103.0,-105.0,-115.0,-110.0,102.0,36.86,-7.5,-115
4642774,463,2022,7,Sun 10/23,1:00 PM,Green Bay,21,FINAL,1542,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-4.0,-4.0,-4.5,-107.0,-115.0,-109.0,-106.0,105.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-110.0,-102.0,29.91,-5.5,-110
4642774,464,2022,7,,,Washington,23,,1537,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.5,-113.0,-105.0,-111.0,-113.0,-116.0,-113.0,-110.0,-110.0,-108.0,-110.0,-110.0,-113.0,-110.0,-130.0,70.09,5.5,-110
