eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123,adj_127,ap_127
4642928,463,2022,18,Sun 1/8,1:00 PM,Houston,32,FINAL,53.9,2.5,-106.0,3.0,-117.0,3.0,-115.0,3.0,-118.0,3.0,-118.0,3.0,-115.0,3.0,-115.0,3.0,-110.0,3.0,-115.0,3.0,-113.0,3.0,-115.0,3.0,-115.0,3.0,-115.0,3.0,-115.0,2.5,-106.0
4642928,464,2022,18,,,Indianapolis,31,,46.1,-2.5,-114.0,-3.0,-103.0,-3.0,-105.0,-3.0,-102.0,-3.0,-102.0,-3.0,104.0,-3.0,-105.0,-3.0,-110.0,-3.0,-105.0,-3.0,-103.0,-3.0,-105.0,-3.0,-105.0,-3.0,-105.0,-3.0,-105.0,-2.5,-125.0
4642932,481,2022,18,Sun 1/8,1:00 PM,Minnesota,29,FINAL,30.24,-2.0,-110.0,-6.0,-116.0,-7.0,105.0,-6.5,-115.0,-6.5,-115.0,-6.5,-103.0,-6.0,-116.0,-6.5,-110.0,-6.5,-110.0,-6.5,-108.0,-6.5,-109.0,-7.0,-110.0,-6.0,-116.0,-7.0,-110.0,-7.0,-112.0
4642932,482,2022,18,,,Chicago,13,,69.76,2.0,-110.0,6.0,-104.0,7.0,-125.0,6.5,-105.0,6.5,-105.0,6.5,-107.0,6.0,-104.0,6.5,-110.0,6.5,-110.0,6.5,-108.0,6.5,-111.0,7.0,-110.0,6.0,-104.0,7.0,-110.0,7.0,-109.0
4642933,479,2022,18,Sun 1/8,1:00 PM,Baltimore,16,FINAL,77.92,6.5,-110.0,12.0,-110.0,11.5,-110.0,11.0,-110.0,11.0,-110.0,11.0,106.0,12.0,-110.0,12.0,-110.0,11.5,-110.0,12.0,-108.0,11.5,-110.0,9.5,-110.0,12.0,-110.0,10.5,-110.0,11.0,-110.0
4642933,480,2022,18,,,Cincinnati,27,,22.08,-6.5,-110.0,-12.0,-110.0,-11.5,-110.0,-11.0,-110.0,-11.0,-110.0,-11.0,-117.0,-12.0,-110.0,-12.0,-110.0,-11.5,-110.0,-12.0,-108.0,-11.5,-110.0,-9.5,-110.0,-12.0,-110.0,-10.5,-110.0,-11.0,-110.0
4642935,455,2022,18,Sun 1/8,1:00 PM,N.Y. Jets,6,FINAL,54.86,4.0,-110.0,3.5,-104.0,4.0,-115.0,3.0,109.0,3.0,109.0,3.5,-100.0,3.5,-104.0,3.5,-105.0,4.0,-110.0,4.0,-108.0,4.0,-114.0,3.5,-110.0,3.5,-104.0,3.5,-110.0,3.5,-102.0
4642935,456,2022,18,,,Miami,11,,45.14,-4.0,-110.0,-3.5,-116.0,-4.0,-105.0,-3.0,-129.0,-3.0,-129.0,-3.5,-110.0,-3.5,-116.0,-3.5,-115.0,-4.0,-110.0,-4.0,-108.0,-4.0,-106.0,-3.5,-110.0,-3.5,-116.0,-3.5,-110.0,-3.5,-110.0
4642936,475,2022,18,Sun 1/8,1:00 PM,Carolina,10,FINAL,46.22,3.0,-110.0,3.5,-118.0,3.5,-115.0,3.0,106.0,3.0,106.0,3.5,-115.0,3.5,-118.0,3.5,-115.0,3.5,-115.0,3.5,-118.0,3.5,-111.0,3.5,-110.0,3.5,-118.0,3.5,-110.0,3.5,-114.0
4642936,476,2022,18,,,New Orleans,7,,53.78,-3.0,-110.0,-3.5,-102.0,-3.5,-105.0,-3.0,-126.0,-3.0,-126.0,-3.5,104.0,-3.5,-102.0,-3.5,-105.0,-3.5,-105.0,-3.5,102.0,-3.5,-109.0,-3.5,-110.0,-3.5,-102.0,-3.5,-110.0,-3.5,-108.0
