eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642926,131,2022,17,Mon 1/2,8:30 PM,Buffalo,,CANCELED,1526,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-117.0,-110.0,-106.0,-106.0,-107.0,-117.0,-115.0,-110.0,-108.0,-114.0,-110.0,-117.0,-115.0,-109.0,53.56,-1.5,-110
4642926,132,2022,17,,,Cincinnati,,,1522,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,-103.0,-110.0,-114.0,-114.0,-103.0,-103.0,-105.0,-110.0,-108.0,-106.0,-110.0,-103.0,-105.0,-122.0,46.44,1.5,-110
4642912,117,2022,17,Sun 1/1,1:00 PM,Miami,21,FINAL,1524,2.5,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,3.0,100.0,-110.0,-110.0,-110.0,-113.0,-110.0,-110.0,100.0,-108.0,-115.0,-110.0,-110.0,-110.0,-110.0,43.17,-2.0,-110
4642912,118,2022,17,,,New England,23,,1525,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0,-120.0,-110.0,-110.0,-110.0,103.0,-110.0,-110.0,-120.0,-108.0,-105.0,-110.0,-110.0,-110.0,-110.0,56.83,2.0,-110
4642913,105,2022,17,Sun 1/1,1:00 PM,Cleveland,24,FINAL,1520,1.0,1.0,1.5,1.5,1.0,1.0,1.0,2.0,1.5,1.5,2.5,1.0,2.0,1.5,-108.0,-110.0,-109.0,-109.0,-103.0,-110.0,100.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,-110.0,55.69,2.0,-110
4642913,106,2022,17,,,Washington,10,,1537,-1.0,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-2.0,-1.5,-1.5,-2.5,-1.0,-2.0,-1.5,-112.0,-110.0,-111.0,-111.0,-107.0,-110.0,-120.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,-110.0,44.31,-2.0,-110
4642914,111,2022,17,Sun 1/1,1:00 PM,Arizona,19,FINAL,1549,6.5,6.5,6.5,6.5,7.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,-102.0,-105.0,-105.0,-105.0,-114.0,-102.0,100.0,-105.0,-103.0,-104.0,-110.0,-102.0,-105.0,-109.0,64.04,3.0,-110
4642914,112,2022,17,,,Atlanta,20,,1546,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-118.0,-115.0,-115.0,-115.0,103.0,-118.0,-120.0,-115.0,-113.0,-116.0,-110.0,-118.0,-115.0,-122.0,35.96,-3.0,-110
4642915,113,2022,17,Sun 1/1,1:00 PM,Jacksonville,31,FINAL,1529,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-107.0,-110.0,-105.0,-105.0,-108.0,-107.0,-110.0,-110.0,-108.0,-107.0,-110.0,-107.0,-110.0,-110.0,36.34,-5.5,-110
4642915,114,2022,17,,,Houston,3,,1530,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-113.0,-110.0,-115.0,-115.0,-102.0,-113.0,-110.0,-110.0,-108.0,-113.0,-110.0,-113.0,-110.0,-110.0,63.66,5.5,-110
