eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642797,277,2022,8,Mon 10/31,8:15 PM,Cincinnati,13,FINAL,1522,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,-3.0,-3.0,-3.0,-122.0,-120.0,-120.0,-116.0,-115.0,-122.0,-120.0,-120.0,-118.0,-122.0,-120.0,-122.0,-120.0,-114.0,37.02,-3.0,-105
4642797,278,2022,8,,,Cleveland,32,,1520,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,102.0,100.0,100.0,-110.0,104.0,102.0,100.0,100.0,102.0,102.0,100.0,102.0,100.0,103.0,62.98,3.0,-115
4640668,251,2022,8,Sun 10/30,9:30 AM,Denver,21,FINAL,1534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,-110.0,-110.0,-109.0,-109.0,-108.0,-110.0,-105.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,-104.0,60.91,3.0,-110
4640668,252,2022,8,,,Jacksonville,17,,1529,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,-1.0,-110.0,-110.0,-111.0,-111.0,-102.0,-110.0,-115.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,-106.0,39.09,-3.0,-110
4642785,263,2022,8,Sun 10/30,1:00 PM,Arizona,26,FINAL,1549,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,-113.0,-115.0,-115.0,-115.0,100.0,-110.0,-105.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,-106.0,46.63,6.5,-110
4642785,264,2022,8,,,Minnesota,34,,1541,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.5,-107.0,-105.0,-105.0,-105.0,-110.0,-110.0,-115.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,-125.0,53.37,-6.5,-110
4642786,261,2022,8,Sun 10/30,1:00 PM,Miami,31,FINAL,1524,-3.5,-3.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-4.0,-4.5,-114.0,-115.0,-105.0,-105.0,-111.0,-110.0,-115.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,-105.0,30.86,-3.0,-110
4642786,262,2022,8,,,Detroit,27,,1539,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.5,4.0,4.5,-106.0,-105.0,-115.0,-115.0,100.0,-110.0,-105.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,-125.0,69.14,3.0,-110
4642787,253,2022,8,Sun 10/30,1:00 PM,Chicago,29,FINAL,1540,9.5,9.5,9.5,9.5,10.5,9.5,9.5,9.5,9.5,9.5,10.0,9.5,10.0,10.0,-108.0,-110.0,-112.0,-112.0,-120.0,-108.0,-110.0,-110.0,-108.0,-108.0,-110.0,-108.0,-115.0,-111.0,61.81,9.5,-110
4642787,254,2022,8,,,Dallas,49,,1538,-9.5,-9.5,-9.5,-9.5,-10.5,-9.5,-9.5,-9.5,-9.5,-9.5,-10.0,-9.5,-10.0,-10.0,-112.0,-110.0,-108.0,-108.0,109.0,-112.0,-110.0,-110.0,-108.0,-112.0,-110.0,-112.0,-105.0,-102.0,38.19,-9.5,-110
4642788,255,2022,8,Sun 10/30,1:00 PM,Las Vegas,0,FINAL,1533,-1.0,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,-2.0,-115.0,-110.0,-110.0,-110.0,-113.0,-110.0,-115.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,-105.0,34.38,0.0,-105
4642788,256,2022,8,,,New Orleans,24,,1543,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,2.0,-105.0,-110.0,-110.0,-110.0,103.0,-110.0,-105.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,-127.0,65.62,0.0,-115
4642789,257,2022,8,Sun 10/30,1:00 PM,Carolina,34,FINAL OT,1545,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,-107.0,-110.0,-105.0,-105.0,-104.0,-107.0,-105.0,-110.0,-108.0,-108.0,-110.0,-107.0,-110.0,-110.0,66.51,7.0,-110
4642789,258,2022,8,,,Atlanta,37,,1546,-4.0,-4.0,-4.0,-4.0,-4.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-113.0,-110.0,-115.0,-115.0,-106.0,-113.0,-115.0,-110.0,-108.0,-112.0,-110.0,-113.0,-110.0,-101.0,33.49,-7.0,-110
4642790,265,2022,8,Sun 10/30,1:00 PM,New England,22,FINAL,1525,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-113.0,-115.0,-113.0,-113.0,-108.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,-102.0,56.18,0.0,-115
4642790,266,2022,8,,,N.Y. Jets,17,,1523,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-107.0,-105.0,-107.0,-107.0,-102.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-110.0,-109.0,43.82,0.0,-105
4642791,259,2022,8,Sun 10/30,1:00 PM,Pittsburgh,13,FINAL,1519,11.5,11.0,12.0,12.0,11.0,12.0,11.5,11.5,11.5,11.5,11.0,12.0,11.5,11.0,-110.0,-105.0,-112.0,-112.0,105.0,-115.0,-110.0,-110.0,-108.0,-112.0,-110.0,-115.0,-110.0,-105.0,75.43,10.0,-110
4642791,260,2022,8,,,Philadelphia,35,,1536,-11.5,-11.0,-12.0,-12.0,-11.0,-12.0,-11.5,-11.5,-11.5,-11.5,-11.0,-12.0,-11.5,-11.0,-110.0,-115.0,-108.0,-108.0,-116.0,-105.0,-110.0,-110.0,-108.0,-108.0,-110.0,-105.0,-110.0,-125.0,24.57,-10.0,-110
4642792,267,2022,8,Sun 10/30,4:05 PM,Tennessee,17,FINAL,1528,-1.0,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.5,-1.0,-1.0,-1.5,-115.0,-110.0,-110.0,-110.0,-106.0,-110.0,-115.0,-110.0,-108.0,-109.0,-110.0,-115.0,-110.0,-110.0,29.44,-3.5,-105
4642792,268,2022,8,,,Houston,10,,1530,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,-105.0,-110.0,-110.0,-110.0,-104.0,-110.0,-105.0,-110.0,-108.0,-111.0,-110.0,-105.0,-110.0,-120.0,70.56,3.5,-115
