eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642910,481,2022,16,Mon 12/26,8:15 PM,L.A. Chargers,20,FINAL,75380,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-106.0,-115.0,-106.0,-106.0,-101.0,-106.0,-115.0,-110.0,-108.0,-109.0,-110.0,-106.0,-110.0,-109.0,27.05,-2.5,-110
4642910,482,2022,16,,,Indianapolis,3,,1527,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,-114.0,-105.0,-114.0,-114.0,-109.0,-114.0,-105.0,-110.0,-108.0,-111.0,-110.0,-114.0,-110.0,-122.0,72.95,2.5,-110
4642908,475,2022,16,Sun 12/25,1:00 PM,Green Bay,26,FINAL,1542,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-113.0,-115.0,-114.0,-114.0,-110.0,-110.0,-115.0,-115.0,-108.0,-116.0,-110.0,-110.0,-110.0,-118.0,57.34,3.5,-110
4642908,476,2022,16,,,Miami,20,,1524,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-107.0,-105.0,-106.0,-106.0,-100.0,-110.0,-105.0,-105.0,-108.0,-104.0,-110.0,-110.0,-110.0,-104.0,42.66,-3.5,-110
4641479,477,2022,16,Sun 12/25,4:30 PM,Denver,14,FINAL,1534,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-115.0,-125.0,-105.0,-105.0,-114.0,-115.0,-120.0,-120.0,-118.0,-104.0,-110.0,-115.0,-110.0,-115.0,50.76,0.0,-105
4641479,478,2022,16,,,L.A. Rams,51,,1550,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,-105.0,105.0,-115.0,-115.0,103.0,-105.0,100.0,100.0,102.0,-116.0,-110.0,-105.0,-110.0,102.0,49.24,0.0,-115
4642909,479,2022,16,Sun 12/25,8:20 PM,Tampa Bay,19,FINAL OT,1544,-7.5,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-7.5,-110.0,-115.0,-110.0,-110.0,102.0,101.0,-110.0,-110.0,-108.0,-110.0,-110.0,101.0,-110.0,-110.0,29.83,-3.0,-105
4642909,480,2022,16,,,Arizona,16,,1549,7.5,7.5,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.5,7.5,8.0,7.5,7.5,-110.0,-105.0,-110.0,-110.0,-113.0,-121.0,-110.0,-110.0,-108.0,-110.0,-110.0,-121.0,-110.0,-110.0,70.17,3.0,-115
4642897,455,2022,16,Sat 12/24,1:00 PM,New Orleans,17,FINAL,1543,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,-103.0,100.0,105.0,105.0,111.0,-110.0,100.0,100.0,-103.0,-103.0,-110.0,-110.0,100.0,-103.0,67.17,3.0,-107
4642897,456,2022,16,,,Cleveland,10,,1520,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-117.0,-120.0,-125.0,-125.0,-122.0,-110.0,-120.0,-120.0,-113.0,-117.0,-110.0,-110.0,-120.0,-120.0,32.83,-3.0,-113
