eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642866,477,2022,13,Mon 12/5,8:15 PM,New Orleans,16,FINAL,1543,3.0,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,-3.0,3.0,3.0,3.5,101.0,-115.0,-115.0,-115.0,-106.0,101.0,105.0,107.0,103.0,100.0,101.0,100.0,-120.0,69.77,6.5,-107
4642866,478,2022,13,,,Tampa Bay,17,,1544,-3.0,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-121.0,-105.0,-105.0,-105.0,-104.0,-121.0,-125.0,-123.0,-123.0,-120.0,-121.0,-120.0,-116.0,30.23,-6.5,-113
4642853,461,2022,13,Sun 12/4,1:00 PM,Washington,20,FINAL OT,1537,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-107.0,-110.0,-110.0,-110.0,108.0,-115.0,-110.0,-108.0,-111.0,-110.0,-115.0,-110.0,-104.0,62.57,-1.5,-110
4642853,462,2022,13,,,N.Y. Giants,20,,1535,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.0,2.5,2.5,-113.0,-110.0,-110.0,-110.0,-119.0,-105.0,-110.0,-108.0,-109.0,-110.0,-105.0,-110.0,-109.0,37.43,1.5,-110
4642854,453,2022,13,Sun 12/4,1:00 PM,Denver,9,FINAL,1534,8.5,8.5,9.0,9.0,9.5,9.0,9.0,8.0,8.5,8.5,9.0,9.0,8.5,-110.0,-110.0,-110.0,-110.0,-123.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-110.0,-105.0,79.17,6.5,-110
4642854,454,2022,13,,,Baltimore,10,,1521,-8.5,-8.5,-9.0,-9.0,-9.5,-9.0,-9.0,-8.0,-8.5,-8.5,-9.0,-9.0,-8.5,-110.0,-110.0,-110.0,-110.0,111.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-110.0,-116.0,20.83,-6.5,-110
4642855,455,2022,13,Sun 12/4,1:00 PM,Pittsburgh,19,FINAL,1519,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.5,-1.5,-1.5,-1.0,-1.5,-1.5,-111.0,-115.0,-115.0,-115.0,-105.0,-114.0,-110.0,-108.0,-109.0,-110.0,-114.0,-110.0,-110.0,51.88,0.0,-110
4642855,456,2022,13,,,Atlanta,16,,1546,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,-109.0,-105.0,-105.0,-105.0,-105.0,-106.0,-110.0,-108.0,-111.0,-110.0,-106.0,-110.0,-120.0,48.12,0.0,-110
4642856,451,2022,13,Sun 12/4,1:00 PM,N.Y. Jets,22,FINAL,1523,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,-3.0,3.0,3.0,3.0,-103.0,-125.0,-120.0,-120.0,-116.0,-117.0,-120.0,-118.0,-103.0,-115.0,-117.0,-120.0,-116.0,52.1,3.0,-106
4642856,452,2022,13,,,Minnesota,27,,1541,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-117.0,105.0,100.0,100.0,105.0,-103.0,100.0,102.0,-117.0,-105.0,-103.0,100.0,-105.0,47.9,-3.0,-114
4642857,463,2022,13,Sun 12/4,1:00 PM,Cleveland,27,FINAL,1520,-7.5,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-7.5,-109.0,-105.0,-108.0,-108.0,-108.0,-107.0,-110.0,-108.0,-113.0,-110.0,-107.0,-110.0,-105.0,22.93,-5.0,-110
4642857,464,2022,13,,,Houston,14,,1530,7.5,7.5,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.5,8.0,7.5,7.5,-111.0,-115.0,-112.0,-112.0,-102.0,-113.0,-110.0,-108.0,-107.0,-110.0,-113.0,-110.0,-116.0,77.07,5.0,-110
4642858,459,2022,13,Sun 12/4,1:00 PM,Jacksonville,14,FINAL,1529,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,-110.0,-110.0,-110.0,-110.0,102.0,-110.0,-110.0,-108.0,-107.0,-110.0,-110.0,-110.0,-111.0,69.66,1.0,-110
4642858,460,2022,13,,,Detroit,40,,1539,-1.5,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-110.0,-110.0,-110.0,-110.0,-113.0,-110.0,-110.0,-108.0,-113.0,-110.0,-110.0,-110.0,-111.0,30.34,-1.0,-110
4642859,465,2022,13,Sun 12/4,1:00 PM,Green Bay,28,FINAL,1542,-3.5,-3.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,-4.0,-3.5,-107.0,-105.0,-110.0,-110.0,104.0,-107.0,-110.0,-108.0,-109.0,-110.0,-107.0,-110.0,-109.0,38.72,-2.5,-110
4642859,466,2022,13,,,Chicago,19,,1540,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,4.0,3.5,4.0,3.5,-113.0,-115.0,-110.0,-110.0,-115.0,-113.0,-110.0,-108.0,-111.0,-110.0,-113.0,-110.0,-104.0,61.28,2.5,-110
4642860,457,2022,13,Sun 12/4,1:00 PM,Tennessee,10,FINAL,1528,4.5,4.0,4.5,4.5,5.0,5.0,4.5,4.5,4.5,5.0,5.0,4.5,4.0,-107.0,-105.0,-107.0,-107.0,-100.0,-113.0,-110.0,-108.0,-111.0,-110.0,-113.0,-110.0,-103.0,45.55,6.5,-107
4642860,458,2022,13,,,Philadelphia,35,,1536,-4.5,-4.0,-4.5,-4.5,-5.0,-5.0,-4.5,-4.5,-4.5,-5.0,-5.0,-4.5,-4.0,-113.0,-115.0,-113.0,-113.0,-110.0,-107.0,-110.0,-108.0,-109.0,-110.0,-107.0,-110.0,-128.0,54.45,-6.5,-113
