eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642851,275,2022,12,Mon 11/28,8:15 PM,Pittsburgh,24,FINAL,1519,2.0,2.5,2.0,2.0,2.5,2.0,2.5,2.5,2.5,-2.5,2.0,2.5,2.0,-110.0,-110.0,-109.0,-109.0,-110.0,-110.0,-110.0,-108.0,-112.0,-105.0,-110.0,-110.0,-103.0,44.57,3.0,100
4642851,276,2022,12,,,Indianapolis,17,,1527,-2.0,-2.5,-2.0,-2.0,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.0,-110.0,-110.0,-111.0,-111.0,-100.0,-110.0,-110.0,-108.0,-108.0,-115.0,-110.0,-110.0,-128.0,55.43,-3.0,-120
4642839,253,2022,12,Sun 11/27,1:00 PM,Denver,10,FINAL,1534,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-118.0,-105.0,-115.0,-115.0,-114.0,-118.0,-115.0,-108.0,-116.0,-110.0,-118.0,-110.0,-105.0,46.48,-2.5,-115
4642839,254,2022,12,,,Carolina,23,,1545,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-102.0,-115.0,-105.0,-105.0,103.0,-102.0,-105.0,-108.0,-104.0,-110.0,-102.0,-110.0,-116.0,53.52,2.5,-105
4642840,255,2022,12,Sun 11/27,1:00 PM,Atlanta,13,FINAL,1546,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-113.0,-115.0,-110.0,-110.0,-110.0,-113.0,-110.0,-108.0,-113.0,-110.0,-116.0,-110.0,-111.0,56.7,3.0,-105
4642840,256,2022,12,,,Washington,19,,1537,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-107.0,-105.0,-110.0,-110.0,100.0,-107.0,-110.0,-108.0,-107.0,-110.0,-104.0,-110.0,-111.0,43.3,-3.0,-115
4642841,261,2022,12,Sun 11/27,1:00 PM,Houston,15,FINAL,1530,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,-105.0,-105.0,-105.0,-105.0,-102.0,-105.0,-110.0,-108.0,-109.0,-110.0,-105.0,-110.0,-111.0,83.52,9.5,-110
4642841,262,2022,12,,,Miami,30,,1524,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-115.0,-115.0,-115.0,-115.0,-108.0,-115.0,-110.0,-108.0,-111.0,-110.0,-115.0,-110.0,-111.0,16.48,-9.5,-110
4642842,259,2022,12,Sun 11/27,1:00 PM,Cincinnati,20,FINAL,1522,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-112.0,-110.0,-109.0,-109.0,101.0,-112.0,-110.0,-108.0,-111.0,-110.0,-112.0,-110.0,-111.0,67.43,-2.0,-112
4642842,260,2022,12,,,Tennessee,16,,1528,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-108.0,-110.0,-111.0,-111.0,-112.0,-108.0,-110.0,-108.0,-109.0,-110.0,-108.0,-110.0,-111.0,32.57,2.0,-108
4642843,263,2022,12,Sun 11/27,1:00 PM,Chicago,10,FINAL,1540,7.5,8.0,6.5,6.5,8.5,7.5,7.5,7.5,7.5,-6.5,7.5,7.0,7.0,-107.0,-110.0,-105.0,-105.0,-119.0,-107.0,-110.0,-108.0,-107.0,-105.0,-107.0,-120.0,-120.0,60.29,3.5,-115
4642843,264,2022,12,,,N.Y. Jets,31,,1523,-7.5,-8.0,-6.5,-6.5,-8.5,-7.5,-7.5,-7.5,-7.5,-6.5,-7.5,-7.0,-7.0,-113.0,-110.0,-115.0,-115.0,108.0,-113.0,-110.0,-108.0,-113.0,-115.0,-113.0,100.0,-110.0,39.71,-3.5,-105
4642844,257,2022,12,Sun 11/27,1:00 PM,Tampa Bay,17,FINAL OT,1544,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.5,-3.0,-3.0,-3.5,-125.0,-120.0,-125.0,-125.0,-116.0,-125.0,-120.0,-118.0,-122.0,100.0,-125.0,-120.0,-104.0,31.88,-3.0,-105
4642844,258,2022,12,,,Cleveland,23,,1520,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.5,105.0,100.0,105.0,105.0,105.0,105.0,100.0,102.0,102.0,-120.0,105.0,100.0,-108.0,68.12,3.0,-115
