eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4688889,315,2022,20,Sun 1/22,3:00 PM,Cincinnati,27,FINAL,1522,6.0,5.5,5.5,5.5,6.0,6.0,5.5,6.0,6.0,6.0,5.5,6.0,6.0,5.0,-109.0,-105.0,-110.0,-110.0,-110.0,-112.0,-105.0,-110.0,-108.0,-114.0,-110.0,-112.0,-110.0,-109.0,37.75,4.5,-115
4688889,316,2022,20,,,Buffalo,10,,1526,-6.0,-5.5,-5.5,-5.5,-6.0,-6.0,-5.5,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-5.0,-111.0,-115.0,-110.0,-110.0,-100.0,-108.0,-115.0,-110.0,-108.0,-106.0,-110.0,-108.0,-110.0,-122.0,62.25,-4.5,-105
4688947,317,2022,20,Sun 1/22,6:30 PM,Dallas,12,FINAL,1538,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,4.0,3.5,-113.0,-110.0,-115.0,-115.0,-107.0,-113.0,-105.0,-110.0,-108.0,-111.0,-110.0,-113.0,-110.0,-102.0,50.98,4.0,-110
4688947,318,2022,20,,,San Francisco,19,,1547,-3.5,-3.5,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,-4.0,-3.5,-107.0,-110.0,-105.0,-105.0,-103.0,-107.0,-115.0,-110.0,-108.0,-109.0,-110.0,-107.0,-110.0,-110.0,49.02,-4.0,-110
4688887,301,2022,20,Sat 1/21,4:30 PM,Jacksonville,20,FINAL,1529,9.5,9.5,9.5,9.5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,-110.0,-115.0,-104.0,-104.0,-123.0,-115.0,-115.0,-110.0,-108.0,-112.0,-110.0,-115.0,-110.0,-109.0,67.14,8.5,-110
4688887,302,2022,20,,,Kansas City,27,,1531,-9.5,-9.5,-9.5,-9.5,-10.0,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-110.0,-105.0,-117.0,-117.0,112.0,-105.0,-105.0,-110.0,-108.0,-108.0,-110.0,-105.0,-110.0,-112.0,32.86,-8.5,-110
4688888,303,2022,20,Sat 1/21,8:15 PM,N.Y. Giants,7,FINAL,1535,8.0,8.0,8.5,8.5,8.0,8.0,8.0,8.0,8.0,8.5,8.0,8.0,8.0,8.0,-105.0,-110.0,-110.0,-110.0,-103.0,-107.0,-110.0,-110.0,-108.0,-113.0,-110.0,-110.0,-110.0,-110.0,53.16,7.0,-110
4688888,304,2022,20,,,Philadelphia,38,,1536,-8.0,-8.0,-8.5,-8.5,-8.0,-8.0,-8.0,-8.0,-8.0,-8.5,-8.0,-8.0,-8.0,-8.0,-115.0,-110.0,-110.0,-110.0,-107.0,-113.0,-110.0,-110.0,-108.0,-107.0,-110.0,-110.0,-110.0,-103.0,46.84,-7.0,-110
