eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642755,479,2022,5,Mon 10/10,8:15 PM,Las Vegas,29,FINAL,1533,7.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-112.0,-110.0,-110.0,-115.0,-126.0,-105.0,100.0,-110.0,-108.0,-110.0,-110.0,-105.0,-105.0,-110.0,84.45,7.0,-110
4642755,480,2022,5,,,Kansas City,30,,1531,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-108.0,-110.0,-110.0,-105.0,114.0,-115.0,-120.0,-110.0,-108.0,-110.0,-110.0,-115.0,-115.0,-102.0,15.55,-7.0,-110
4640667,451,2022,5,Sun 10/9,9:30 AM,N.Y. Giants,27,FINAL,1535,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,9.5,9.0,9.0,9.0,-105.0,-110.0,-110.0,-110.0,103.0,-105.0,-110.0,-110.0,-108.0,-110.0,-111.0,-105.0,-110.0,-111.0,72.25,8.0,-110
4640667,452,2022,5,,,Green Bay,22,,1542,-9.0,-9.0,-9.0,-9.0,-8.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.5,-9.0,-9.0,-9.0,-115.0,-110.0,-110.0,-110.0,-114.0,-115.0,-110.0,-110.0,-108.0,-110.0,-111.0,-115.0,-110.0,-119.0,27.75,-8.0,-110
4642742,467,2022,5,Sun 10/9,1:00 PM,L.A. Chargers,30,FINAL,75380,-1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.0,8.5,-1.0,-1.5,-1.0,-110.0,-115.0,-110.0,-110.0,102.0,-108.0,-115.0,-110.0,-108.0,-111.0,-111.0,-108.0,-110.0,-106.0,41.53,-1.0,-110
4642742,468,2022,5,,,Cleveland,28,,1520,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,-8.5,1.0,1.5,1.0,-110.0,-105.0,-110.0,-110.0,-113.0,-112.0,-105.0,-110.0,-108.0,-109.0,-117.0,-112.0,-110.0,-104.0,58.47,1.0,-110
4642743,461,2022,5,Sun 10/9,1:00 PM,Chicago,22,FINAL,1540,8.5,8.5,9.0,9.0,10.0,9.0,8.5,8.5,8.5,8.5,13.5,9.0,8.5,9.0,-110.0,-110.0,-110.0,-110.0,-120.0,-110.0,-110.0,-110.0,-108.0,-112.0,-111.0,-110.0,-110.0,-110.0,75.95,6.5,-110
4642743,462,2022,5,,,Minnesota,29,,1541,-8.5,-8.5,-9.0,-9.0,-10.0,-9.0,-8.5,-8.5,-8.5,-8.5,-13.5,-9.0,-8.5,-9.0,-110.0,-110.0,-110.0,-110.0,109.0,-110.0,-110.0,-110.0,-108.0,-108.0,-111.0,-110.0,-110.0,-120.0,24.05,-6.5,-110
4642744,463,2022,5,Sun 10/9,1:00 PM,Tennessee,21,FINAL,1528,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-2.5,0.0,0.0,-1.5,-108.0,-110.0,-109.0,-109.0,-103.0,-108.0,-105.0,-110.0,-108.0,-112.0,-117.0,-108.0,-110.0,-105.0,36.2,0.0,-110
4642744,464,2022,5,,,Washington,17,,1537,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,1.5,-112.0,-110.0,-111.0,-111.0,-107.0,-112.0,-115.0,-110.0,-108.0,-108.0,-105.0,-112.0,-110.0,-127.0,63.8,0.0,-110
4642745,455,2022,5,Sun 10/9,1:00 PM,Houston,13,FINAL,1530,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,7.0,7.0,7.0,-116.0,-120.0,-104.0,-105.0,-109.0,-116.0,-110.0,-115.0,-103.0,-104.0,-111.0,-116.0,-115.0,-114.0,71.94,7.0,-110
4642745,456,2022,5,,,Jacksonville,6,,1529,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-6.5,-6.5,-6.5,-7.0,-7.0,-7.0,-104.0,100.0,-116.0,-115.0,-101.0,-104.0,-110.0,-105.0,-113.0,-116.0,-111.0,-104.0,-105.0,102.0,28.06,-7.0,-110
4642746,453,2022,5,Sun 10/9,1:00 PM,Seattle,32,FINAL,1548,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,-0.5,5.5,5.5,4.5,-108.0,-110.0,-110.0,-109.0,-112.0,-110.0,-110.0,-110.0,-108.0,-110.0,-117.0,-110.0,-110.0,-103.0,44.41,6.0,-110
4642746,454,2022,5,,,New Orleans,39,,1543,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,0.5,-5.5,-5.5,-4.5,-112.0,-110.0,-110.0,-111.0,102.0,-110.0,-110.0,-110.0,-108.0,-110.0,-111.0,-110.0,-110.0,-128.0,55.59,-6.0,-110
4642747,459,2022,5,Sun 10/9,1:00 PM,Atlanta,15,FINAL,1546,10.0,10.5,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.0,7.5,10.0,10.5,10.0,-106.0,-110.0,-109.0,-109.0,-108.0,-106.0,-110.0,-110.0,-108.0,-108.0,-117.0,-106.0,-110.0,-102.0,74.29,8.0,-110
4642747,460,2022,5,,,Tampa Bay,21,,1544,-10.0,-10.5,-10.0,-10.0,-10.5,-10.0,-10.5,-10.0,-10.0,-10.0,-7.5,-10.0,-10.5,-10.0,-114.0,-110.0,-111.0,-111.0,-102.0,-114.0,-110.0,-110.0,-108.0,-112.0,-111.0,-114.0,-110.0,-110.0,25.71,-8.0,-110
4642748,465,2022,5,Sun 10/9,1:00 PM,Miami,17,FINAL,1524,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.5,-3.0,-3.0,-3.0,-120.0,-120.0,-120.0,-120.0,-108.0,-120.0,-120.0,-120.0,-118.0,-120.0,-117.0,-120.0,-120.0,-114.0,24.97,-6.0,-110
4642748,466,2022,5,,,N.Y. Jets,40,,1523,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.5,3.0,3.0,3.0,100.0,100.0,100.0,100.0,-102.0,100.0,100.0,100.0,102.0,100.0,-111.0,100.0,100.0,102.0,75.03,6.0,-110
