eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123,adj_127,ap_127
4642769,275,2022,6,Mon 10/17,8:15 PM,Denver,16,FINAL OT,62.68,4.5,-110,4.0,-119.0,4.0,-115.0,3.5,-116.0,3.5,-116.0,3.5,-105.0,3.5,-107.0,4.0,-110.0,4.0,-110.0,3.5,-108.0,3.5,-107.0,4.0,-110.0,3.5,-107.0,3.5,-110.0,3.5,-106.0
4642769,276,2022,6,,,L.A. Chargers,19,,37.32,-4.5,-110,-4.0,-101.0,-4.0,-105.0,-3.5,-104.0,-3.5,-104.0,-3.5,-105.0,-3.5,-113.0,-4.0,-110.0,-4.0,-110.0,-3.5,-108.0,-3.5,-113.0,-4.0,-110.0,-3.5,-113.0,-3.5,-110.0,-3.5,-106.0
4642757,263,2022,6,Sun 10/16,1:00 PM,Minnesota,24,FINAL,34.9,1.0,-110,-3.0,-119.0,-3.0,-120.0,-3.0,-117.0,-3.0,-117.0,-3.0,-118.0,-3.0,-110.0,-3.0,-125.0,-3.0,-120.0,-3.0,-118.0,-3.0,-125.0,3.0,-115.0,-3.0,-118.0,-3.0,-120.0,-3.5,105.0
4642757,264,2022,6,,,Miami,16,,65.1,-1.0,-110,3.0,-101.0,3.0,100.0,3.0,-103.0,3.0,-103.0,3.0,107.0,3.0,-110.0,3.0,105.0,3.0,100.0,3.0,102.0,3.0,105.0,3.0,-105.0,3.0,-102.0,3.0,100.0,3.5,-118.0
4642758,257,2022,6,Sun 10/16,1:00 PM,New England,38,FINAL,45.01,3.5,-110,2.5,-101.0,2.5,100.0,2.5,-101.0,2.5,-101.0,2.5,102.0,2.0,103.0,2.5,100.0,2.5,100.0,2.5,102.0,2.5,-105.0,2.5,-110.0,2.0,103.0,2.5,100.0,2.0,-101.0
4642758,258,2022,6,,,Cleveland,15,,54.99,-3.5,-110,-2.5,-119.0,-2.5,-120.0,-2.5,-119.0,-2.5,-119.0,-2.5,-113.0,-2.0,-123.0,-2.5,-120.0,-2.5,-120.0,-2.5,-118.0,-2.5,-115.0,-2.5,-110.0,-2.0,-123.0,-2.5,-120.0,-2.0,-132.0
4642759,265,2022,6,Sun 10/16,1:00 PM,San Francisco,14,FINAL,32.06,-6.5,-120,-3.0,-126.0,-3.5,-110.0,-3.5,-104.0,-3.5,-104.0,-3.5,-102.0,-3.0,-126.0,-3.5,-110.0,-3.5,-110.0,-3.5,-108.0,-3.5,-107.0,-4.0,-110.0,-3.0,-126.0,-3.5,-110.0,-4.0,100.0
4642759,266,2022,6,,,Atlanta,28,,67.94,6.5,100,3.0,106.0,3.5,-110.0,3.5,-116.0,3.5,-116.0,3.5,-108.0,3.0,106.0,3.5,-110.0,3.5,-110.0,3.5,-108.0,3.5,-113.0,4.0,-110.0,3.0,106.0,3.5,-110.0,4.0,-132.0
4642760,251,2022,6,Sun 10/16,1:00 PM,Tampa Bay,18,FINAL,27.97,-6.5,-110,-9.5,-113.0,-10.0,100.0,-9.5,-110.0,-9.5,-110.0,-10.0,106.0,-9.5,-110.0,-9.5,-115.0,-9.5,-110.0,-9.5,-108.0,-9.5,-112.0,-9.5,-110.0,-9.5,-110.0,-9.5,-110.0,-9.5,-106.0
4642760,252,2022,6,,,Pittsburgh,20,,72.03,6.5,-110,9.5,-107.0,10.0,-120.0,9.5,-110.0,9.5,-110.0,10.0,-117.0,9.5,-110.0,9.5,-105.0,9.5,-110.0,9.5,-108.0,9.5,-108.0,9.5,-110.0,9.5,-110.0,9.5,-110.0,9.5,-105.0
