eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3778692,475,2019,9,Mon 11/4,8:15 PM,Dallas,37,FINAL,1538,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-110.0,-105.0,-104.0,-104.0,-101.0,-105.0,-115.0,-105.0,-105.0,-109.0,-110.0,-105.0,57,-8.0,-115
3778692,476,2019,9,,,N.Y. Giants,18,,1535,6.5,7.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,6.5,-110.0,-115.0,-116.0,-116.0,-109.0,-115.0,-105.0,-115.0,-105.0,-111.0,-110.0,-115.0,43,8.0,-105
3778690,451,2019,9,Sun 11/3,9:30 AM,Houston,26,FINAL,1530,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.5,1.0,-102.0,-110.0,-110.0,-110.0,-104.0,-110.0,-105.0,-110.0,-105.0,-110.0,-105.0,-110.0,52,-3.0,-120
3778690,452,2019,9,,,Jacksonville,3,,1529,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,-1.0,-118.0,-110.0,-110.0,-110.0,-106.0,-110.0,-115.0,-110.0,-105.0,-110.0,-115.0,-110.0,48,3.0,100
3778682,457,2019,9,Sun 11/3,1:00 PM,Chicago,14,FINAL,1540,5.0,5.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,4.5,-110.0,-115.0,-111.0,-111.0,-106.0,-105.0,-110.0,-110.0,-105.0,-111.0,-110.0,-105.0,44,3.0,-105
3778682,458,2019,9,,,Philadelphia,22,,1536,-5.0,-5.5,-5.0,-5.0,-5.0,-4.5,-5.0,-5.0,-5.0,-5.0,-4.5,-4.5,-110.0,-105.0,-109.0,-109.0,-104.0,-115.0,-110.0,-110.0,-105.0,-109.0,-110.0,-115.0,56,-3.0,-115
3778683,459,2019,9,Sun 11/3,1:00 PM,Minnesota,23,FINAL,1541,-5.0,-5.5,-5.5,-5.5,-5.5,-5.0,-5.5,-5.5,-5.0,-5.0,,-5.0,-110.0,-115.0,-110.0,-110.0,-101.0,-120.0,-110.0,-110.0,-105.0,-112.0,,-120.0,55,0.0,-110
3778683,460,2019,9,,,Kansas City,26,,1531,5.0,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.0,5.0,,5.0,-110.0,-105.0,-110.0,-110.0,-109.0,100.0,-110.0,-110.0,-105.0,-108.0,,100.0,45,0.0,-110
3778684,453,2019,9,Sun 11/3,1:00 PM,Washington,9,FINAL,1537,10.5,11.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,-115.0,-115.0,-109.0,-109.0,-112.0,-110.0,-110.0,-110.0,-105.0,-112.0,-110.0,-110.0,49,10.0,-115
3778684,454,2019,9,,,Buffalo,24,,1526,-10.5,-11.0,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-105.0,-105.0,-111.0,-111.0,102.0,-110.0,-110.0,-110.0,-105.0,-108.0,-110.0,-110.0,51,-10.0,-105
