eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3778741,475,2019,13,Mon 12/2,8:15 PM,Minnesota,30,FINAL,1541,3.0,3.0,3.5,3.5,2.5,2.0,3.0,3.0,2.5,2.5,3.0,2.0,-114.0,-105.0,-117.0,-117.0,112.0,105.0,-110.0,-115.0,105.0,101.0,-105.0,105.0,46,1.5,-105
3778741,476,2019,13,,,Seattle,37,,1548,-3.0,-3.0,-3.5,-3.5,-2.5,-2.0,-3.0,-3.0,-2.5,-2.5,-3.0,-2.0,-106.0,-115.0,-112.0,-112.0,-124.0,-125.0,-110.0,-105.0,-115.0,-121.0,-115.0,-125.0,54,-1.5,-115
3778738,459,2019,13,Sun 12/1,1:00 PM,Philadelphia,31,FINAL,1536,-10.5,-10.5,-10.0,-10.0,-10.5,-10.5,-10.5,-10.0,-10.0,-10.0,-9.5,-10.5,-104.0,-110.0,-118.0,-118.0,-100.0,100.0,-110.0,-115.0,-105.0,-113.0,-110.0,100.0,57,-7.5,-110
3778738,460,2019,13,,,Miami,37,,1524,10.5,10.5,10.0,10.0,10.5,10.5,10.5,10.0,10.0,10.0,9.5,10.5,-116.0,-110.0,-102.0,-102.0,-110.0,-120.0,-110.0,-105.0,-105.0,-107.0,-110.0,-120.0,43,7.5,-110
3778739,465,2019,13,Sun 12/1,1:00 PM,N.Y. Jets,6,FINAL,1523,-2.5,-3.0,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-2.5,-2.5,-3.5,-2.0,-115.0,-105.0,-103.0,-103.0,102.0,-110.0,-115.0,-110.0,-105.0,-116.0,100.0,-110.0,65,-3.5,-110
3778739,466,2019,13,,,Cincinnati,22,,1522,2.5,3.0,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,3.5,2.0,-105.0,-115.0,-118.0,-118.0,-112.0,-110.0,-105.0,-110.0,-105.0,-104.0,-120.0,-110.0,35,3.5,-110
3778742,457,2019,13,Sun 12/1,1:00 PM,Tennessee,31,FINAL,1528,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,2.5,-1.0,-110.0,-115.0,-110.0,-110.0,-102.0,-115.0,-110.0,-115.0,-105.0,-112.0,-110.0,-115.0,57,3.5,-105
3778742,458,2019,13,,,Indianapolis,17,,1527,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.5,1.0,-110.0,-105.0,-110.0,-110.0,-108.0,-105.0,-110.0,-105.0,-105.0,-108.0,-110.0,-105.0,43,-3.5,-115
3778746,471,2019,13,Sun 12/1,1:00 PM,Cleveland,13,FINAL,1520,-1.0,-1.5,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-2.5,-1.0,-105.0,-110.0,-105.0,-105.0,-107.0,-110.0,-105.0,-110.0,-105.0,-112.0,-110.0,-110.0,62,2.5,105
3778746,472,2019,13,,,Pittsburgh,20,,1519,1.0,1.5,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.5,1.0,-115.0,-110.0,-115.0,-115.0,-103.0,-110.0,-115.0,-110.0,-105.0,-108.0,-110.0,-110.0,38,-2.5,-125
3778747,453,2019,13,Sun 12/1,1:00 PM,Washington,29,FINAL,1537,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.0,10.5,10.0,10.5,-113.0,-105.0,-110.0,-110.0,-110.0,-115.0,-110.0,-110.0,-105.0,-113.0,-115.0,-115.0,46,9.0,-115
3778747,454,2019,13,,,Carolina,21,,1545,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.0,-10.5,-10.0,-10.5,-107.0,-115.0,-110.0,-110.0,-100.0,-105.0,-110.0,-110.0,-105.0,-107.0,-105.0,-105.0,54,-9.0,-105
3778748,451,2019,13,Sun 12/1,1:00 PM,Green Bay,31,FINAL,1542,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-105.0,-110.0,-105.0,-105.0,103.0,-110.0,-120.0,-110.0,-105.0,-107.0,100.0,-110.0,69,-7.5,-110
3778748,452,2019,13,,,N.Y. Giants,13,,1535,6.5,7.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,6.5,-115.0,-110.0,-115.0,-115.0,-113.0,-110.0,100.0,-110.0,-105.0,-113.0,-120.0,-110.0,31,7.5,-110
3778749,455,2019,13,Sun 12/1,1:00 PM,San Francisco,17,FINAL,1547,6.0,6.0,6.0,6.0,5.5,5.0,5.5,5.5,6.0,6.0,6.0,5.0,-109.0,100.0,-110.0,-110.0,-100.0,-105.0,-110.0,-110.0,-105.0,-112.0,-110.0,-105.0,44,4.5,-110
3778749,456,2019,13,,,Baltimore,20,,1521,-6.0,-6.0,-6.0,-6.0,-5.5,-5.0,-5.5,-5.5,-6.0,-6.0,-6.0,-5.0,-111.0,-120.0,-110.0,-110.0,-110.0,-115.0,-110.0,-110.0,-105.0,-108.0,-110.0,-115.0,56,-4.5,-110
3778751,463,2019,13,Sun 12/1,1:00 PM,Tampa Bay,28,FINAL,1544,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-107.0,-115.0,-110.0,-110.0,-105.0,-105.0,-110.0,-110.0,-105.0,-109.0,-110.0,-105.0,64,4.5,-110
3778751,464,2019,13,,,Jacksonville,11,,1529,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,3.0,-113.0,-105.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-105.0,-111.0,-110.0,-115.0,36,-4.5,-110
