eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3778555,125,2019,17,Sun 12/29,1:00 PM,L.A. Chargers,21,FINAL,75380,9.5,10.0,7.0,7.0,10.0,10.0,9.5,9.5,10.0,10.0,10.0,10.0,-105.0,-105.0,-112.0,-112.0,-110.0,-115.0,-110.0,-110.0,-110.0,-117.0,-110.0,-115.0,33,7.0,-110
3778555,126,2019,17,,,Kansas City,31,,1531,-9.5,-10.0,-7.0,-7.0,-10.0,-10.0,-9.5,-9.5,-10.0,-10.0,-10.0,-10.0,-115.0,-115.0,-117.0,-117.0,-100.0,-105.0,-110.0,-110.0,100.0,-103.0,-110.0,-105.0,67,-7.0,-110
3778556,119,2019,17,Sun 12/29,1:00 PM,N.Y. Jets,13,FINAL,1523,-1.0,0.0,-2.5,-2.5,-1.5,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-113.0,-110.0,-117.0,-117.0,-110.0,-115.0,-115.0,-115.0,-105.0,-109.0,-110.0,-115.0,44,4.5,-110
3778556,120,2019,17,,,Buffalo,6,,1526,1.0,0.0,2.5,2.5,1.5,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-107.0,-110.0,-112.0,-112.0,-100.0,-105.0,-105.0,-105.0,-105.0,-111.0,-110.0,-105.0,56,-4.5,-110
3778560,113,2019,17,Sun 12/29,1:00 PM,New Orleans,42,FINAL,1543,-14.0,-14.0,-14.0,-14.0,-13.5,-13.5,-14.0,-14.0,-14.0,-14.0,-14.0,-13.5,-105.0,-115.0,100.0,100.0,-106.0,-110.0,-110.0,-105.0,-105.0,-109.0,-115.0,-110.0,61,-10.5,-110
3778560,114,2019,17,,,Carolina,10,,1545,14.0,14.0,14.0,14.0,13.5,13.5,14.0,14.0,14.0,14.0,14.0,13.5,-115.0,-105.0,-120.0,-120.0,-104.0,-110.0,-110.0,-115.0,-105.0,-111.0,-105.0,-110.0,39,10.5,-110
3778800,105,2019,17,Sun 12/29,1:00 PM,Chicago,21,FINAL,1540,-5.0,-4.0,-4.5,-4.5,-5.5,-5.0,-5.0,-5.0,-3.0,-3.0,-5.0,-5.0,-110.0,-120.0,-105.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-123.0,-110.0,-110.0,38,3.0,-110
3778800,106,2019,17,,,Minnesota,19,,1541,5.0,4.0,4.5,4.5,5.5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,-110.0,100.0,-111.0,-111.0,-100.0,-110.0,-110.0,-110.0,105.0,103.0,-110.0,-110.0,62,-3.0,-110
3778802,109,2019,17,Sun 12/29,1:00 PM,Atlanta,28,FINAL OT,1546,0.0,-1.0,1.5,1.5,1.0,1.0,1.5,1.0,0.0,0.0,-1.0,1.0,-102.0,-105.0,-119.0,-119.0,101.0,-105.0,-110.0,-105.0,-105.0,-109.0,-110.0,-105.0,54,2.0,-110
3778802,110,2019,17,,,Tampa Bay,22,,1544,0.0,1.0,-1.5,-1.5,-1.0,-1.0,-1.5,-1.0,0.0,0.0,1.0,-1.0,-118.0,-115.0,-110.0,-110.0,-111.0,-115.0,-110.0,-115.0,-105.0,-111.0,-110.0,-115.0,46,-2.0,-110
3778803,121,2019,17,Sun 12/29,1:00 PM,Miami,27,FINAL,1524,17.0,17.5,15.5,15.5,17.5,17.0,17.0,17.0,16.5,16.5,17.0,17.0,-105.0,-115.0,-112.0,-112.0,-109.0,-105.0,-105.0,-105.0,-105.0,-111.0,-110.0,-105.0,58,14.5,-110
3778803,122,2019,17,,,New England,24,,1525,-17.0,-17.5,-15.5,-15.5,-17.5,-17.0,-17.0,-17.0,-16.5,-16.5,-17.0,-17.0,-115.0,-105.0,-117.0,-117.0,-102.0,-115.0,-115.0,-115.0,-105.0,-109.0,-110.0,-115.0,42,-14.5,-110
3778806,123,2019,17,Sun 12/29,1:00 PM,Green Bay,23,FINAL,1542,-13.0,-13.5,-13.5,-13.5,-13.5,-13.5,-13.0,-13.5,-11.5,-11.5,-13.0,-13.5,-110.0,-115.0,-119.0,-119.0,103.0,-110.0,-115.0,-110.0,-105.0,-108.0,-115.0,-110.0,49,-9.5,-110
