eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
4044646,305,2019,19,Sun 1/12,3:05 PM,Houston,31,FINAL,1530,10.0,10.0,8.5,8.5,10.0,10.0,19.5,10.0,10.0,10.0,10.0,10.0,-113.0,-115.0,-103.0,-103.0,-105.0,-110.0,155.0,-115.0,-105.0,-111.0,-105.0,-115.0,48,8.0,-104
4044646,306,2019,19,,,Kansas City,51,,1531,-10.0,-10.0,-8.5,-8.5,-10.0,-10.0,-19.5,-10.0,-10.0,-10.0,-10.0,-10.0,-107.0,-105.0,-114.0,-114.0,-105.0,-110.0,-175.0,-105.0,-105.0,-109.0,-115.0,-105.0,52,-8.0,-116
4045273,307,2019,19,Sun 1/12,6:40 PM,Seattle,23,FINAL,1548,4.5,4.5,5.5,5.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.5,-110.0,-115.0,-112.0,-112.0,-102.0,-110.0,110.0,-110.0,-105.0,-108.0,-105.0,-110.0,51,4.0,-119
4045273,308,2019,19,,,Green Bay,28,,1542,-4.5,-4.5,-5.5,-5.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.0,-4.5,-110.0,-105.0,-117.0,-117.0,-108.0,-110.0,-130.0,-110.0,-105.0,-112.0,-115.0,-110.0,49,-4.0,-101
4045257,301,2019,19,Sat 1/11,4:35 PM,Minnesota,10,FINAL,1541,7.0,7.0,10.0,10.0,7.0,7.0,17.0,7.0,7.0,7.0,7.0,7.0,-103.0,-105.0,-118.0,-118.0,-100.0,100.0,-130.0,-105.0,-105.0,-105.0,-110.0,100.0,50,6.5,-109
4045257,302,2019,19,,,San Francisco,27,,1547,-7.0,-7.0,-10.0,-10.0,-7.0,-7.0,-17.0,-7.0,-7.0,-7.0,-7.0,-7.0,-117.0,-115.0,-111.0,-111.0,-110.0,-120.0,110.0,-115.0,-105.0,-115.0,-110.0,-120.0,50,-6.5,-111
4044647,303,2019,19,Sat 1/11,8:15 PM,Tennessee,28,FINAL,1528,10.0,10.5,10.0,10.0,10.0,10.0,-10.5,10.0,10.0,10.0,10.0,10.0,-108.0,-115.0,-119.0,-115.0,-107.0,-110.0,130.0,-105.0,-105.0,-110.0,100.0,-110.0,47,10.0,-116
4044647,304,2019,19,,,Baltimore,12,,1521,-10.0,-10.5,-10.0,-10.0,-10.0,-10.0,10.5,-10.0,-10.0,-10.0,-10.0,-10.0,-112.0,-105.0,-101.0,-114.0,-103.0,-110.0,-150.0,-115.0,-105.0,-110.0,-120.0,-110.0,53,-10.0,-104
